event,found,delta_s,delta_w,n_hits,reason
3854.0,False,,,28,no valid outer-layer seed pairs
3859.0,False,,,24,no exact8 plane survived
3861.0,False,,,25,no valid outer-layer seed pairs
3866.0,False,,,27,no valid outer-layer seed pairs
3867.0,False,,,26,no valid outer-layer seed pairs
3873.0,False,,,27,no valid outer-layer seed pairs
3915.0,False,,,26,no exact8 plane survived
3921.0,False,,,29,no valid outer-layer seed pairs
3934.0,False,,,25,no valid outer-layer seed pairs
3936.0,False,,,29,no valid outer-layer seed pairs
3949.0,False,,,31,no valid outer-layer seed pairs
3952.0,False,,,25,no valid outer-layer seed pairs
3965.0,False,,,27,no exact8 plane survived
3973.0,False,,,24,no valid outer-layer seed pairs
3977.0,False,,,20,no valid outer-layer seed pairs
3986.0,False,,,24,no exact8 plane survived
3996.0,False,,,30,no valid outer-layer seed pairs
4012.0,False,,,30,no valid outer-layer seed pairs
4035.0,False,,,18,no valid outer-layer seed pairs
4037.0,False,,,24,no valid outer-layer seed pairs
4053.0,False,,,34,no valid outer-layer seed pairs
4056.0,False,,,24,no exact8 plane survived
4063.0,False,,,25,no valid outer-layer seed pairs
4114.0,False,,,28,no exact8 plane survived
4120.0,True,6.724806472090126e-05,3.578566635433478,30,
4121.0,False,,,23,no valid outer-layer seed pairs
4128.0,False,,,25,no exact8 plane survived
4136.0,False,,,21,no valid outer-layer seed pairs
4148.0,False,,,26,no valid outer-layer seed pairs
4159.0,False,,,24,no exact8 plane survived
4161.0,False,,,29,no valid outer-layer seed pairs
4165.0,False,,,28,no valid outer-layer seed pairs
4170.0,False,,,22,no valid outer-layer seed pairs
4178.0,False,,,23,no valid outer-layer seed pairs
4181.0,False,,,25,no valid outer-layer seed pairs
4182.0,True,0.013678555551040613,3.829386083769331,21,
4200.0,False,,,27,no exact8 plane survived
4205.0,False,,,19,no valid outer-layer seed pairs
4263.0,False,,,29,no valid outer-layer seed pairs
4277.0,False,,,24,no valid outer-layer seed pairs
4296.0,False,,,23,no valid outer-layer seed pairs
4327.0,False,,,25,no valid outer-layer seed pairs
4334.0,False,,,21,no exact8 plane survived
4338.0,False,,,26,no exact8 plane survived
4347.0,False,,,25,no valid outer-layer seed pairs
4349.0,False,,,18,no valid outer-layer seed pairs
4358.0,False,,,20,no valid outer-layer seed pairs
4380.0,True,0.015651376422025104,4.373725365789357,20,
4382.0,False,,,19,no valid outer-layer seed pairs
4400.0,False,,,20,no valid outer-layer seed pairs
4412.0,False,,,26,no exact8 plane survived
4416.0,False,,,23,no valid outer-layer seed pairs
4426.0,False,,,29,no valid outer-layer seed pairs
4429.0,False,,,27,no valid outer-layer seed pairs
4444.0,False,,,29,fewer than 4 hits in paper layers
4452.0,False,,,23,no valid outer-layer seed pairs
4453.0,False,,,19,no valid outer-layer seed pairs
4472.0,False,,,22,no exact8 plane survived
4477.0,False,,,27,no valid outer-layer seed pairs
4488.0,False,,,22,no exact8 plane survived
4489.0,False,,,23,no exact8 plane survived
4490.0,False,,,22,no exact8 plane survived
4502.0,False,,,22,no valid outer-layer seed pairs
4512.0,False,,,24,no exact8 plane survived
4521.0,False,,,29,no valid outer-layer seed pairs
4524.0,False,,,30,no valid outer-layer seed pairs
4531.0,False,,,23,no valid outer-layer seed pairs
4534.0,False,,,20,no valid outer-layer seed pairs
4535.0,False,,,20,no exact8 plane survived
4536.0,False,,,24,no exact8 plane survived
4550.0,False,,,32,no valid outer-layer seed pairs
4554.0,False,,,24,no valid outer-layer seed pairs
4580.0,False,,,23,no exact8 plane survived
4605.0,False,,,26,no valid outer-layer seed pairs
4614.0,False,,,23,no valid outer-layer seed pairs
4620.0,False,,,20,no valid outer-layer seed pairs
4622.0,False,,,22,no valid outer-layer seed pairs
4633.0,False,,,26,no valid outer-layer seed pairs
4644.0,False,,,24,no valid outer-layer seed pairs
4655.0,False,,,21,no exact8 plane survived
4664.0,False,,,21,no valid outer-layer seed pairs
4679.0,False,,,28,no exact8 plane survived
4706.0,False,,,23,no valid outer-layer seed pairs
4726.0,False,,,24,no valid outer-layer seed pairs
4743.0,True,0.003563288824776594,3.0138342803391573,22,
4748.0,False,,,26,no valid outer-layer seed pairs
4749.0,False,,,21,no valid outer-layer seed pairs
4759.0,False,,,24,no valid outer-layer seed pairs
4761.0,False,,,28,no valid outer-layer seed pairs
4768.0,True,0.01372919978112005,4.395223577030801,24,
4777.0,False,,,24,no exact8 plane survived
4787.0,False,,,26,no valid outer-layer seed pairs
4789.0,False,,,21,no exact8 plane survived
4848.0,False,,,22,no valid outer-layer seed pairs
4854.0,False,,,29,no valid outer-layer seed pairs
4856.0,False,,,27,no valid outer-layer seed pairs
4876.0,False,,,25,no valid outer-layer seed pairs
4886.0,False,,,21,no exact8 plane survived
