event,final_ds_mm,final_dw_mm,n_hits
2602.0,0.1669741739458078,4.661353877848528,13
2640.0,0.1172688293406701,3.0731038513342264,12
2643.0,0.2726050612140458,2.55005554078728,15
2644.0,0.14585464210946536,2.9095247961488955,15
2655.0,0.1370387388445625,4.0605869742093965,14
2684.0,0.13886534164741865,4.898718091947625,15
2687.0,0.16172084149617352,4.0405764086705895,15
2709.0,0.2690232576090781,3.5876283149311723,15
2717.0,0.21797850668525207,1.0132809100920908,12
2720.0,0.22176836870001068,3.5770323078319044,15
2743.0,0.2576959703449608,1.1844435336892705,14
2752.0,0.20395207546460659,2.609035566348793,14
2755.0,0.2469145972991741,3.5776448040555797,15
2772.0,0.2443417075004913,4.583824373281049,12
2777.0,0.19012469305578958,2.8693767871673552,16
2779.0,0.18888564009506234,5.139732985559819,13
2806.0,0.1939446153671148,2.0161772194761274,15
2818.0,0.23964371596265469,2.539603401524302,14
2819.0,0.16569893275351,2.254371251495849,13
2825.0,0.21750188983413465,2.1124121226845256,14
2915.0,0.1666473176951244,3.021668735733467,15
2944.0,0.11614686083991912,4.5484555458053,14
2994.0,0.21239140489947256,2.784142044889939,14
3015.0,0.14381980524745536,3.787425310312364,13
3016.0,0.19597734672438893,4.474119968127483,13
3025.0,0.1568418771272162,2.3971564608673077,16
3057.0,0.1556480332881896,4.695102233018391,15
3060.0,0.15573833800695297,4.141739786745204,16
3096.0,0.1398108815659224,3.4905750851350175,14
3145.0,0.32666420416355596,5.046580678809325,13
3159.0,0.10122542553372567,4.166985943151311,13
3183.0,0.16673864279893721,3.198069196592326,15
3203.0,0.2299039017355492,4.715301551814305,14
3216.0,0.17619402503070217,4.997757527087393,14
3245.0,0.2648296296269805,0.6444754737229769,14
3260.0,0.2732390087428131,3.305993736786295,13
3284.0,0.10075927980860142,3.019084755652846,14
3328.0,0.26512658948847573,3.0311254460842125,13
3338.0,0.1176595049701916,4.85807970672037,16
3345.0,0.13208253167522338,2.3088827596072274,15
3348.0,0.24337163534812287,1.6469591729644817,12
3361.0,0.21925232526395275,3.950459213642033,16
3382.0,0.10590711540011225,1.2634911003165437,13
3383.0,0.21479476978614384,4.825293190302276,14
3403.0,0.25481376301680964,0.7120210562409324,15
3442.0,0.18542382320511647,2.177205524770198,16
3454.0,0.1787743660273791,3.9989204460052195,14
3471.0,0.2454010228776005,3.9965907822535707,15
3485.0,0.03157989437894585,2.4061110504457957,14
3488.0,0.2118208506247863,1.9620836491124638,15
3500.0,0.07415773904347078,5.0880887706415985,12
3517.0,0.19201940572310167,4.598747588758415,13
3532.0,0.1673795927042711,4.456488553128728,14
3536.0,0.1543620314867341,2.74647448021352,14
3543.0,0.21618474120895068,4.637899301296594,16
3548.0,0.28219167656516303,4.780506389267867,13
3562.0,0.15223339827367557,2.0733472619161257,14
3578.0,0.19838011047030166,0.9396832123753357,16
3585.0,0.16702310558775962,4.320252095783461,14
3587.0,0.11451461365996819,3.6811145459547854,14
3607.0,0.10697702404593747,4.785488002908163,15
3683.0,0.22708585754266944,3.1107016314810223,16
3724.0,0.17948293132498655,2.894226529103139,14
3726.0,0.10662352352344556,4.042010813803099,13
3741.0,0.13757789830639927,2.066989806087492,13
3773.0,0.19291301441704495,3.060167666963263,16
3781.0,0.08162783422894802,4.795208865057793,14
3795.0,0.23473924798684923,1.674664748124755,12
3797.0,0.15547002157273843,1.953075153506774,14
3827.0,0.1632300108025584,4.576416058613005,16
3828.0,0.11022583421546327,4.501889516598182,13
3832.0,0.16390759923580242,4.748829739513338,15
3851.0,0.16208934240910636,4.025416855726302,14
3865.0,0.20492453109560685,4.343822309431214,14
3869.0,0.20380746237590808,2.5736166638919546,15
3926.0,0.20220674938426278,1.13616412841547,14
3936.0,0.18361645985527125,2.0153189731855448,15
3940.0,0.1730026042240315,4.177810318997949,12
3942.0,0.2024939439185067,2.001438623562958,16
3957.0,0.25911480602329956,1.3899996343709138,14
3967.0,0.20946001085052893,3.87685808588549,12
3986.0,0.2402787414699207,3.8533491082627163,14
3988.0,0.13734587174545612,4.896956629461856,14
4018.0,0.2547610104748121,4.002875216305334,14
4050.0,0.05127537684187903,1.4938296035017706,12
4080.0,0.3034923926080801,4.019378351280121,14
4112.0,0.3154430388390057,1.803518489996343,14
4115.0,0.26242807137868795,5.006421038665665,13
4121.0,0.16699033766489219,4.363940944660391,15
4135.0,0.16132919854632083,0.9431186800627147,15
4170.0,0.22008254245391662,3.1478746688657595,13
4181.0,0.1922390263628022,4.260284939028468,16
4184.0,0.266225176863433,3.9449471923352886,15
4201.0,0.2035743875638626,5.020991334701646,15
4207.0,0.17983120783315582,2.8832072121418664,12
4224.0,0.21574128150976934,2.059785857761033,12
4244.0,0.10125146337563566,4.381223290182179,13
4262.0,0.1770493708638056,1.91628445341081,15
4279.0,0.2497366391474929,4.128924822290004,15
4309.0,0.2043915956599936,2.523023240830207,15
4337.0,0.21988434805752985,4.291163069186955,15
4369.0,0.15729573245234488,1.6116399846715628,13
4401.0,0.22537575811788893,3.516087288401748,14
4402.0,0.14026884841713072,3.1564695833436014,13
4429.0,0.2541946916730029,4.129126117846127,15
4454.0,0.2595244039846611,2.4382897894752054,13
4458.0,0.149615542302798,0.6224700338978448,13
4464.0,0.2699411452460866,3.335079015604254,14
4476.0,0.22027369445319775,2.562257413403136,12
