event,photon_pT,weight,found,delta_s,delta_w,n_hits,reason
302.0,0.5896782328975705,0.01,False,,,8,no valid outer-layer seed pairs
303.0,19.36155340757934,0.01,False,,,15,no exact8 plane survived
304.0,2.454199656341213,0.01,False,,,16,no valid outer-layer seed pairs
306.0,40.83258359962583,0.01,False,,,14,no exact8 plane survived
308.0,1.3659235944159196,0.01,False,,,16,no valid outer-layer seed pairs
310.0,0.8271699566784577,0.01,False,,,12,no valid outer-layer seed pairs
311.0,41.90699290205338,0.01,False,,,14,no exact8 plane survived
312.0,0.6495975941830707,0.01,False,,,10,no valid outer-layer seed pairs
313.0,227.5226099459604,0.01,False,,,13,no exact8 plane survived
315.0,3.026038548270924,0.01,False,,,16,no valid outer-layer seed pairs
316.0,8.80607537688827,0.01,False,,,15,no valid outer-layer seed pairs
317.0,0.986286686506355,0.01,False,,,14,no valid outer-layer seed pairs
318.0,3.1993847876095862,0.01,False,,,16,no valid outer-layer seed pairs
321.0,1.1217569275958104,0.01,False,,,16,no valid outer-layer seed pairs
323.0,1.9627196917404832,0.01,False,,,16,no valid outer-layer seed pairs
324.0,1.519584847764182,0.01,False,,,16,no valid outer-layer seed pairs
326.0,578.885731340769,0.01,False,,,13,no exact8 plane survived
327.0,0.5210104958985368,0.01,False,,,8,no valid outer-layer seed pairs
328.0,6.928860452902422,0.01,False,,,15,no valid outer-layer seed pairs
329.0,12.54905357689452,0.01,False,,,15,no valid outer-layer seed pairs
330.0,7.244968341589969,0.01,False,,,15,no valid outer-layer seed pairs
332.0,116.3219075047158,0.01,False,,,14,no exact8 plane survived
333.0,17.35897577266328,0.01,False,,,15,no valid outer-layer seed pairs
334.0,150.9132677950524,0.01,False,,,14,no exact8 plane survived
337.0,16.951340060384812,0.01,False,,,15,no valid outer-layer seed pairs
338.0,165.95599199749938,0.01,False,,,14,no exact8 plane survived
339.0,88.39885874551175,0.01,False,,,14,no exact8 plane survived
340.0,0.7675924651766647,0.01,False,,,12,no valid outer-layer seed pairs
341.0,6.946867730136935,0.01,False,,,15,no valid outer-layer seed pairs
344.0,3.5034510383159367,0.01,False,,,16,no valid outer-layer seed pairs
346.0,2.710298546602487,0.01,False,,,16,no valid outer-layer seed pairs
347.0,21.27297400473511,0.01,False,,,15,no exact8 plane survived
348.0,19.60285602888577,0.01,False,,,15,no exact8 plane survived
350.0,6.176530478676457,0.01,False,,,15,no valid outer-layer seed pairs
351.0,2.546256140626661,0.01,False,,,16,no valid outer-layer seed pairs
352.0,1.6783531213150222,0.01,False,,,16,no valid outer-layer seed pairs
353.0,16.42218949717502,0.01,False,,,15,no valid outer-layer seed pairs
355.0,2.227713871456756,0.01,False,,,16,no valid outer-layer seed pairs
356.0,2.798124699268152,0.01,False,,,16,no valid outer-layer seed pairs
357.0,1.221363388820792,0.01,False,,,16,no valid outer-layer seed pairs
