event,mu,pre_found,post_found,pre_ds,post_ds,pre_dw,post_dw,hits_pre,hits_post,merged_away,merge_transition
2536,10,False,False,,,,,1408,1406,2,0->0
2536,20,False,False,,,,,4028,4026,2,0->0
5399,0,False,False,,,,,16,15,1,0->0
5399,5,False,False,,,,,829,828,1,0->0
5399,10,False,False,,,,,2102,2101,1,0->0
5399,20,False,False,,,,,2951,2950,1,0->0
2142,0,False,False,,,,,16,14,2,0->0
2142,5,False,False,,,,,954,952,2,0->0
2142,10,False,False,,,,,1890,1888,2,0->0
2142,20,False,False,,,,,4769,4767,2,0->0
3671,0,False,False,,,,,16,15,1,0->0
3671,5,False,False,,,,,1014,1013,1,0->0
3671,10,False,False,,,,,975,974,1,0->0
3671,20,False,False,,,,,4306,4302,4,0->0
3081,0,False,False,,,,,16,14,2,0->0
3081,5,False,False,,,,,996,994,2,0->0
3081,10,False,False,,,,,2336,2333,3,0->0
3081,20,False,False,,,,,2361,2359,2,0->0
1596,0,False,False,,,,,16,14,2,0->0
1596,5,False,False,,,,,649,647,2,0->0
1596,10,False,False,,,,,1224,1221,3,0->0
1596,20,False,False,,,,,3085,3082,3,0->0
3407,0,False,False,,,,,16,15,1,0->0
3407,5,False,False,,,,,866,865,1,0->0
3407,10,False,False,,,,,1469,1467,2,0->0
3407,20,False,False,,,,,4060,4059,1,0->0
2885,0,False,False,,,,,16,15,1,0->0
2885,5,False,False,,,,,824,822,2,0->0
2885,10,False,False,,,,,1693,1692,1,0->0
2885,20,False,False,,,,,3875,3874,1,0->0
6574,0,False,False,,,,,16,14,2,0->0
6574,5,False,False,,,,,680,678,2,0->0
6574,10,False,False,,,,,1373,1371,2,0->0
6574,20,False,False,,,,,2034,2032,2,0->0
7193,0,False,False,,,,,16,15,1,0->0
7193,5,False,False,,,,,1137,1136,1,0->0
7193,10,False,False,,,,,1959,1957,2,0->0
7193,20,False,False,,,,,4928,4925,3,0->0
6808,0,False,False,,,,,16,15,1,0->0
6808,5,False,False,,,,,1323,1322,1,0->0
6808,10,False,False,,,,,2019,2018,1,0->0
6808,20,False,False,,,,,3080,3078,2,0->0
9658,0,False,False,,,,,16,15,1,0->0
9658,5,False,False,,,,,891,890,1,0->0
9658,10,False,False,,,,,1827,1826,1,0->0
9658,20,False,False,,,,,4358,4357,1,0->0
877,0,False,False,,,,,16,15,1,0->0
877,5,False,False,,,,,1467,1466,1,0->0
877,10,False,False,,,,,1220,1219,1,0->0
877,20,False,False,,,,,3221,3220,1,0->0
2658,0,False,False,,,,,16,15,1,0->0
2658,5,False,False,,,,,764,763,1,0->0
2658,10,False,False,,,,,811,810,1,0->0
2658,20,False,False,,,,,2890,2886,4,0->0
6094,0,False,False,,,,,16,15,1,0->0
6094,5,False,False,,,,,927,926,1,0->0
6094,10,False,False,,,,,1294,1293,1,0->0
6094,20,False,False,,,,,2883,2882,1,0->0
5336,0,False,False,,,,,16,15,1,0->0
5336,5,False,False,,,,,335,334,1,0->0
5336,10,False,False,,,,,1364,1363,1,0->0
5336,20,False,False,,,,,2263,2262,1,0->0
8916,0,False,False,,,,,16,15,1,0->0
8916,5,False,False,,,,,642,641,1,0->0
8916,10,False,False,,,,,2002,2000,2,0->0
8916,20,False,False,,,,,2893,2892,1,0->0
6892,0,False,False,,,,,16,14,2,0->0
6892,5,False,False,,,,,438,436,2,0->0
6892,10,False,False,,,,,1648,1646,2,0->0
6892,20,False,False,,,,,2445,2442,3,0->0
1894,0,False,False,,,,,16,15,1,0->0
1894,5,False,False,,,,,1159,1158,1,0->0
1894,10,False,False,,,,,1141,1140,1,0->0
1894,20,False,False,,,,,2961,2959,2,0->0
1092,0,False,False,,,,,16,14,2,0->0
1092,5,False,False,,,,,794,792,2,0->0
1092,10,False,False,,,,,812,810,2,0->0
1092,20,False,False,,,,,4730,4727,3,0->0
9400,0,False,False,,,,,16,15,1,0->0
9400,5,False,False,,,,,893,892,1,0->0
9400,10,False,False,,,,,1045,1044,1,0->0
9400,20,False,False,,,,,3031,3030,1,0->0
1735,0,False,False,,,,,16,14,2,0->0
1735,5,False,False,,,,,587,585,2,0->0
1735,10,False,False,,,,,1513,1511,2,0->0
1735,20,False,False,,,,,2678,2676,2,0->0
8381,0,False,False,,,,,16,15,1,0->0
8381,5,False,False,,,,,571,570,1,0->0
8381,10,False,False,,,,,2022,2021,1,0->0
8381,20,False,False,,,,,3789,3788,1,0->0
5848,0,False,False,,,,,16,15,1,0->0
5848,5,False,False,,,,,765,764,1,0->0
5848,10,False,False,,,,,2008,2007,1,0->0
5848,20,False,False,,,,,2807,2806,1,0->0
8561,0,False,False,,,,,16,15,1,0->0
8561,5,False,False,,,,,468,467,1,0->0
8561,10,False,False,,,,,1300,1299,1,0->0
8561,20,False,False,,,,,2829,2827,2,0->0
3157,0,False,False,,,,,16,14,2,0->0
3157,5,False,False,,,,,815,813,2,0->0
3157,10,False,False,,,,,1469,1467,2,0->0
3157,20,False,False,,,,,4233,4230,3,0->0
1768,0,False,False,,,,,16,14,2,0->0
1768,5,False,False,,,,,1112,1110,2,0->0
1768,10,False,False,,,,,1338,1336,2,0->0
1768,20,False,False,,,,,3990,3988,2,0->0
7538,0,False,False,,,,,16,15,1,0->0
7538,5,False,False,,,,,397,396,1,0->0
7538,10,False,False,,,,,1166,1165,1,0->0
7538,20,False,False,,,,,1667,1666,1,0->0
1783,0,False,False,,,,,16,15,1,0->0
1783,5,False,False,,,,,721,720,1,0->0
1783,10,False,False,,,,,2773,2772,1,0->0
1783,20,False,False,,,,,2520,2519,1,0->0
2083,0,False,False,,,,,16,15,1,0->0
2083,5,False,False,,,,,929,928,1,0->0
