event,found,delta_s,delta_w,n_hits
5830.0,False,,,25
5853.0,True,0.02067946822950951,4.822607192574418,28
5861.0,False,,,26
5866.0,False,,,23
5871.0,False,,,22
5881.0,False,,,21
5886.0,False,,,25
5890.0,False,,,24
5895.0,False,,,22
5900.0,False,,,23
5909.0,False,,,25
5923.0,False,,,23
5947.0,False,,,28
5948.0,True,0.02709763394208623,5.4911419447024965,22
5961.0,False,,,24
5963.0,False,,,24
5964.0,False,,,27
5970.0,False,,,24
5980.0,False,,,32
5983.0,False,,,30
5984.0,False,,,22
6007.0,False,,,25
6012.0,False,,,26
6017.0,False,,,28
6023.0,False,,,24
6024.0,False,,,23
6039.0,False,,,27
6043.0,True,0.0018197700673995359,8.466471154184735,32
6073.0,False,,,23
6076.0,False,,,25
6101.0,False,,,26
6121.0,False,,,26
6123.0,False,,,27
6130.0,False,,,29
6155.0,False,,,26
6159.0,True,0.029254927402686485,4.675742564044499,27
6164.0,False,,,24
6169.0,True,2.1788820833383098e-05,0.5878938045879113,30
6171.0,False,,,25
6193.0,False,,,21
6202.0,False,,,24
6218.0,False,,,27
6220.0,False,,,28
6227.0,False,,,25
6231.0,False,,,25
6234.0,False,,,24
6245.0,False,,,22
6261.0,False,,,23
6279.0,False,,,25
6287.0,False,,,25
6290.0,False,,,25
6309.0,True,0.0009083477887056135,6.44394530683223,28
6317.0,False,,,31
6325.0,False,,,26
6333.0,False,,,27
6334.0,False,,,25
6350.0,False,,,25
6351.0,False,,,29
6357.0,False,,,19
6361.0,False,,,28
6363.0,False,,,23
6364.0,False,,,25
6370.0,False,,,25
6376.0,False,,,22
6390.0,False,,,27
6399.0,False,,,22
6400.0,False,,,25
6404.0,True,0.01545309361021529,4.444077563687148,22
6407.0,False,,,25
6422.0,False,,,26
6436.0,True,0.035654457925536,5.053950462976507,23
6438.0,False,,,21
6440.0,False,,,23
6462.0,False,,,21
6476.0,False,,,24
6491.0,False,,,26
6493.0,False,,,22
6519.0,False,,,27
6526.0,False,,,26
6529.0,False,,,26
6546.0,False,,,21
6550.0,False,,,23
6552.0,True,4.057720128086627e-05,1.2132447439051464,27
6553.0,False,,,28
6557.0,False,,,25
6558.0,False,,,23
6563.0,False,,,27
6568.0,False,,,22
6590.0,False,,,25
6660.0,False,,,26
6692.0,False,,,29
6700.0,False,,,26
6714.0,False,,,27
6715.0,False,,,29
