event,photon_pT,weight,found,pT_bin
75.0,33.617389937798315,0.01,False,>20
77.0,85.87089665282231,0.01,False,>20
78.0,12.015564287549784,0.01,False,5-20
79.0,24.22429561954877,0.01,False,>20
81.0,13.600754411877572,0.01,False,5-20
82.0,56.88923213446456,0.01,False,>20
83.0,11.984808472866904,0.01,False,5-20
85.0,31.873923046811136,0.01,False,>20
87.0,9.388413613430291,0.01,False,5-20
89.0,137.16582178771185,0.01,False,>20
90.0,10.69621733176885,0.01,False,5-20
91.0,26.360171235597427,0.01,False,>20
92.0,25.660563242102423,0.01,False,>20
94.0,19.475839143109628,0.01,False,5-20
95.0,31.60519733041301,0.01,False,>20
96.0,10.472915545345357,0.01,False,5-20
97.0,24.283791690440424,0.01,False,>20
98.0,13.659717116962028,0.01,False,5-20
99.0,23.45887001269771,0.01,False,>20
100.0,14.46618391419838,0.01,False,5-20
101.0,27.27630945870615,0.01,False,>20
103.0,11.273771569974752,0.01,False,5-20
105.0,69.59554009628177,0.01,False,>20
108.0,8.194040091704718,0.01,False,5-20
109.0,59.32949296675228,0.01,False,>20
110.0,22.084947788998303,0.01,False,>20
111.0,24.68332496047319,0.01,False,>20
112.0,55.27510705304578,0.01,False,>20
114.0,100.76955700103302,0.01,False,>20
115.0,46.70479595929276,0.01,False,>20
116.0,22.062469222880367,0.01,False,>20
117.0,12.682051967217754,0.01,False,5-20
118.0,8.897964040514681,0.01,False,5-20
119.0,5.989654589405547,0.01,False,5-20
120.0,36.449903613231314,0.01,False,>20
121.0,26.96651173942394,0.01,False,>20
123.0,29.233350486802543,0.01,False,>20
125.0,12.223985781690072,0.01,False,5-20
126.0,32.67301921211033,0.01,False,>20
127.0,23.374213903752928,0.01,False,>20
128.0,21.558627213209046,0.01,False,>20
129.0,15.5741603961581,0.01,False,5-20
130.0,11.503839775822431,0.01,False,5-20
131.0,20.749893229069382,0.01,False,>20
132.0,50.66986100828035,0.01,False,>20
133.0,14.110365531382298,0.01,False,5-20
135.0,61.76036339565649,0.01,False,>20
136.0,24.35404367595316,0.01,False,>20
