event,reason
604.0,seed_ds_fail
605.0,final_ds_fail
606.0,seed_ds_fail
608.0,no_outer_pairs
609.0,no_outer_pairs
610.0,no_outer_pairs
612.0,no_outer_pairs
613.0,seed_ds_fail
614.0,seed_dw_fail
615.0,no_outer_pairs
618.0,seed_ds_fail
619.0,seed_dw_fail
620.0,no_outer_pairs
623.0,seed_dw_fail
625.0,seed_ds_fail
626.0,no_outer_pairs
629.0,seed_dw_fail
630.0,no_outer_pairs
631.0,final_ds_fail
632.0,seed_dw_fail
633.0,no_outer_pairs
634.0,no_outer_pairs
635.0,no_outer_pairs
637.0,no_outer_pairs
639.0,no_outer_pairs
640.0,seed_ds_fail
644.0,no_outer_pairs
645.0,seed_dw_fail
646.0,seed_dw_fail
647.0,seed_dw_fail
648.0,seed_ds_fail
651.0,no_outer_pairs
652.0,seed_ds_fail
653.0,no_outer_pairs
654.0,seed_dw_fail
655.0,seed_ds_fail
656.0,no_outer_pairs
657.0,final_ds_fail
658.0,missing_layer_after_growth
659.0,seed_ds_fail
660.0,seed_ds_fail
661.0,seed_ds_fail
663.0,seed_dw_fail
664.0,no_outer_pairs
665.0,final_ds_fail
666.0,no_outer_pairs
667.0,seed_dw_fail
670.0,no_outer_pairs
673.0,no_outer_pairs
674.0,seed_ds_fail
675.0,seed_dw_fail
676.0,seed_ds_fail
678.0,seed_ds_fail
679.0,final_ds_fail
680.0,no_outer_pairs
681.0,no_outer_pairs
682.0,seed_ds_fail
685.0,seed_ds_fail
687.0,seed_dw_fail
688.0,seed_dw_fail
689.0,seed_dw_fail
690.0,seed_ds_fail
692.0,seed_dw_fail
693.0,seed_dw_fail
694.0,seed_ds_fail
696.0,no_outer_pairs
699.0,seed_ds_fail
700.0,no_outer_pairs
701.0,no_outer_pairs
703.0,seed_ds_fail
704.0,seed_ds_fail
705.0,seed_dw_fail
706.0,no_outer_pairs
708.0,seed_ds_fail
709.0,no_outer_pairs
710.0,no_outer_pairs
711.0,no_outer_pairs
713.0,seed_ds_fail
714.0,seed_ds_fail
715.0,seed_dw_fail
716.0,seed_ds_fail
717.0,no_outer_pairs
718.0,no_outer_pairs
721.0,no_outer_pairs
722.0,seed_dw_fail
723.0,no_outer_pairs
724.0,seed_ds_fail
725.0,seed_ds_fail
726.0,final_ds_fail
727.0,no_outer_pairs
729.0,no_outer_pairs
730.0,seed_ds_fail
731.0,no_outer_pairs
732.0,no_outer_pairs
733.0,final_ds_fail
734.0,seed_dw_fail
735.0,seed_ds_fail
737.0,no_outer_pairs
738.0,no_outer_pairs
740.0,seed_ds_fail
741.0,no_outer_pairs
743.0,seed_ds_fail
744.0,no_outer_pairs
746.0,no_outer_pairs
747.0,final_ds_fail
748.0,no_outer_pairs
749.0,no_outer_pairs
750.0,seed_ds_fail
751.0,no_outer_pairs
754.0,no_outer_pairs
755.0,seed_ds_fail
756.0,seed_ds_fail
757.0,seed_dw_fail
759.0,no_outer_pairs
760.0,no_outer_pairs
762.0,no_outer_pairs
765.0,no_outer_pairs
767.0,no_outer_pairs
769.0,no_outer_pairs
771.0,no_outer_pairs
773.0,no_outer_pairs
774.0,final_ds_fail
775.0,no_outer_pairs
777.0,seed_ds_fail
778.0,seed_dw_fail
779.0,no_outer_pairs
780.0,seed_ds_fail
781.0,seed_ds_fail
782.0,seed_dw_fail
783.0,seed_ds_fail
785.0,seed_dw_fail
786.0,seed_dw_fail
787.0,seed_ds_fail
788.0,no_outer_pairs
791.0,seed_dw_fail
792.0,seed_dw_fail
794.0,seed_ds_fail
796.0,no_outer_pairs
797.0,no_outer_pairs
798.0,no_outer_pairs
