source,source_event,layer_id,trajectory_step,x,y,z,r,phi,n_merged,hard_members,pileup_members
pileup,-1,1,39,-30.85096405172885,12.400827273973851,-75.25,33.25,2.7593984962406015,1,0,1
pileup,-1,1,39,3.9694878039673687,33.01220481237438,-31.75,33.25,1.4511278195488722,1,0,1
pileup,-1,1,39,-14.694950024354895,29.826514107111343,-2.0,33.25,2.0285714285714285,1,0,1
pileup,-1,1,39,-26.25929632595537,20.39636870782804,4.0,33.25,2.481203007518797,1,0,1
pileup,-1,1,40,12.97484534307243,30.61398190897995,-86.25,33.25,1.1699248120300754,1,0,1
pileup,-1,1,40,19.89601180716645,-26.64040566825312,-45.5,33.25,-0.9293233082706769,1,0,1
pileup,-1,1,40,-13.882331524783904,30.213297923861127,-20.25,33.25,2.001503759398496,1,0,1
pileup,-1,1,41,29.634448854536625,-15.078525826083034,-88.0,33.25,-0.4706766917293233,1,0,1
pileup,-1,1,41,-10.82032319869405,-31.440151174506195,-58.0,33.25,-1.9022556390977443,1,0,1
pileup,-1,1,41,-0.6209860280916906,-33.24420064241153,-16.5,33.25,-1.5894736842105264,1,0,1
pileup,-1,1,42,33.203957998240874,-1.7491921709908984,-60.5,33.25,-0.052631578947368425,1,0,1
pileup,-1,1,42,-3.116441087861946,33.10362963401273,-54.0,33.25,1.6646616541353383,1,0,1
pileup,-1,1,42,2.027718892631038,-33.18811317463629,-57.75,33.25,-1.5097744360902257,1,0,1
pileup,-1,1,43,12.744300449481717,-30.71067088250174,-51.25,33.25,-1.1774436090225566,1,0,1
pileup,-1,1,43,18.34205679745812,-27.73321929453593,-15.0,33.25,-0.9864661654135339,1,0,1
pileup,-1,1,43,-8.766154702200817,32.07361893733045,-65.0,33.25,1.8375939849624061,1,0,1
pileup,-1,1,43,-15.8935081401332,-29.205460088817635,9.75,33.25,-2.0691729323308268,1,0,1
pileup,-1,1,44,-20.9159374104835,-25.847360837051365,-39.25,33.25,-2.2511278195488726,1,0,1
pileup,-1,1,44,-16.374409633472794,28.938576488058864,-68.75,33.25,2.085714285714286,1,0,1
pileup,-1,1,44,31.816214104251525,9.658727663229064,-57.25,33.25,0.29473684210526313,1,0,1
pileup,-1,1,44,-17.831934290150553,-28.063938060645604,-15.5,33.25,-2.136842105263158,1,0,1
pileup,-1,1,45,-18.25191636873292,27.79262580017907,-69.5,33.25,2.1518796992481204,1,0,1
pileup,-1,1,45,18.300331985638675,-27.76076996798558,-10.75,33.25,-0.9879699248120302,1,0,1
pileup,-1,1,46,11.721520185524268,-31.1154055821284,-7.75,33.25,-1.2105263157894737,1,0,1
pileup,-1,1,46,-30.176898727926748,13.961277991804792,-66.5,33.25,2.7082706766917295,1,0,1
pileup,-1,1,46,30.138134862372475,14.044761550750808,-65.75,33.25,0.4360902255639099,1,0,1
pileup,-1,1,47,8.725590957850862,32.08467800113118,-31.0,33.25,1.305263157894737,1,0,1
pileup,-1,1,47,-19.283609562117437,27.08698769254,-96.0,33.25,2.189473684210526,1,0,1
pileup,-1,1,47,19.57409376915171,26.877822700443144,27.5,33.25,0.9413533834586464,1,0,1
