event,n_valid_seeds,min_seed_ds,median_seed_ds,max_seed_ds
830,1,0.323954926685058,0.323954926685058,0.323954926685058
873,1,0.32894172619922424,0.32894172619922424,0.32894172619922424
925,1,0.44075973401027085,0.44075973401027085,0.44075973401027085
934,1,0.34202824744149884,0.34202824744149884,0.34202824744149884
987,1,0.27383301474823835,0.27383301474823835,0.27383301474823835
990,1,0.45900337399386537,0.45900337399386537,0.45900337399386537
1008,1,0.14963680920808953,0.14963680920808953,0.14963680920808953
1013,1,0.23417310892925175,0.23417310892925175,0.23417310892925175
1061,1,0.30259553492995606,0.30259553492995606,0.30259553492995606
1068,1,0.4029775149182785,0.4029775149182785,0.4029775149182785
1070,1,0.21835944143741623,0.21835944143741623,0.21835944143741623
1079,1,0.37964271432865176,0.37964271432865176,0.37964271432865176
1091,1,0.26566060073635117,0.26566060073635117,0.26566060073635117
1157,1,0.4087785897784506,0.4087785897784506,0.4087785897784506
1164,1,0.12778704376814912,0.12778704376814912,0.12778704376814912
1181,1,0.3996827648221053,0.3996827648221053,0.3996827648221053
1189,1,0.22272446859651537,0.22272446859651537,0.22272446859651537
1194,1,0.3843342423413467,0.3843342423413467,0.3843342423413467
1224,1,0.13388055557363665,0.13388055557363665,0.13388055557363665
1259,1,0.3946674893266287,0.3946674893266287,0.3946674893266287
1278,1,0.27990884020953594,0.27990884020953594,0.27990884020953594
1281,1,0.4947311300309712,0.4947311300309712,0.4947311300309712
1287,1,0.272213574394706,0.272213574394706,0.272213574394706
1300,1,0.3918929803842744,0.3918929803842744,0.3918929803842744
1322,1,0.42674646806127153,0.42674646806127153,0.42674646806127153
1344,1,0.4120025860500664,0.4120025860500664,0.4120025860500664
1365,1,0.4927058453212186,0.4927058453212186,0.4927058453212186
1380,1,0.26034856850557403,0.26034856850557403,0.26034856850557403
1438,1,0.302089478046411,0.302089478046411,0.302089478046411
1456,1,0.02027146288853191,0.02027146288853191,0.02027146288853191
1473,1,0.07789451554440259,0.07789451554440259,0.07789451554440259
1507,1,0.3632671083067018,0.3632671083067018,0.3632671083067018
1518,1,0.10735201029975881,0.10735201029975881,0.10735201029975881
1525,1,0.19367222304114073,0.19367222304114073,0.19367222304114073
1603,1,0.1678924236530285,0.1678924236530285,0.1678924236530285
1610,1,0.31740027235876545,0.31740027235876545,0.31740027235876545
1676,1,0.36978056848638596,0.36978056848638596,0.36978056848638596
1703,1,0.2669937289752535,0.2669937289752535,0.2669937289752535
1712,1,0.43111296949415834,0.43111296949415834,0.43111296949415834
1735,1,0.2491836136057555,0.2491836136057555,0.2491836136057555
1749,1,0.30195959336446065,0.30195959336446065,0.30195959336446065
1771,1,0.4341738145527264,0.4341738145527264,0.4341738145527264
1785,1,0.11741258808606894,0.11741258808606894,0.11741258808606894
1786,1,0.3575622111255889,0.3575622111255889,0.3575622111255889
1802,1,0.11614163605519794,0.11614163605519794,0.11614163605519794
1900,1,0.00785401190449927,0.00785401190449927,0.00785401190449927
1902,1,0.32642038936950524,0.32642038936950524,0.32642038936950524
1909,1,0.49167235037108664,0.49167235037108664,0.49167235037108664
1920,1,0.48492438487492506,0.48492438487492506,0.48492438487492506
1925,1,0.18499522251439435,0.18499522251439435,0.18499522251439435
