event,photon_pT,weight,found,delta_s,delta_w,n_hits,reason
202.0,16.458468596974885,0.01,False,,,15,no valid outer-layer seed pairs
203.0,27.791324362282708,0.01,False,,,15,no exact8 plane survived
204.0,123.16828297635624,0.01,False,,,14,no exact8 plane survived
207.0,84.53824425845573,0.01,False,,,14,no exact8 plane survived
208.0,199.66700904138867,0.01,False,,,14,no exact8 plane survived
209.0,11.863587677598812,0.01,False,,,15,no valid outer-layer seed pairs
211.0,11.548041181682429,0.01,False,,,15,no valid outer-layer seed pairs
212.0,15.674982478859398,0.01,False,,,15,no valid outer-layer seed pairs
214.0,99.44902098279624,0.01,False,,,14,no exact8 plane survived
215.0,16.23299331442152,0.01,False,,,15,no valid outer-layer seed pairs
216.0,30.42548106054947,0.01,False,,,14,no exact8 plane survived
221.0,10.01833422304286,0.01,False,,,15,no valid outer-layer seed pairs
222.0,13.650984120386322,0.01,False,,,15,no valid outer-layer seed pairs
224.0,138.6661327982324,0.01,False,,,14,no exact8 plane survived
225.0,42.95063741591506,0.01,False,,,14,no exact8 plane survived
226.0,14.72991022116169,0.01,False,,,15,no valid outer-layer seed pairs
227.0,14.38736866660626,0.01,False,,,15,no valid outer-layer seed pairs
228.0,79.35895726133229,0.01,False,,,14,no exact8 plane survived
229.0,22.693252530604084,0.01,False,,,15,no exact8 plane survived
230.0,23.77080186109715,0.01,False,,,15,no exact8 plane survived
231.0,19.117723953228825,0.01,False,,,15,no exact8 plane survived
233.0,12.89244380841112,0.01,False,,,15,no valid outer-layer seed pairs
234.0,14.39539823472987,0.01,False,,,15,no valid outer-layer seed pairs
237.0,16.99837750757192,0.01,False,,,15,no valid outer-layer seed pairs
238.0,28.851418054007027,0.01,False,,,15,no exact8 plane survived
239.0,29.699315772560567,0.01,False,,,14,no exact8 plane survived
240.0,9.678244749947291,0.01,False,,,15,no valid outer-layer seed pairs
241.0,19.038413518830573,0.01,False,,,15,no exact8 plane survived
242.0,73.76689047941471,0.01,False,,,14,no exact8 plane survived
244.0,12.680100363573906,0.01,False,,,15,no valid outer-layer seed pairs
245.0,37.169650207745256,0.01,False,,,15,no exact8 plane survived
247.0,45.90560244251361,0.01,False,,,14,no exact8 plane survived
249.0,72.12045768655848,0.01,False,,,14,no exact8 plane survived
251.0,17.92911605450711,0.01,False,,,15,no valid outer-layer seed pairs
252.0,10.156728941206342,0.01,False,,,15,no valid outer-layer seed pairs
253.0,33.18263278163075,0.01,False,,,14,no exact8 plane survived
254.0,10.72265226595853,0.01,False,,,15,no valid outer-layer seed pairs
255.0,18.64245202780985,0.01,False,,,15,no exact8 plane survived
256.0,44.50233350603345,0.01,False,,,14,no exact8 plane survived
257.0,17.378398193168746,0.01,False,,,15,no valid outer-layer seed pairs
258.0,54.5470786309076,0.01,False,,,14,no exact8 plane survived
