event,mu,hard_found,pu_found,transition,hard_ds,pu_ds,hard_dw,pu_dw,hard_hits,combined_hits,pu_events
5375,10,False,False,0->0,,,,,16,1026,"910,332,615,393,239,356,618,592,402,737"
5375,20,False,False,0->0,,,,,16,4218,"780,143,738,935,343,661,60,77,775,836,871,643,236,546,196,888,534,200,3,651"
6264,0,False,False,0->0,,,,,16,16,
6264,5,False,False,0->0,,,,,16,458,"815,410,241,581,637"
6264,10,False,False,0->0,,,,,16,1137,"49,767,188,439,199,454,40,690,583,305"
6264,20,False,False,0->0,,,,,16,2586,"54,51,836,722,751,431,727,289,868,491,793,848,533,953,477,263,585,612,921,885"
3232,0,False,False,0->0,,,,,16,16,
3232,5,False,False,0->0,,,,,16,996,"270,909,992,840,109"
3232,10,False,False,0->0,,,,,16,2236,"11,606,385,313,598,930,964,401,444,182"
3232,20,False,False,0->0,,,,,16,2684,"444,197,167,44,927,448,483,145,127,815,695,21,510,795,384,319,171,40,387,429"
2467,0,False,False,0->0,,,,,16,16,
2467,5,False,False,0->0,,,,,16,683,"113,856,685,346,58"
2467,10,False,False,0->0,,,,,16,2209,"555,649,764,18,190,208,980,815,135,383"
2467,20,False,False,0->0,,,,,16,3123,"73,636,963,577,1000,201,360,802,887,195,373,662,359,793,885,47,796,473,407,501"
8464,0,False,False,0->0,,,,,16,16,
8464,5,False,False,0->0,,,,,16,396,"922,563,907,316,161"
8464,10,False,False,0->0,,,,,16,1621,"641,718,712,895,535,486,663,235,985,532"
8464,20,False,False,0->0,,,,,16,3669,"282,838,616,974,85,735,763,497,988,598,909,293,750,835,861,815,753,398,58,594"
6026,0,False,False,0->0,,,,,16,16,
6026,5,False,False,0->0,,,,,16,204,"369,981,992,18,182"
6026,10,False,False,0->0,,,,,16,1252,"537,242,513,152,57,330,232,495,581,404"
6026,20,False,False,0->0,,,,,16,2612,"861,114,930,362,938,705,319,757,218,856,593,486,656,261,355,31,657,16,283,475"
8328,0,False,False,0->0,,,,,16,16,
8328,5,False,False,0->0,,,,,16,675,"527,108,226,160,206"
8328,10,False,False,0->0,,,,,16,2214,"197,224,583,372,327,715,829,763,822,511"
