event,layer,n1_distance_mm,passes_0p5
2381.0,1302,0.4460771157655896,True
2381.0,1302,0.2112289036054864,True
2397.0,1304,0.28643871264857573,True
2397.0,1304,1.09216989883134,False
2397.0,1302,0.6172211086470267,False
2397.0,1302,1.1848068866849495,False
2404.0,1304,0.044985324405626394,True
2404.0,1304,0.2402715312688358,True
2404.0,1302,0.05756223336354293,True
2404.0,1302,0.5020950537672572,False
2409.0,1304,0.8569177015700292,False
2409.0,1304,0.25707244377309013,True
2409.0,1302,0.28992923783195307,True
2409.0,1302,1.363429383340926,False
2422.0,1304,1.1633023654576837,False
2422.0,1304,0.9243363234006033,False
2422.0,1302,0.6672939877560153,False
2422.0,1302,0.6756370758052586,False
2450.0,1304,0.27886442096650527,True
2450.0,1304,0.5364792329688408,False
2450.0,1302,0.011541886343998753,True
2450.0,1302,0.2779118366013039,True
2482.0,1304,0.3213608455499657,True
2482.0,1304,0.3752620602694697,True
2482.0,1302,0.7022731979479673,False
2482.0,1302,0.3186113369109622,True
2483.0,1304,0.2842928932514034,True
2483.0,1304,1.4131757654058106,False
2483.0,1302,1.058921321698538,False
2483.0,1302,0.7966456407482472,False
2487.0,1304,1.4064790663897169,False
2487.0,1304,0.9631237778488108,False
2487.0,1302,0.1856998015325021,True
2487.0,1302,0.21697249910253139,True
2505.0,1304,0.11569094056699634,True
2505.0,1304,0.1694955172415527,True
2505.0,1302,0.8147847052815486,False
2505.0,1302,0.5898698332601542,False
2516.0,1304,0.4903575526923014,True
2516.0,1304,0.0625057889514845,True
2516.0,1302,0.4301929898713346,True
2516.0,1302,0.7242378377715935,False
2530.0,1304,1.9723973287704264,False
2530.0,1304,1.6443610189039084,False
2530.0,1302,0.7591557955460079,False
2530.0,1302,0.6992078179885186,False
2567.0,1304,1.2395795732850219,False
2567.0,1304,0.2289863264407994,True
2567.0,1302,0.3893018767426954,True
2567.0,1302,2.0033175726001495,False
2586.0,1304,0.13129968060741887,True
2586.0,1304,1.5794883243263047,False
2586.0,1302,0.027813991632473122,True
2586.0,1302,1.5613215459090595,False
2602.0,1304,0.9935926290565699,False
2602.0,1304,0.9017766639101005,False
2602.0,1302,0.00843397076125548,True
2602.0,1302,0.7184635427453461,False
