event,mu,hard_found,pu_found,transition,hard_ds,pu_ds,hard_dw,pu_dw,hard_hits,combined_hits,pu_events
72,5,False,False,0->0,,,,,16,631,"344,903,267,447,603"
74,5,False,False,0->0,,,,,16,792,"834,968,723,653,13"
75,5,False,False,0->0,,,,,16,603,"818,949,677,877,355"
77,5,False,False,0->0,,,,,16,817,"753,330,855,381,689"
78,5,False,False,0->0,,,,,16,762,"816,81,146,372,11"
79,5,False,False,0->0,,,,,16,1342,"760,68,405,774,626"
81,5,False,False,0->0,,,,,16,392,"765,94,44,594,514"
82,5,False,False,0->0,,,,,16,1796,"39,835,459,370,871"
83,5,False,False,0->0,,,,,16,549,"457,741,750,98,983"
85,5,False,False,0->0,,,,,16,471,"120,270,528,685,146"
87,5,False,False,0->0,,,,,16,403,"34,429,68,32,489"
89,5,False,False,0->0,,,,,16,564,"933,976,557,759,952"
90,5,False,False,0->0,,,,,16,1351,"63,19,57,933,165"
91,5,False,False,0->0,,,,,16,484,"330,687,107,481,944"
92,5,False,False,0->0,,,,,16,733,"13,133,667,185,605"
94,5,False,False,0->0,,,,,16,1042,"785,204,161,792,859"
95,5,False,False,0->0,,,,,16,580,"203,942,977,403,410"
96,5,False,False,0->0,,,,,16,944,"424,643,641,6,715"
97,5,False,False,0->0,,,,,16,865,"828,591,897,202,519"
98,5,False,False,0->0,,,,,16,935,"34,355,494,626,549"
99,5,False,False,0->0,,,,,16,717,"110,518,236,508,242"
100,5,False,False,0->0,,,,,16,658,"978,414,788,700,549"
101,5,False,False,0->0,,,,,16,1114,"590,302,352,269,205"
103,5,False,False,0->0,,,,,16,446,"187,745,570,121,433"
105,5,False,False,0->0,,,,,16,890,"712,598,713,508,761"
108,5,False,False,0->0,,,,,16,621,"975,662,82,50,68"
109,5,False,False,0->0,,,,,16,693,"17,891,359,169,476"
110,5,False,False,0->0,,,,,16,909,"728,773,986,496,117"
111,5,False,False,0->0,,,,,16,681,"168,164,456,99,899"
112,5,False,False,0->0,,,,,16,1536,"483,471,62,723,350"
114,5,False,False,0->0,,,,,16,913,"302,172,875,684,235"
115,5,False,False,0->0,,,,,16,592,"976,385,600,656,187"
116,5,False,False,0->0,,,,,16,695,"185,560,615,107,1"
117,5,False,False,0->0,,,,,16,564,"63,947,146,402,200"
118,5,False,False,0->0,,,,,16,1336,"93,694,976,871,537"
119,5,False,False,0->0,,,,,16,831,"136,159,750,905,346"
120,5,False,False,0->0,,,,,16,1209,"740,567,566,39,459"
121,5,False,False,0->0,,,,,16,593,"207,570,463,565,551"
123,5,False,False,0->0,,,,,16,1330,"396,159,735,567,514"
125,5,False,False,0->0,,,,,16,723,"418,661,697,933,761"
126,5,False,False,0->0,,,,,16,406,"456,690,672,158,299"
127,5,False,False,0->0,,,,,16,1226,"806,104,379,246,163"
128,5,False,False,0->0,,,,,16,729,"715,667,394,426,203"
129,5,False,False,0->0,,,,,16,616,"247,948,847,303,125"
130,5,False,False,0->0,,,,,16,2142,"350,428,848,140,703"
131,5,False,False,0->0,,,,,16,769,"310,68,405,458,382"
132,5,False,False,0->0,,,,,16,1203,"309,126,359,875,900"
133,5,False,False,0->0,,,,,16,399,"727,327,588,658,707"
135,5,False,False,0->0,,,,,16,956,"17,50,710,385,769"
136,5,False,False,0->0,,,,,16,197,"975,77,770,138,810"
138,5,False,False,0->0,,,,,16,1161,"26,958,567,942,787"
139,5,False,False,0->0,,,,,16,677,"919,494,8,437,613"
141,5,False,False,0->0,,,,,16,377,"271,203,575,754,483"
142,5,False,False,0->0,,,,,16,618,"232,72,752,92,498"
144,5,False,False,0->0,,,,,16,631,"535,161,500,402,20"
145,5,False,False,0->0,,,,,16,827,"453,65,592,584,991"
146,5,False,False,0->0,,,,,16,650,"342,272,637,465,969"
148,5,False,False,0->0,,,,,16,1088,"36,59,666,86,493"
149,5,False,False,0->0,,,,,16,1194,"800,533,276,740,995"
151,5,False,False,0->0,,,,,16,315,"586,905,978,695,709"
152,5,False,False,0->0,,,,,16,851,"573,945,270,826,705"
153,5,False,False,0->0,,,,,16,620,"5,332,571,24,603"
154,5,False,False,0->0,,,,,16,1160,"163,453,384,714,146"
155,5,False,False,0->0,,,,,16,890,"924,552,473,453,691"
156,5,False,False,0->0,,,,,16,785,"634,241,573,413,761"
157,5,False,False,0->0,,,,,16,1132,"395,999,192,712,284"
159,5,False,False,0->0,,,,,16,713,"594,444,127,77,736"
160,5,False,False,0->0,,,,,16,744,"371,413,225,640,448"
161,5,False,False,0->0,,,,,16,1015,"285,409,434,548,891"
163,5,False,False,0->0,,,,,16,229,"811,849,398,744,373"
164,5,False,False,0->0,,,,,16,545,"686,635,417,398,394"
165,5,False,False,0->0,,,,,16,861,"784,720,855,140,6"
166,5,False,False,0->0,,,,,16,733,"289,982,456,539,573"
167,5,False,False,0->0,,,,,16,1074,"19,414,567,751,442"
169,5,False,False,0->0,,,,,16,246,"352,805,806,565,737"
172,5,False,False,0->0,,,,,16,333,"61,737,161,862,85"
173,5,False,False,0->0,,,,,16,354,"570,984,950,48,635"
174,5,False,False,0->0,,,,,16,987,"60,100,878,146,419"
177,5,False,False,0->0,,,,,16,756,"416,396,312,233,555"
179,5,False,False,0->0,,,,,16,1476,"646,202,84,262,226"
180,5,False,False,0->0,,,,,16,907,"868,104,62,790,858"
181,5,False,False,0->0,,,,,16,839,"736,830,460,880,937"
183,5,False,False,0->0,,,,,16,501,"378,762,13,159,304"
185,5,False,False,0->0,,,,,16,881,"515,238,117,902,567"
188,5,False,False,0->0,,,,,16,929,"291,968,110,280,329"
189,5,False,False,0->0,,,,,16,1226,"750,976,706,2,146"
190,5,False,False,0->0,,,,,16,751,"425,402,938,703,890"
192,5,False,False,0->0,,,,,16,1004,"333,624,989,235,136"
193,5,False,False,0->0,,,,,16,724,"410,633,589,209,113"
194,5,False,False,0->0,,,,,16,1277,"467,828,2,246,822"
197,5,False,False,0->0,,,,,16,807,"159,498,588,148,197"
198,5,False,False,0->0,,,,,16,667,"308,687,523,80,651"
199,5,False,False,0->0,,,,,16,2067,"230,277,750,140,194"
200,5,False,False,0->0,,,,,16,816,"609,897,887,438,751"
202,5,False,False,0->0,,,,,16,976,"723,104,214,619,472"
203,5,False,False,0->0,,,,,16,438,"372,434,551,303,695"
204,5,False,False,0->0,,,,,16,1151,"618,38,661,771,834"
207,5,False,False,0->0,,,,,16,722,"452,479,96,577,872"
208,5,False,False,0->0,,,,,16,896,"363,711,459,32,947"
209,5,False,False,0->0,,,,,16,935,"512,257,914,77,74"
211,5,False,False,0->0,,,,,16,729,"546,992,253,761,319"
212,5,False,False,0->0,,,,,16,828,"441,157,223,622,447"
214,5,False,False,0->0,,,,,16,950,"135,971,479,791,797"
215,5,False,False,0->0,,,,,16,518,"934,342,79,630,959"
216,5,False,False,0->0,,,,,16,1050,"327,655,646,455,253"
221,5,False,False,0->0,,,,,16,819,"531,964,580,877,124"
222,5,False,False,0->0,,,,,16,607,"164,224,765,898,935"
224,5,False,False,0->0,,,,,16,730,"928,80,209,233,207"
225,5,False,False,0->0,,,,,16,2584,"735,471,624,216,703"
226,5,False,False,0->0,,,,,16,579,"142,736,248,228,631"
227,5,False,False,0->0,,,,,16,347,"387,455,56,438,801"
228,5,False,False,0->0,,,,,16,1126,"989,253,578,63,67"
229,5,False,False,0->0,,,,,16,585,"108,824,139,183,329"
230,5,False,False,0->0,,,,,16,506,"813,580,60,892,592"
231,5,False,False,0->0,,,,,16,1032,"165,587,915,510,976"
233,5,False,False,0->0,,,,,16,568,"609,156,691,188,736"
234,5,False,False,0->0,,,,,16,967,"459,542,448,554,467"
237,5,False,False,0->0,,,,,16,449,"17,242,583,934,86"
238,5,False,False,0->0,,,,,16,1416,"488,700,557,703,956"
239,5,False,False,0->0,,,,,16,828,"499,380,176,737,598"
240,5,False,False,0->0,,,,,16,1064,"252,806,163,138,465"
241,5,False,False,0->0,,,,,16,1554,"147,657,601,324,383"
242,5,False,False,0->0,,,,,16,1321,"169,719,447,816,313"
244,5,False,False,0->0,,,,,16,1274,"375,400,905,673,51"
245,5,False,False,0->0,,,,,16,615,"285,761,429,779,49"
247,5,False,False,0->0,,,,,16,967,"495,488,672,539,333"
249,5,False,False,0->0,,,,,16,388,"87,640,250,870,888"
251,5,False,False,0->0,,,,,16,286,"557,63,734,981,267"
252,5,False,False,0->0,,,,,16,1429,"481,532,209,764,849"
253,5,False,False,0->0,,,,,16,1095,"834,840,648,330,572"
254,5,False,False,0->0,,,,,16,764,"147,886,641,985,948"
255,5,False,False,0->0,,,,,16,635,"355,844,52,190,689"
256,5,False,False,0->0,,,,,16,799,"347,919,289,24,903"
257,5,False,False,0->0,,,,,16,1753,"383,370,599,971,350"
258,5,False,False,0->0,,,,,16,1058,"742,528,242,358,395"
260,5,False,False,0->0,,,,,16,641,"903,617,829,177,401"
261,5,False,False,0->0,,,,,16,776,"204,726,61,68,146"
264,5,False,False,0->0,,,,,16,1014,"3,786,878,198,744"
265,5,False,False,0->0,,,,,16,1017,"684,533,887,661,342"
266,5,False,False,0->0,,,,,16,1176,"777,740,922,974,970"
274,5,False,False,0->0,,,,,16,912,"48,223,278,476,822"
275,5,False,False,0->0,,,,,16,461,"533,383,378,811,531"
277,5,False,False,0->0,,,,,16,340,"199,691,439,454,307"
278,5,False,False,0->0,,,,,16,929,"487,465,558,845,401"
279,5,False,False,0->0,,,,,16,1184,"879,592,55,730,293"
284,5,False,False,0->0,,,,,16,510,"838,614,433,956,479"
287,5,False,False,0->0,,,,,16,674,"254,546,200,911,715"
288,5,False,False,0->0,,,,,16,1723,"114,776,648,189,508"
290,5,False,False,0->0,,,,,16,996,"270,909,992,840,109"
292,5,False,False,0->0,,,,,16,719,"11,446,610,971,935"
293,5,False,False,0->0,,,,,16,713,"325,963,167,545,312"
294,5,False,False,0->0,,,,,16,737,"438,519,324,383,811"
297,5,False,False,0->0,,,,,16,739,"447,146,128,702,199"
299,5,False,False,0->0,,,,,16,1598,"384,482,44,366,54"
301,5,False,False,0->0,,,,,16,965,"856,481,253,202,588"
302,5,False,False,0->0,,,,,16,540,"603,999,132,966,58"
303,5,False,False,0->0,,,,,16,439,"715,212,989,660,143"
304,5,False,False,0->0,,,,,16,538,"190,383,555,649,815"
305,5,False,False,0->0,,,,,16,820,"853,393,789,713,160"
306,5,False,False,0->0,,,,,16,331,"803,672,899,378,806"
307,5,False,False,0->0,,,,,16,550,"362,966,474,360,74"
308,5,False,False,0->0,,,,,16,612,"246,885,586,621,266"
310,5,False,False,0->0,,,,,16,451,"662,223,803,416,521"
311,5,False,False,0->0,,,,,16,723,"906,865,560,316,160"
312,5,False,False,0->0,,,,,16,584,"721,989,668,537,236"
313,5,False,False,0->0,,,,,16,880,"585,251,467,950,693"
314,5,False,False,0->0,,,,,16,473,"746,59,762,854,299"
315,5,False,False,0->0,,,,,16,1185,"758,822,867,500,994"
319,5,False,False,0->0,,,,,16,700,"760,833,356,745,107"
320,5,False,False,0->0,,,,,16,762,"715,558,294,135,147"
321,5,False,False,0->0,,,,,16,803,"433,686,870,183,370"
322,5,False,False,0->0,,,,,16,614,"244,586,196,171,293"
323,5,False,False,0->0,,,,,16,712,"591,232,152,329,494"
324,5,False,False,0->0,,,,,16,350,"27,778,31,14,982"
325,5,False,False,0->0,,,,,16,709,"359,481,490,872,16"
327,5,False,False,0->0,,,,,16,909,"363,283,758,857,593"
328,5,False,False,0->0,,,,,16,1359,"454,36,196,178,350"
329,5,False,False,0->0,,,,,16,911,"168,491,117,183,651"
330,5,False,False,0->0,,,,,16,482,"159,225,108,267,278"
331,5,False,False,0->0,,,,,16,1072,"717,224,832,767,513"
332,5,False,False,0->0,,,,,16,1674,"282,606,291,388,748"
333,5,False,False,0->0,,,,,16,1826,"776,42,265,230,861"
334,5,False,False,0->0,,,,,16,687,"980,574,909,870,11"
335,5,False,False,0->0,,,,,16,509,"913,814,640,517,63"
337,5,False,False,0->0,,,,,16,833,"492,452,816,499,605"
338,5,False,False,0->0,,,,,16,384,"14,915,884,239,404"
339,5,False,False,0->0,,,,,16,984,"216,34,352,646,439"
340,5,False,False,0->0,,,,,16,959,"8,270,526,174,979"
341,5,False,False,0->0,,,,,16,1077,"344,972,375,119,553"
344,5,False,False,0->0,,,,,16,1002,"897,253,418,847,424"
345,5,False,False,0->0,,,,,16,1063,"578,622,501,204,4"
346,5,False,False,0->0,,,,,16,296,"330,139,32,574,602"
347,5,False,False,0->0,,,,,16,746,"392,241,124,15,270"
348,5,False,False,0->0,,,,,16,568,"898,789,610,87,686"
349,5,False,False,0->0,,,,,16,944,"966,856,204,223,370"
350,5,False,False,0->0,,,,,16,441,"293,32,371,856,639"
351,5,False,False,0->0,,,,,16,2315,"876,264,750,857,230"
352,5,False,False,0->0,,,,,16,995,"947,387,632,112,52"
353,5,False,False,0->0,,,,,16,415,"503,176,338,977,59"
354,5,False,False,0->0,,,,,16,1222,"55,837,29,104,105"
355,5,False,False,0->0,,,,,16,936,"485,611,25,531,784"
356,5,False,False,0->0,,,,,16,1306,"964,589,955,651,193"
357,5,False,False,0->0,,,,,16,623,"520,585,856,196,614"
360,5,False,False,0->0,,,,,16,933,"975,520,410,976,829"
362,5,False,False,0->0,,,,,16,391,"763,732,523,166,813"
363,5,False,False,0->0,,,,,16,548,"50,393,297,327,263"
364,5,False,False,0->0,,,,,16,830,"730,976,112,33,267"
367,5,False,False,0->0,,,,,16,596,"448,553,95,401,323"
368,5,False,False,0->0,,,,,16,567,"940,954,127,878,283"
370,5,False,False,0->0,,,,,16,955,"173,324,465,440,885"
371,5,False,False,0->0,,,,,16,425,"752,555,507,72,662"
372,5,False,False,0->0,,,,,16,463,"138,836,355,225,212"
374,5,False,False,0->0,,,,,16,825,"47,189,577,592,446"
375,5,False,False,0->0,,,,,16,507,"122,943,433,875,68"
376,5,False,False,0->0,,,,,16,1347,"319,147,419,386,56"
377,5,False,False,0->0,,,,,16,738,"182,473,990,927,273"
378,5,False,False,0->0,,,,,16,1671,"973,594,798,257,845"
379,5,False,False,0->0,,,,,16,798,"96,134,263,3,472"
380,5,False,False,0->0,,,,,16,502,"438,423,518,195,186"
381,5,False,False,0->0,,,,,16,436,"650,26,59,539,344"
382,5,False,False,0->0,,,,,16,898,"308,433,248,762,880"
383,5,False,False,0->0,,,,,16,735,"64,472,903,424,454"
384,5,False,False,0->0,,,,,16,740,"282,971,498,168,401"
385,5,False,False,0->0,,,,,16,441,"54,332,914,972,734"
387,5,False,False,0->0,,,,,16,514,"23,708,631,956,571"
389,5,False,False,0->0,,,,,16,463,"49,23,226,212,552"
390,5,False,False,0->0,,,,,16,855,"862,722,274,140,98"
391,5,False,False,0->0,,,,,16,829,"591,1000,928,884,433"
393,5,False,False,0->0,,,,,16,1255,"116,299,431,505,329"
394,5,False,False,0->0,,,,,16,254,"486,982,12,564,373"
397,5,False,False,0->0,,,,,16,531,"815,885,956,62,744"
398,5,False,False,0->0,,,,,16,690,"385,59,928,212,254"
399,5,False,False,0->0,,,,,16,754,"172,649,573,920,398"
400,5,False,False,0->0,,,,,16,1252,"850,854,716,659,6"
401,5,False,False,0->0,,,,,16,645,"26,931,25,483,750"
402,5,False,False,0->0,,,,,16,1010,"9,858,498,412,715"
403,5,False,False,0->0,,,,,16,658,"242,620,69,715,204"
404,5,False,False,0->0,,,,,16,419,"155,122,830,168,866"
405,5,True,True,1->1,0.0842640974708915,0.0842640974708915,2.6362438920026827,2.6362438920026827,16,585,"855,481,43,705,166"
406,5,False,False,0->0,,,,,16,485,"951,575,146,49,767"
407,5,False,False,0->0,,,,,16,904,"453,298,498,139,726"
410,5,False,False,0->0,,,,,16,488,"737,69,155,279,101"
411,5,False,False,0->0,,,,,16,663,"45,318,761,188,956"
412,5,False,False,0->0,,,,,16,1211,"649,735,795,861,994"
417,5,False,False,0->0,,,,,16,581,"385,765,271,976,554"
418,5,False,False,0->0,,,,,16,443,"199,920,762,602,914"
419,5,False,False,0->0,,,,,16,589,"541,74,770,986,8"
420,5,False,False,0->0,,,,,16,1218,"320,532,844,772,29"
421,5,False,False,0->0,,,,,16,372,"606,639,96,670,122"
422,5,False,False,0->0,,,,,16,636,"490,25,564,238,684"
423,5,False,False,0->0,,,,,16,564,"599,589,630,711,539"
424,5,False,False,0->0,,,,,16,726,"496,63,174,816,805"
425,5,False,False,0->0,,,,,16,697,"517,783,942,61,175"
426,5,False,False,0->0,,,,,16,471,"867,369,433,539,330"
427,5,False,False,0->0,,,,,16,1435,"220,835,917,523,326"
428,5,False,False,0->0,,,,,16,361,"27,771,676,307,212"
429,5,False,False,0->0,,,,,16,806,"368,205,713,884,209"
430,5,False,False,0->0,,,,,16,796,"165,500,708,975,688"
432,5,False,False,0->0,,,,,16,590,"372,235,556,204,492"
433,5,False,False,0->0,,,,,16,1521,"379,800,297,503,941"
434,5,False,False,0->0,,,,,16,979,"114,703,818,335,469"
435,5,False,False,0->0,,,,,16,832,"344,413,501,248,748"
437,5,False,False,0->0,,,,,16,879,"494,808,386,346,690"
439,5,False,False,0->0,,,,,16,404,"541,397,20,617,61"
440,5,False,False,0->0,,,,,16,1012,"538,987,702,159,599"
441,5,False,False,0->0,,,,,16,821,"962,584,338,347,231"
443,5,False,False,0->0,,,,,16,528,"672,734,70,634,412"
444,5,False,False,0->0,,,,,16,422,"520,177,43,139,39"
445,5,False,False,0->0,,,,,16,736,"301,643,78,803,943"
446,5,False,False,0->0,,,,,16,888,"76,973,93,852,6"
447,5,False,False,0->0,,,,,16,954,"649,527,607,397,962"
450,5,False,False,0->0,,,,,16,675,"890,753,162,469,342"
452,5,False,False,0->0,,,,,16,743,"134,96,247,190,863"
453,5,False,False,0->0,,,,,16,376,"108,474,521,713,247"
454,5,False,False,0->0,,,,,16,553,"957,611,580,760,581"
455,5,False,False,0->0,,,,,16,520,"31,274,358,844,914"
457,5,False,False,0->0,,,,,16,1258,"366,21,940,176,585"
458,5,False,False,0->0,,,,,16,1396,"981,388,870,626,842"
460,5,False,False,0->0,,,,,16,856,"630,425,294,108,577"
461,5,False,False,0->0,,,,,16,515,"823,423,796,584,564"
462,5,False,False,0->0,,,,,16,740,"859,615,31,752,826"
464,5,False,False,0->0,,,,,16,1070,"859,887,832,637,612"
466,5,False,False,0->0,,,,,16,1134,"260,214,827,358,428"
467,5,False,False,0->0,,,,,16,596,"655,697,792,142,274"
468,5,False,False,0->0,,,,,16,1104,"174,1000,326,475,911"
469,5,False,False,0->0,,,,,16,728,"510,880,452,331,159"
470,5,False,False,0->0,,,,,16,853,"973,685,49,572,769"
472,5,False,False,0->0,,,,,16,932,"975,930,119,320,492"
473,5,False,False,0->0,,,,,16,1061,"782,876,100,993,929"
474,5,False,False,0->0,,,,,16,987,"829,24,814,672,473"
475,5,False,False,0->0,,,,,16,594,"297,584,16,969,474"
476,5,False,False,0->0,,,,,16,971,"90,169,172,111,814"
477,5,False,False,0->0,,,,,16,503,"654,907,147,602,755"
478,5,False,False,0->0,,,,,16,946,"511,710,21,755,729"
479,5,False,False,0->0,,,,,16,1342,"202,136,574,27,826"
480,5,False,False,0->0,,,,,16,129,"325,2,369,790,910"
481,5,False,False,0->0,,,,,16,780,"848,122,699,260,779"
483,5,False,False,0->0,,,,,16,2324,"634,218,776,871,604"
484,5,False,False,0->0,,,,,16,1073,"319,730,966,83,183"
485,5,False,False,0->0,,,,,16,596,"175,442,283,255,100"
486,5,False,False,0->0,,,,,16,797,"273,935,702,130,152"
488,5,False,False,0->0,,,,,16,313,"22,705,959,446,235"
489,5,False,False,0->0,,,,,16,496,"866,978,788,594,688"
492,5,False,False,0->0,,,,,16,912,"13,764,134,551,606"
493,5,False,False,0->0,,,,,16,1342,"883,422,229,569,198"
494,5,False,False,0->0,,,,,16,792,"669,773,90,961,993"
495,5,False,False,0->0,,,,,16,1560,"928,720,38,255,883"
496,5,False,False,0->0,,,,,16,920,"164,752,194,708,117"
499,5,False,False,0->0,,,,,16,684,"860,617,979,411,601"
500,5,False,False,0->0,,,,,16,606,"417,303,984,655,583"
501,5,False,False,0->0,,,,,16,1188,"87,332,2,964,980"
502,5,False,False,0->0,,,,,16,520,"725,873,633,861,418"
505,5,False,False,0->0,,,,,16,796,"93,831,983,651,362"
506,5,False,False,0->0,,,,,16,599,"97,723,98,235,759"
507,5,False,False,0->0,,,,,16,742,"483,456,761,24,966"
510,5,False,False,0->0,,,,,16,1144,"544,229,515,325,440"
511,5,False,False,0->0,,,,,16,875,"618,885,468,960,830"
512,5,False,False,0->0,,,,,16,380,"445,251,679,732,390"
513,5,False,False,0->0,,,,,16,1016,"670,302,241,405,141"
514,5,False,False,0->0,,,,,16,1042,"122,733,385,370,634"
518,5,False,False,0->0,,,,,16,735,"538,325,498,710,64"
519,5,False,False,0->0,,,,,16,807,"945,646,27,794,723"
520,5,False,False,0->0,,,,,16,938,"145,649,392,249,488"
521,5,False,False,0->0,,,,,16,685,"242,365,797,975,818"
523,5,False,False,0->0,,,,,16,1053,"971,111,364,884,500"
524,5,False,False,0->0,,,,,16,902,"142,717,883,568,927"
526,5,False,False,0->0,,,,,16,716,"499,404,573,688,322"
527,5,False,False,0->0,,,,,16,837,"79,767,29,444,528"
528,5,False,False,0->0,,,,,16,1659,"412,937,350,481,326"
530,5,False,False,0->0,,,,,16,652,"615,159,908,890,113"
531,5,False,False,0->0,,,,,16,774,"538,519,175,257,733"
533,5,False,False,0->0,,,,,16,872,"586,676,535,962,614"
535,5,False,False,0->0,,,,,16,301,"950,192,734,770,614"
536,5,False,False,0->0,,,,,16,923,"598,359,953,469,539"
537,5,False,False,0->0,,,,,16,867,"623,571,895,504,74"
543,5,False,False,0->0,,,,,16,2053,"419,651,84,430,712"
544,5,False,False,0->0,,,,,16,850,"697,515,360,879,321"
545,5,False,False,0->0,,,,,16,339,"737,451,769,524,266"
546,5,False,False,0->0,,,,,16,1764,"162,863,381,157,394"
547,5,False,False,0->0,,,,,16,925,"651,121,738,832,282"
548,5,False,False,0->0,,,,,16,522,"831,705,649,212,241"
549,5,False,False,0->0,,,,,16,713,"829,565,44,49,660"
550,5,False,False,0->0,,,,,16,246,"675,97,134,515,305"
552,5,False,False,0->0,,,,,16,706,"430,984,962,726,813"
554,5,False,False,0->0,,,,,16,864,"845,762,412,510,768"
555,5,False,False,0->0,,,,,16,530,"539,558,322,633,82"
557,5,False,False,0->0,,,,,16,1503,"185,607,385,651,746"
558,5,False,False,0->0,,,,,16,1096,"482,168,186,277,473"
559,5,False,False,0->0,,,,,16,427,"305,961,244,468,935"
560,5,False,False,0->0,,,,,16,302,"565,770,390,217,564"
561,5,False,False,0->0,,,,,16,1131,"19,423,835,445,102"
562,5,False,False,0->0,,,,,16,771,"957,602,829,404,539"
563,5,False,False,0->0,,,,,16,369,"387,408,176,907,672"
565,5,False,False,0->0,,,,,16,1303,"987,391,564,88,393"
566,5,False,False,0->0,,,,,16,1740,"323,320,254,871,488"
569,5,False,False,0->0,,,,,16,859,"563,39,389,891,199"
570,5,False,False,0->0,,,,,16,1223,"835,139,975,119,706"
571,5,False,False,0->0,,,,,16,738,"750,943,64,33,68"
572,5,False,False,0->0,,,,,16,1095,"687,165,517,488,768"
575,5,False,False,0->0,,,,,16,484,"591,277,250,855,110"
576,5,False,False,0->0,,,,,16,987,"498,197,321,526,850"
577,5,False,False,0->0,,,,,16,1050,"539,366,276,683,184"
578,5,False,False,0->0,,,,,16,654,"837,316,899,241,749"
579,5,False,False,0->0,,,,,16,444,"317,760,884,297,513"
580,5,False,False,0->0,,,,,16,923,"495,56,57,408,949"
582,5,False,False,0->0,,,,,16,691,"763,986,208,393,828"
583,5,False,False,0->0,,,,,16,670,"711,483,342,253,209"
584,5,False,False,0->0,,,,,16,676,"805,166,266,780,681"
587,5,False,False,0->0,,,,,16,555,"391,392,655,192,975"
589,5,False,False,0->0,,,,,16,691,"993,138,651,192,872"
590,5,False,False,0->0,,,,,16,487,"855,795,676,249,248"
591,5,False,False,0->0,,,,,16,388,"855,924,391,541,425"
592,5,False,False,0->0,,,,,16,618,"635,279,646,906,11"
593,5,False,False,0->0,,,,,16,780,"404,835,979,357,150"
596,5,False,False,0->0,,,,,16,537,"686,324,133,914,970"
597,5,False,False,0->0,,,,,16,675,"156,969,494,584,64"
598,5,False,False,0->0,,,,,16,1132,"614,461,145,852,395"
