event,charge,layer_id,trajectory_step,x,y,z,r,phi,photon_pT,weight
6.0,-1,8,1402,318.4189746676653,-403.4914578669451,1375.3125824243182,514.0,-0.9027007054795334,5.75853934766141,0.01
7.0,1,1,56,-28.821099429089795,-16.58031144757299,-190.7384756269815,33.25,-2.619545120667431,4.3231505544112725,0.01
7.0,1,2,157,-43.90774223249194,-24.947147573320773,-289.701788327869,50.50000000000001,-2.6249049739141763,4.3231505544112725,0.01
7.0,1,3,378,-77.61240861122782,-42.52721516351395,-507.779442361848,88.50000000000001,-2.6403296969551486,4.3231505544112725,0.01
7.0,1,4,577,-108.297869813459,-57.25226103715978,-703.0321876926154,122.5,-2.6552843356501947,4.3231505544112725,0.01
7.0,1,5,1610,-274.7610061833713,-117.92959544194743,-1720.5476340859395,299.0,-2.7361632796204676,4.3231505544112725,0.01
7.0,1,6,2034,-345.64340008093114,-134.80222542856396,-2138.603229071816,371.0,-2.7697333166977223,4.3231505544112725,0.01
7.0,1,7,2461,-417.9297075478237,-146.91412304128775,-2559.1332627071724,443.00000000000006,-2.8035569617609215,4.3231505544112725,0.01
7.0,1,8,2885,-490.3678212561844,-154.06297373627058,-2976.770630314666,514.0,-2.83717944752153,4.3231505544112725,0.01
7.0,-1,1,56,-28.777105133363456,-16.656551868359397,-190.73847562698157,33.25000000000001,-2.616897802861631,4.3231505544112725,0.01
7.0,-1,2,157,-43.57036043429914,-25.531817240949778,-289.70178832786894,50.5,-2.611537949614886,4.3231505544112725,0.01
7.0,-1,3,378,-75.65676042555509,-45.91627818007639,-507.77944236184806,88.49999999999999,-2.5961132265739137,4.3231505544112725,0.01
7.0,-1,4,577,-103.76049653241078,-65.11535425187803,-703.0321876926162,122.5,-2.5811585878788685,4.3231505544112725,0.01
7.0,-1,5,1610,-239.59197204948472,-178.8761776465467,-1720.547634085936,299.0,-2.5002796439085957,4.3231505544112725,0.01
7.0,-1,6,2034,-289.66939096669597,-231.80302831711114,-2138.603229071813,371.0,-2.466709606831341,4.3231505544112725,0.01
7.0,-1,7,2461,-336.3274887159138,-288.3276267270393,-2559.133262707168,443.0,-2.432885961768142,4.3231505544112725,0.01
7.0,-1,8,2885,-378.76455466119967,-347.4671382049001,-2976.7706303146606,514.0,-2.3992634760075333,4.3231505544112725,0.01
8.0,1,1,21,8.674912882387757,-32.09841719591455,65.37609892480124,33.25,-1.3068423296307163,9.583855706293344,0.01
8.0,1,2,59,13.057539511668471,-48.7826881373015,99.2936337060675,50.5,-1.3092597928427328,9.583855706293344,0.01
8.0,1,3,143,22.287841727495326,-85.6475458558511,174.0155061635567,88.5,-1.3162152400628249,9.583855706293344,0.01
8.0,1,4,218,30.050674164609738,-118.75692393394355,240.881012451481,122.5,-1.3229551994210782,9.583855706293344,0.01
8.0,1,5,608,62.76870043397894,-292.33728849708757,588.2629017228624,299.0,-1.3592942271661275,9.583855706293344,0.01
8.0,1,6,767,72.43498835250858,-363.86010012417125,730.1747332118784,371.0,-1.3742915669145215,9.583855706293344,0.01
8.0,1,7,927,79.94871203979537,-435.726064681903,872.2529830663706,443.0,-1.3893308982876185,9.583855706293344,0.01
8.0,1,8,1084,85.2369981873367,-506.88327466983156,1012.5531260686291,514.0,-1.4041959756020446,9.583855706293344,0.01
8.0,-1,1,21,8.713255947222928,-32.088030023642524,65.37609892480123,33.25,-1.3056475895590904,9.583855706293344,0.01
8.0,-1,2,59,13.35144370457912,-48.70306921543502,99.29363370606751,50.5,-1.3032301263470738,9.583855706293344,0.01
8.0,-1,3,143,23.99115768977803,-85.18611596207568,174.01550616355686,88.5,-1.2962746791269817,9.583855706293344,0.01
8.0,-1,4,218,34.002068069107985,-117.68648761444003,240.88101245148135,122.5,-1.2895347197687284,9.583855706293344,0.01
8.0,-1,5,608,93.37414036710106,-284.046246077474,588.2629017228625,299.0,-1.2531956920236795,9.583855706293344,0.01
8.0,-1,6,767,121.13139833636629,-350.6681969284876,730.1747332118775,371.0,-1.2381983522752855,9.583855706293344,0.01
8.0,-1,7,927,150.92008911453547,-416.49985198275965,872.2529830663694,443.00000000000006,-1.2231590209021885,9.583855706293344,0.01
8.0,-1,8,1084,182.27216159007943,-480.59635777779255,1012.5531260686272,514.0,-1.2082939435877627,9.583855706293344,0.01
9.0,1,1,26,27.761991248182852,18.298479224673788,85.49852719107741,33.24999999999999,0.5827596631923736,0.5053200284947568,0.01
9.0,1,2,74,43.402794422095184,25.815643248878064,130.14598286355988,50.50000000000001,0.5365814305460522,0.5053200284947568,0.01
9.0,1,3,183,81.50284030226877,34.489665447244825,231.0052412897582,88.5,0.4003207296745395,0.5053200284947568,0.01
9.0,1,4,285,118.3563880990717,31.591381675101214,326.3837431107209,122.5,0.2608364823323945,0.5053200284947568,0.01
9.0,-1,1,26,27.339998232665533,18.92318674636609,85.49852719107744,33.24999999999999,0.605433282210545,0.5053200284947568,0.01
9.0,-1,2,74,40.15292866821434,30.62666027116392,130.14598286355996,50.49999999999999,0.6516115148568666,0.5053200284947568,0.01
9.0,-1,3,183,62.423935174761475,62.73358205377067,231.00524128975826,88.5,0.7878722157283794,0.5053200284947568,0.01
9.0,-1,4,285,73.49399784540267,98.00450132876523,326.38374311072073,122.5,0.927356463070524,0.5053200284947568,0.01
