pileup_event,particle_id,pdg_id,charge,mass,pT,eta,layer_id,trajectory_step,x,y,z,r,phi,pileup_z0
3,207,211,1.0,0.13957,0.9320976173280336,0.8408432486522158,8,753,-96.38254353030004,-504.8825658533178,474.53299231522135,514.0,-1.7594276541072154,-39.17977820815886
3,208,-211,-1.0,0.13957,1.4833348013595782,1.3300478607195148,1,67,33.19616532799502,-1.891324275850496,19.291258247441043,33.25,-0.0569126519533028,-39.17977820815886
3,208,-211,-1.0,0.13957,1.4833348013595782,1.3300478607195148,2,102,50.44825961172717,-2.2854107175249063,49.63559408987515,50.5,-0.0452711198542868,-39.17977820815886
3,208,-211,-1.0,0.13957,1.4833348013595782,1.3300478607195148,3,179,88.48298972370206,-1.7350877658595203,116.52944503355772,88.5,-0.0196067676775437,-39.17977820815886
3,208,-211,-1.0,0.13957,1.4833348013595782,1.3300478607195148,4,248,122.49929646354016,0.4151697697357215,176.46770328618686,122.5,0.0033891474655697,-39.17977820815886
3,208,-211,-1.0,0.13957,1.4833348013595782,1.3300478607195148,5,609,296.71313281577653,36.90957619165238,490.20802982458304,299.00000000000006,0.1237590788456613,-39.17977820815886
3,208,-211,-1.0,0.13957,1.4833348013595782,1.3300478607195148,6,759,365.4218196098123,64.0928525894561,620.1895687916162,371.0,0.1736280870376537,-39.17977820815886
3,208,-211,-1.0,0.13957,1.4833348013595782,1.3300478607195148,7,911,431.9177355730914,98.468622908077,751.8706302480808,443.0,0.2241490712699822,-39.17977820815886
3,208,-211,-1.0,0.13957,1.4833348013595782,1.3300478607195148,8,1063,494.7194922550214,139.4583234623657,883.7962608841758,514.0,0.2747638944430118,-39.17977820815886
3,209,211,1.0,0.13957,0.591930356028769,0.6369297440440764,1,41,-0.6420160032310527,-33.24380115828506,-16.52868986195107,33.25,-1.5901062787800275,-39.17977820815886
3,209,211,1.0,0.13957,0.591930356028769,0.6369297440440764,2,62,-2.4508539719832814,-50.44049280893292,-4.753586604791963,50.5,-1.6193471602384453,-39.17977820815886
3,209,211,1.0,0.13957,0.591930356028769,0.6369297440440764,3,109,-10.0012169069493,-87.93307489437721,21.30493407849132,88.5,-1.6840463549159117,-39.17977820815886
3,209,211,1.0,0.13957,0.591930356028769,0.6369297440440764,4,152,-20.92675998468294,-120.69929874089355,44.8356302836284,122.5,-1.7424690212071696,-39.17977820815886
3,209,211,1.0,0.13957,0.591930356028769,0.6369297440440764,5,386,-141.5090304481148,-263.39361097345267,174.25283578170513,299.0,-2.063800395699324,-39.17977820815886
3,209,211,1.0,0.13957,0.591930356028769,0.6369297440440764,6,494,-221.8624794207223,-297.3517113206002,233.86614654992925,371.0,-2.211814836661244,-39.17977820815886
3,209,211,1.0,0.13957,0.591930356028769,0.6369297440440764,7,617,-320.7051379658014,-305.60957851863265,301.72087703042376,443.0,-2.380292019733528,-39.17977820815886
3,209,211,1.0,0.13957,0.591930356028769,0.6369297440440764,8,768,-436.9414995964115,-270.69932753968766,384.9469942937878,514.0,-2.586934906780103,-39.17977820815886
3,210,-211,-1.0,0.13957,0.316972043722781,0.6715548987087269,1,43,18.346546325942125,-27.7302495104184,-15.089551922421116,33.25,-0.9863042740435592,-39.17977820815886
3,210,-211,-1.0,0.13957,0.316972043722781,0.6715548987087269,2,66,30.135569223910316,-40.5228018225654,-2.5025028501705577,50.5,-0.9313591047204608,-39.17977820815886
