pileup_event,particle_id,pdg_id,charge,mass,pT,eta,layer_id,trajectory_step,x,y,z,r,phi,pileup_z0,n_merged
1,56,-211,-1.0,0.13957,3.4345899348707483,-0.9958964347001223,1,51,-32.06386184018948,-8.801776178319964,-103.0,33.25,-2.8736842105263163,-64.07212664045841,1
1,96,211,1.0,0.13957,0.1665523267620062,0.7276363599222413,1,51,30.487287472151806,13.269807933439562,-37.5,33.25,0.4105263157894737,-64.07212664045841,1
1,95,211,1.0,0.13957,0.3792339973522528,-1.092753571579327,1,56,-28.2832938120414,-17.481927557959406,-108.25,33.25,-2.5879699248120303,-64.07212664045841,1
1,31,211,1.0,0.13957,0.1061583333308685,-0.4905501451696227,1,58,-18.667771233243172,-27.515028932990408,-81.25,33.25,-2.166917293233082,-64.07212664045841,1
1,48,211,1.0,0.13957,0.4293678545342913,1.1915462229784215,1,60,7.902619487330643,32.297230612522526,-14.25,33.25,1.330827067669173,-64.07212664045841,1
1,26,211,1.0,0.13957,0.1539166224959179,1.0287569175280142,1,61,5.995995443005592,-32.70490083530993,-23.25,33.25,-1.3894736842105264,-64.07212664045841,1
1,68,211,1.0,0.13957,0.178749883994067,1.1852416799469665,1,65,-3.5144451285364586,-33.06374412311023,-14.5,33.25,-1.6766917293233083,-64.07212664045841,1
1,59,-211,-1.0,0.13957,0.483929582840099,-1.318832600518866,1,67,-15.541022671970305,29.394542253780802,-121.75,33.25,2.0571428571428574,-64.07212664045841,1
1,23,211,1.0,0.13957,0.8463504224171402,-1.3388424728837276,1,68,-32.6996628171066,6.024495966264418,-123.25,33.25,2.9593984962406017,-64.07212664045841,1
1,6,2212,1.0,0.93827,2.8043399039433563,1.3885044441655534,1,71,26.687588955032247,-19.832677473484026,-1.5,33.25,-0.6390977443609023,-64.07212664045841,1
1,44,-211,-1.0,0.13957,0.3459947898591718,1.382744156873141,1,71,-8.862576922976398,32.047109546483696,-2.0,33.25,1.8406015037593986,-64.07212664045841,1
1,41,211,1.0,0.13957,0.4255549974026676,-1.4230693861051773,1,73,-29.721044135505167,-14.907113586987723,-129.0,33.25,-2.6766917293233083,-64.07212664045841,1
1,53,321,1.0,0.49368,1.089570018800742,1.4006651499960507,1,73,-10.346333416055197,-31.599301967667255,-0.75,33.25,-1.887218045112782,-64.07212664045841,1
1,22,-211,-1.0,0.13957,1.122495450120772,-1.4463230955684117,1,74,-30.906593510473858,-12.261524276301666,-130.75,33.25,-2.7639097744360903,-64.07212664045841,1
1,25,-211,-1.0,0.13957,0.7089702575328707,1.4366517098127456,1,74,21.99135583055058,-24.938780417937625,2.0,33.25,-0.8481203007518798,-64.07212664045841,1
1,40,-321,-1.0,0.49368,1.6809323025473693,-1.4567976572331225,1,75,-29.562483468144517,15.219135034412506,-131.5,33.25,2.6661654135338346,-64.07212664045841,1
1,54,-211,-1.0,0.13957,1.0946055042693754,1.4612284686610597,1,75,6.976741673180666,-32.50980737601661,3.75,33.25,-1.3593984962406016,-64.07212664045841,1
1,58,211,1.0,0.13957,1.271130909959666,-1.4877389247776829,1,77,-12.320123768808548,30.883281080889684,-134.0,33.25,1.9503759398496243,-64.07212664045841,1
1,106,211,1.0,0.13957,0.1829408902944227,1.4719247022267017,1,80,33.19854711023996,-1.8490456373974418,5.0,33.25,-0.0556390977443609,-64.07212664045841,1
1,35,-321,-1.0,0.49368,0.3805300566949899,-1.3593393460385748,1,81,30.64471433402649,-12.902092209634503,-124.5,33.25,-0.39849624060150374,-64.07212664045841,1
1,55,211,1.0,0.13957,0.9384207588642748,-1.5425514888548453,1,81,-32.154734029931895,8.463780447550594,-138.25,33.25,2.8842105263157896,-64.07212664045841,1
1,16,-2212,-1.0,0.93827,2.0511761190943343,1.5531149632899173,1,83,9.303110568579774,-31.922008610812373,11.0,33.25,-1.2872180451127821,-64.07212664045841,1
1,20,-321,-1.0,0.49368,0.7616264672569814,-1.544303588922895,1,84,-27.79979619175654,-18.240993166404035,-138.5,33.25,-2.560902255639098,-64.07212664045841,1
1,39,-211,-1.0,0.13957,0.3662049153562263,-1.6244253191089375,1,88,-18.210102325772862,-27.820040856995192,-145.25,33.25,-2.1503759398496243,-64.07212664045841,1
