event,charge,layer_id,trajectory_step,x,y,z,r,phi,photon_pT,weight,n_merged
15.0,1,3,63,88.26506164809136,6.444291447368908,-8.8,88.5,0.07288135593220339,74.01545084851018,0.01,1
15.0,-1,3,63,88.25027290130582,6.643743887677081,-8.8,88.5,0.07514124293785313,74.01545084851018,0.01,1
15.0,1,4,97,122.18405427267248,8.792433195232762,-12.0,122.5,0.07183673469387754,74.01545084851018,0.01,1
15.0,-1,4,97,122.147149114923,9.291068996448514,-12.0,122.5,0.07591836734693878,74.01545084851018,0.01,1
17.0,0,1,17,-9.24745546097178,31.938175707096097,-61.5,33.25,1.8526315789473684,24.8603588185733,0.01,2
17.0,1,2,53,-13.989387729894007,48.5236749529824,-93.2,50.5,1.8514851485148516,24.8603588185733,0.01,1
17.0,-1,2,53,-14.085446724679873,48.495878078102734,-93.2,50.5,1.8534653465346536,24.8603588185733,0.01,1
17.0,1,3,133,-24.269553155318604,85.10721937439365,-163.60000000000002,88.5,1.8485875706214692,24.8603588185733,0.01,1
17.0,-1,3,133,-24.89397421675488,84.92667453571664,-163.60000000000002,88.5,1.855932203389831,24.8603588185733,0.01,1
17.0,1,4,204,-33.25482726079284,117.89981536819651,-226.4,122.5,1.8457142857142859,24.8603588185733,0.01,1
17.0,-1,4,204,-34.7439190245925,117.46961347860372,-226.4,122.5,1.8583673469387756,24.8603588185733,0.01,1
18.0,0,1,11,30.48728747215181,13.269807933439562,31.0,33.25,0.41052631578947363,16.761479079572354,0.01,2
18.0,1,2,34,46.33649759272362,20.07931748938488,46.8,50.5,0.408910891089109,16.761479079572354,0.01,1
18.0,-1,2,34,46.25661236373167,20.262670422021564,46.8,50.5,0.4128712871287128,16.761479079572354,0.01,1
18.0,1,3,86,81.31788890378274,34.92350131690761,82.4,88.5,0.40564971751412426,16.761479079572354,0.01,1
18.0,-1,3,86,80.93832602854283,35.794376369721896,82.4,88.5,0.41638418079096046,16.761479079572354,0.01,1
18.0,1,4,133,112.75193775422048,47.887895471281546,114.0,122.5,0.4016326530612246,16.761479079572354,0.01,1
18.0,-1,4,133,111.85339518825776,49.95065549979735,114.0,122.5,0.42,16.761479079572354,0.01,1
19.0,0,1,9,-21.186851101495485,25.625765167172272,19.5,33.25,2.261654135338346,18.42165394370655,0.01,2
19.0,1,2,29,-32.09094399285951,38.99258023838836,29.6,50.50000000000001,2.259405940594059,18.42165394370655,0.01,1
19.0,-1,2,29,-32.20662180410476,38.897088733828966,29.6,50.50000000000001,2.262376237623762,18.42165394370655,0.01,1
19.0,1,3,73,-56.03958116637087,68.49682724548438,51.6,88.5,2.2564971751412433,18.42165394370655,0.01,1
19.0,-1,3,73,-56.69486546746192,67.95544297277735,51.6,88.5,2.266101694915254,18.42165394370655,0.01,1
19.0,1,4,112,-77.20387145628054,95.1094749862605,71.60000000000001,122.5,2.2526530612244895,18.42165394370655,0.01,1
19.0,-1,4,112,-78.82289577687008,93.77206994275362,71.60000000000001,122.5,2.269795918367347,18.42165394370655,0.01,1
20.0,0,1,15,-28.858479076436673,16.515146393386416,-54.25,33.25,2.621804511278196,17.37607845417396,0.01,2
20.0,1,2,48,-43.77986595817917,25.17088271562729,-82.4,50.5,2.61980198019802,17.37607845417396,0.01,1
20.0,-1,2,48,-43.85443771901532,25.040732663981835,-82.4,50.5,2.6227722772277233,17.37607845417396,0.01,1
20.0,1,3,121,-76.57191986845996,44.373315040214734,-144.4,88.5,2.6163841807909605,17.37607845417396,0.01,1
20.0,-1,3,121,-77.04382284248949,43.548815848597926,-144.4,88.5,2.6271186440677967,17.37607845417396,0.01,1
20.0,1,4,186,-105.75947544955382,61.81572091818733,-199.6,122.5,2.61265306122449,17.37607845417396,0.01,1
20.0,-1,4,186,-106.85252069545317,59.9065006575059,-199.6,122.5,2.630612244897959,17.37607845417396,0.01,1
21.0,0,1,17,-24.96918823225061,-21.95681019689689,61.0,33.24999999999999,-2.4203007518796995,13.883915454200858,0.01,2
21.0,1,2,53,-37.97249960626405,-33.29172980865182,92.4,50.5,-2.421782178217822,13.883915454200858,0.01,1
21.0,-1,2,53,-37.87344591631855,-33.404372384819524,92.4,50.5,-2.4188118811881187,13.883915454200858,0.01,1
21.0,1,3,132,-66.85626169548723,-57.98698364378445,162.0,88.5,-2.4271186440677965,13.883915454200858,0.01,1
21.0,-1,3,132,-66.06387576140533,-58.88815092513604,162.0,88.5,-2.4135593220338984,13.883915454200858,0.01,1
21.0,1,4,203,-92.88622665733024,-79.8648789979868,224.4,122.5,-2.4314285714285715,13.883915454200858,0.01,1
21.0,-1,4,203,-91.1035210099051,-81.89260320442733,224.4,122.5,-2.409387755102041,13.883915454200858,0.01,1
22.0,0,1,13,-25.28030559320453,21.59788529264362,-41.25,33.25,2.4345864661654137,12.42087794514057,0.01,2
22.0,1,2,40,-38.33282358685922,32.87620166410239,-62.8,50.49999999999999,2.432673267326733,12.42087794514057,0.01,1
22.0,-1,2,40,-38.462725405629904,32.724131071292206,-62.8,50.49999999999999,2.436633663366337,12.42087794514057,0.01,1
22.0,1,3,101,-66.85626169548723,57.98698364378445,-110.0,88.5,2.4271186440677965,12.42087794514057,0.01,1
22.0,-1,3,101,-67.70080445468267,56.99869363580905,-110.0,88.5,2.44180790960452,12.42087794514057,0.01,1
22.0,1,4,155,-92.13239274559064,80.73334012025168,-152.4,122.5,2.4220408163265303,12.42087794514057,0.01,1
22.0,-1,4,155,-94.11372513435356,78.41464621698772,-152.4,122.5,2.446938775510204,12.42087794514057,0.01,1
24.0,0,1,17,-20.52490513332163,-26.158951991013463,61.0,33.25,-2.23609022556391,22.46017710856511,0.01,2
24.0,1,2,53,-31.19475044195958,-39.713191068760295,92.8,50.5,-2.236633663366337,22.46017710856511,0.01,1
24.0,-1,2,53,-31.116049350877592,-39.77488495010073,92.8,50.5,-2.2346534653465353,22.46017710856511,0.01,1
24.0,1,3,132,-54.87062441939847,-69.43676674374544,162.8,88.5,-2.2395480225988704,22.46017710856511,0.01,1
24.0,-1,3,132,-54.31969638721606,-69.86859512256324,162.8,88.5,-2.231638418079096,22.46017710856511,0.01,1
24.0,1,4,204,-76.22936412605665,-95.89230440935847,225.2,122.5,-2.2424489795918365,22.46017710856511,0.01,1
24.0,-1,4,204,-74.89131624036204,-96.94091371441722,225.2,122.5,-2.2285714285714286,22.46017710856511,0.01,1
26.0,0,1,9,10.23503305133853,-31.635517593965893,-17.75,33.24999999999999,-1.2578947368421056,18.34267034279568,0.01,2
26.0,1,2,28,15.47231385657025,-48.07137925963623,-26.8,50.5,-1.2594059405940594,18.34267034279568,0.01,1
26.0,-1,2,28,15.61503166817324,-48.02520990065474,-26.8,50.5,-1.2564356435643564,18.34267034279568,0.01,1
26.0,1,3,71,26.788545380443328,-84.34822959849204,-46.8,88.5,-1.2632768361581923,18.34267034279568,0.01,1
26.0,-1,3,71,27.644923997140907,-84.0714468603479,-46.8,88.5,-1.2531073446327685,18.34267034279568,0.01,1
26.0,1,4,110,36.700105551317385,-116.8732315482128,-65.2,122.5,-1.266530612244898,18.34267034279568,0.01,1
26.0,-1,4,110,38.65071320434585,-116.24273039117502,-65.2,122.5,-1.2497959183673468,18.34267034279568,0.01,1
