layer_id,trajectory_step,t,x,y,z,r,phi,particle,charge,event,beamspot_z0
3,4009,0.4365839190798546,-62.420916269845286,-62.73658591310946,-45.6,88.5,-2.353672316384181,1,1,10,-49.93143872695309
4,5548,0.6075138340788466,-86.38420940198648,-86.85630872880651,-44.0,122.5,-2.3534693877551023,1,1,10,-49.93143872695309
5,13553,0.4417528177221748,-211.80793216929197,-211.04122789201315,-34.981163626445976,299.0,-2.3580076744421428,1,1,10,-49.93143872695309
6,16826,0.63445103094875,-262.12033024951245,-262.5527232193308,-31.381074495317424,371.0,-2.3553703714977217,1,1,10,-49.93143872695309
7,20099,0.3214497068156765,-313.1683940686,-313.3281936827487,-27.78099699374549,443.0,-2.355939421587332,1,1,10,-49.93143872695309
8,23303,0.0976143233303925,-363.1449789668546,-363.76053146426256,-24.23093432045265,514.0,-2.3553476781357032,1,1,10,-49.93143872695309
1,1506,0.1775071129891319,-23.79699837921826,-23.222087936692592,-48.25,33.25,-2.3684210526315788,-1,-1,10,-49.93143872695309
2,2287,0.7530898713283802,-35.07562172182083,-36.3311266110443,-47.6,50.5,-2.338613861386139,-1,-1,10,-49.93143872695309
3,4009,0.4365839190798546,-62.703832917687144,-62.45381763696094,-45.6,88.5,-2.3581920903954803,-1,-1,10,-49.93143872695309
4,5548,0.6075138340788466,-86.87911811448312,-86.36126930314127,-44.0,122.5,-2.3591836734693876,-1,-1,10,-49.93143872695309
5,13539,0.8685619664861846,-210.7224715904672,-212.12505737607884,-34.981221728324414,299.0,-2.352877501099157,-1,-1,10,-49.93143872695309
6,16796,0.0269034190729942,-263.0704192007259,-261.60075409209804,-31.38114032967176,371.0,-2.3589955994197376,-1,-1,10,-49.93143872695309
7,20045,0.1145013079098876,-313.2823594759778,-313.2142449524993,-27.780994688694587,443.0,-2.35630321308522,-1,-1,10,-49.93143872695309
8,23312,0.581212557760857,-363.4612767226563,-363.444494143379,-24.230924784480322,514.0,-2.356217577888092,-1,-1,10,-49.93143872695309
1,1506,0.177468839785292,-12.366550845789487,-30.864719667907295,-14.75,33.25,-1.9518796992481204,1,1,11,-16.311476454372684
2,2287,0.753073858682149,-20.147915208937302,-46.306711314165604,-13.600000000000001,50.5,-1.9811881188118814,1,1,11,-16.311476454372684
3,4009,0.4365847522428531,-33.66473284152973,-81.8470265966237,-12.0,88.5,-1.9610169491525424,1,1,11,-16.311476454372684
4,5548,0.607671496153586,-46.52909788934713,-113.31942926790424,-10.0,122.5,-1.960408163265306,1,1,11,-16.311476454372684
5,13550,0.0761159305602919,-113.7117038605251,-276.5332681706421,-1.3612277605620822,299.0,-1.9609242202995487,1,1,11,-16.311476454372684
6,16813,0.6713370393975182,-141.92803129352697,-342.7789870064144,2.238894928655103,371.0,-1.9633567667451115,1,1,11,-16.311476454372684
7,20087,0.784012064660856,-169.2838064017196,-409.38001036951607,5.838962789315207,443.0,-1.962896980490159,1,1,11,-16.311476454372684
8,23317,0.0465524600198668,-197.18565900788732,-474.672324747952,9.389025521554625,514.0,-1.964519844429371,1,1,11,-16.311476454372684
1,1506,0.1774718762486803,-13.105509727242712,-30.558274080666706,-14.75,33.25,-1.9759398496240603,-1,-1,11,-16.311476454372684
2,2287,0.753030809514105,-18.484931190639156,-46.9952903903927,-13.600000000000001,50.5,-1.9455445544554455,-1,-1,11,-16.311476454372684
3,4009,0.4366485490162276,-34.03431778872708,-81.69403413136075,-12.0,88.5,-1.965536723163842,-1,-1,11,-16.311476454372684
4,5548,0.6077005463397485,-47.2220139245436,-113.0324351719904,-10.0,122.5,-1.966530612244898,-1,-1,11,-16.311476454372684
5,13539,0.5646239097493772,-115.32184653118628,-275.86567693831995,-1.3612567570789764,299.0,-1.9667538408117795,-1,-1,11,-16.311476454372684
6,16814,0.8368675136694457,-142.08651577022496,-342.7133234005903,2.238893557962605,371.0,-1.96381916281132,-1,-1,11,-16.311476454372684
7,20079,0.989255272939487,-170.12395592364408,-409.0315875588217,5.8389426840357785,443.0,-1.9649501019975448,-1,-1,11,-16.311476454372684
8,23298,0.539264784153419,-195.7450162518692,-475.26822806974536,9.388986513911917,514.0,-1.961486724836204,-1,-1,11,-16.311476454372684
1,1506,0.1774503712370514,0.3789696604469897,-33.24784026063138,5.75,33.25,-1.5593984962406016,1,1,12,4.0217892994532995
2,2287,0.7530309909756806,-0.9247338098081848,-50.49153263054111,6.4,50.5,-1.5891089108910892,1,1,12,4.0217892994532995
3,4009,0.4367133337830151,0.21547470845979058,-88.49973768689946,8.4,88.49999999999999,-1.5683615819209042,1,1,12,4.0217892994532995
4,5548,0.6076626086939079,0.3725494580862279,-122.49943349624634,10.0,122.5,-1.5677551020408165,1,1,12,4.0217892994532995
5,13543,0.5907167572015979,-0.3696084406360753,-298.9997715544288,18.972076039224934,299.0,-1.5720324757406057,1,1,12,4.0217892994532995
6,16812,0.0782288373583506,-0.0070024671773052,-370.9999999339157,22.572160758136956,371.0,-1.5708152013694996,1,1,12,4.0217892994532995
7,20048,0.4849700143343589,0.6308225468980099,-442.9995508608494,26.172209509446024,443.0,-1.5693723476524897,1,1,12,4.0217892994532995
8,23252,0.5115694395696656,-0.030764748679056,-513.9999990793096,29.722303669758443,514.0000000000001,-1.570856180391584,1,1,12,4.0217892994532995
1,1506,0.1774503712370514,-0.37101443457535116,-33.24792998502819,5.75,33.25,-1.5819548872180451,-1,-1,12,4.0217892994532995
2,2287,0.7530309909756806,0.9251627441275873,-50.4915247729446,6.4,50.5,-1.5524752475247525,-1,-1,12,4.0217892994532995
3,4009,0.4367133337830151,-0.184524944952648,-88.4998076299869,8.4,88.49999999999999,-1.572881355932204,-1,-1,12,4.0217892994532995
4,5548,0.6076626047917804,-0.3774493703773848,-122.49941849646798,10.0,122.5,-1.5738775510204082,-1,-1,12,4.0217892994532995
