event,charge,layer_id,trajectory_step,x,y,z,r,phi,photon_pT,weight,n_merged,beamspot_z0
2.0,-1,8,606,513.6472943036727,-19.03830492759935,-363.51891210221015,514.0,-0.0370479782189509,48.350277237637215,0.01,1,13.71226858894941
3.0,0,1,8,-33.08558573623951,-3.3025015503319457,-60.2992847808223,33.25,-3.042105263157895,47.54800641016002,0.01,2,-46.7992847808223
3.0,0,2,27,-50.25015124749414,-5.017138088992009,-67.5992847808223,50.5,-3.0420792079207923,47.54800641016002,0.01,2,-46.7992847808223
3.0,1,3,68,-88.07946739462267,-8.617274713017165,-82.79928478082229,88.50000000000001,-3.044067796610169,47.54800641016002,0.01,1,-46.7992847808223
3.0,-1,3,68,-88.04469906511447,-8.965543292708485,-82.79928478082229,88.50000000000001,-3.040112994350283,47.54800641016002,0.01,1,-46.7992847808223
3.0,1,4,105,-121.93258394916852,-11.776882927114949,-96.79928478082229,122.5,-3.0453061224489795,47.54800641016002,0.01,1,-46.7992847808223
3.0,-1,4,105,-121.85307410418368,-12.572920558101032,-96.79928478082229,122.5,-3.038775510204081,47.54800641016002,0.01,1,-46.7992847808223
3.0,1,5,296,-297.82020399948,-26.53537430880019,-170.13125266602225,299.0,-3.0527286715364235,47.54800641016002,0.01,1,-46.7992847808223
3.0,-1,5,296,-297.1957698136908,-32.79747558651001,-169.427423767627,299.0,-3.031680933754944,47.54800641016002,0.01,1,-46.7992847808223
3.0,1,6,373,-369.6324310355473,-31.825554618126247,-198.5098421249792,371.0,-3.0557039280731586,47.54800641016002,0.01,1,-46.7992847808223
3.0,-1,6,373,-368.6329059624071,-41.84233073946913,-198.02801295357298,371.0,-3.0285696146403267,47.54800641016002,0.01,1,-46.7992847808223
3.0,1,7,451,-441.483233246009,-36.62724071848695,-228.67617890422605,443.0,-3.0588181611634626,47.54800641016002,0.01,1,-46.7992847808223
3.0,-1,7,451,-440.0215304230999,-51.28404005256484,-227.3865482692284,443.00000000000006,-3.02556718056849,47.54800641016002,0.01,1,-46.7992847808223
3.0,1,8,528,-512.3606487647419,-41.01908820747816,-257.09274490468556,514.0,-3.061704029721714,47.54800641016002,0.01,1,-46.7992847808223
3.0,-1,8,528,-510.3578101739816,-61.08113943287384,-257.3849321244919,514.0,-3.0224762670244565,47.54800641016002,0.01,1,-46.7992847808223
4.0,0,1,17,8.870244585315158,32.044988079209624,98.02030381129057,33.25,1.300751879699248,16.483321659111457,0.01,2,33.770303811290574
4.0,1,2,55,13.55686212568348,48.646289573874064,131.37030381129057,50.5,1.2990099009900993,16.483321659111457,0.01,1,33.770303811290574
4.0,-1,2,55,13.412308604947532,48.68634282717947,131.37030381129057,50.5,1.301980198019802,16.483321659111457,0.01,1,33.770303811290574
4.0,1,3,138,24.0588264887444,85.16702923070929,204.5703038112906,88.5,1.2954802259887006,16.483321659111457,0.01,1,33.770303811290574
4.0,-1,3,138,23.143235578049417,85.420376064373,204.5703038112906,88.5,1.3062146892655369,16.483321659111457,0.01,1,33.770303811290574
4.0,1,4,211,33.779126475281295,117.7506713975209,270.1703038112906,122.5,1.2914285714285716,16.483321659111457,0.01,1,33.770303811290574
4.0,-1,4,211,31.5624737038487,118.36410035857097,270.1703038112906,122.5,1.310204081632653,16.483321659111457,0.01,1,33.770303811290574
4.0,1,5,595,88.51111999030994,285.59898745979643,609.8973129172055,299.0,1.270269133380076,16.483321659111457,0.01,1,33.770303811290574
4.0,-1,5,595,70.89740829547532,290.47298927264245,611.4713482332074,299.0,1.331401167836001,16.483321659111457,0.01,1,33.770303811290574
4.0,1,6,752,112.86315751724904,353.41605463707594,751.195978839555,371.00000000000006,1.2616837824850593,16.483321659111457,0.01,1,33.770303811290574
4.0,-1,6,752,84.88328725692064,361.15900590246827,750.1556781147566,371.0,1.3399557107078186,16.483321659111457,0.01,1,33.770303811290574
4.0,1,7,909,138.4684453512382,420.8033859678546,888.0117494454068,443.00000000000006,1.2528990850156296,16.483321659111457,0.01,1,33.770303811290574
4.0,-1,7,909,97.56228580925584,432.1233624645549,889.2400097308898,443.0,1.3487451575077387,16.483321659111457,0.01,1,33.770303811290574
4.0,1,8,1063,164.88174846672737,486.8367375440711,1026.9732401161098,514.0,1.2442417325281352,16.483321659111457,0.01,1,33.770303811290574
4.0,-1,8,1063,108.85241222583092,502.341668939197,1026.477923318813,514.0,1.3574054053090734,16.483321659111457,0.01,1,33.770303811290574
5.0,0,1,11,31.314783452978897,11.17796212612296,75.57541223760462,33.25,0.3428571428571428,12.774309851914332,0.01,2,42.325412237604624
5.0,1,2,36,47.59909759622181,16.869377819746386,92.72541223760463,50.5,0.3405940594059406,12.774309851914332,0.01,1,42.325412237604624
5.0,-1,2,36,47.531915064591054,17.057756308861403,92.72541223760463,50.5,0.3445544554455447,12.774309851914332,0.01,1,42.325412237604624
5.0,1,3,89,83.56303731569398,29.14564795258359,130.72541223760464,88.50000000000001,0.335593220338983,12.774309851914332,0.01,1,42.325412237604624
5.0,-1,3,89,83.12590932492664,30.36993906651896,130.72541223760464,88.50000000000001,0.3502824858757062,12.774309851914332,0.01,1,42.325412237604624
5.0,1,4,137,115.86586213625684,39.7662167099401,164.3254122376046,122.5,0.3306122448979592,12.774309851914332,0.01,1,42.325412237604624
5.0,-1,4,137,114.85734940282354,42.591540100795946,164.3254122376046,122.5,0.3551020408163265,12.774309851914332,0.01,1,42.325412237604624
5.0,1,5,387,285.3206128818225,89.40440629376836,340.6294177526188,299.00000000000006,0.3036564801794359,12.774309851914332,0.01,1,42.325412237604624
5.0,-1,5,387,277.4195410825512,111.53205021672784,342.2851579530439,299.0,0.3822584780636052,12.774309851914332,0.01,1,42.325412237604624
5.0,1,6,489,355.25566927963024,106.93179809898452,413.1699123163993,371.0,0.2923735642618384,12.774309851914332,0.01,1,42.325412237604624
5.0,-1,6,489,342.65364643891706,142.23037151787804,413.5608208657534,371.0,0.3934426278998115,12.774309851914332,0.01,1,42.325412237604624
5.0,1,7,590,425.6280035989314,122.84055744088772,484.0007025956262,443.0,0.2809749048769148,12.774309851914332,0.01,1,42.325412237604624
5.0,-1,7,590,407.2228812070156,174.4090737933577,483.9830545718179,443.0,0.4046531443793469,12.774309851914332,0.01,1,42.325412237604624
5.0,1,8,691,495.3876752712752,137.06586442043707,554.6206452487345,514.0,0.2699311764018968,12.774309851914332,0.01,1,42.325412237604624
5.0,-1,8,691,470.1794443409164,207.6711104589831,556.0417614570744,514.0,0.4159175196689916,12.774309851914332,0.01,1,42.325412237604624
7.0,0,1,21,-26.213215306379315,-20.455542483677107,-7.546583489422645,33.25,-2.478947368421053,23.021788705138967,0.01,2,-87.79658348942264
7.0,1,2,66,-39.851387696426514,-31.01800926347637,33.80341651057735,50.5,-2.48019801980198,23.021788705138967,0.01,1,-87.79658348942264
7.0,-1,2,66,-39.78988780375549,-31.09686203726269,33.80341651057735,50.5,-2.478217821782178,23.021788705138967,0.01,1,-87.79658348942264
7.0,1,3,165,-69.99336095525473,-54.1588351258354,125.40341651057734,88.5,-2.483050847457627,23.021788705138967,0.01,1,-87.79658348942264
7.0,-1,3,165,-69.56280100936043,-54.710755027984426,125.40341651057734,88.5,-2.475141242937853,23.021788705138967,0.01,1,-87.79658348942264
7.0,1,4,254,-97.08278815041152,-74.70731051873248,207.40341651057736,122.5,-2.4857142857142858,23.021788705138967,0.01,1,-87.79658348942264
7.0,-1,4,254,-96.06775038289032,-76.00813993494826,207.40341651057736,122.5,-2.472244897959184,23.021788705138967,0.01,1,-87.79658348942264
7.0,1,5,715,-239.6865451729427,-178.7494337419252,633.8204093961269,299.0,-2.5008085384745424,23.021788705138967,0.01,1,-87.79658348942264
7.0,-1,5,715,-231.6910287077424,-188.99806140896808,633.4768330663965,298.99999999999994,-2.4573316578553865,23.021788705138967,0.01,1,-87.79658348942264
7.0,1,6,903,-298.80376802258166,-219.90295181171896,805.9637805548069,371.0,-2.507148001114844,23.021788705138967,0.01,1,-87.79658348942264
7.0,-1,6,903,-285.989290880233,-236.32842719787536,807.3010716450143,371.0,-2.4509874235142104,23.021788705138967,0.01,1,-87.79658348942264
