event,charge,layer_id,trajectory_step,x,y,z,r,phi,photon_pT,weight,beamspot_z0
8.0,-1,5,608,93.3444419404488,-284.0560070810441,501.0430246965422,299.0,-1.2533002451264357,9.583855706293344,0.01,-87.79658348942264
8.0,-1,6,767,121.13597542035012,-350.66661583184725,643.1791127331735,371.0,-1.238185299781953,9.583855706293344,0.01,-87.79658348942264
8.0,-1,7,927,150.90643142036248,-416.5048006397663,784.6403056185958,443.00000000000006,-1.2231918123016814,9.583855706293344,0.01,-87.79658348942264
8.0,-1,8,1084,182.29204921572835,-480.5888146770901,924.3977005931289,514.0,-1.208252562122014,9.583855706293344,0.01,-87.79658348942264
9.0,1,1,26,27.74919413361243,18.31787992468257,26.901922191195688,33.24999999999999,0.5834586466165416,0.5053200284947568,0.01,-58.59807780880431
9.0,1,2,74,43.40144593903424,25.817910264021936,71.4019221911957,50.50000000000001,0.5366336633663366,0.5053200284947568,0.01,-58.59807780880431
9.0,1,3,183,81.49441404384,34.50957084130682,172.60192219119568,88.5,0.4005649717514125,0.5053200284947568,0.01,-58.59807780880431
9.0,1,4,285,118.3570248246572,31.58899610078609,267.80192219119573,122.5,0.2608163265306122,0.5053200284947568,0.01,-58.59807780880431
9.0,-1,1,26,27.3289849410598,18.93908873444883,26.901922191195688,33.24999999999999,0.6060150375939851,0.5053200284947568,0.01,-58.59807780880431
9.0,-1,2,74,40.15679852664058,30.621586047930247,71.4019221911957,50.49999999999999,0.6514851485148515,0.5053200284947568,0.01,-58.59807780880431
9.0,-1,3,183,62.407410396347046,62.75002093722292,172.60192219119568,88.5,0.788135593220339,0.5053200284947568,0.01,-58.59807780880431
9.0,-1,4,285,73.49493126585259,98.00380134580293,267.80192219119573,122.5,0.9273469387755102,0.5053200284947568,0.01,-58.59807780880431
10.0,1,1,25,-26.47253618384009,-20.11883018456285,86.00281814252784,33.25,-2.491729323308271,4.851578813688177,0.01,5.7528181425278415
10.0,1,2,70,-40.33774118500956,-30.382834563140808,127.75281814252784,50.49999999999999,-2.4960396039603965,4.851578813688177,0.01,5.7528181425278415
10.0,1,3,170,-71.43615940282866,-52.24102917988557,219.75281814252784,88.50000000000001,-2.510169491525424,4.851578813688177,0.01,5.7528181425278415
10.0,1,4,259,-99.84800081866922,-70.96919565920858,301.7528181425278,122.5,-2.5236734693877554,4.851578813688177,0.01,5.7528181425278415
