pileup_event,particle_id,pdg_id,charge,mass,pT,eta,layer_id,trajectory_step,x,y,z,r,phi,pileup_z0
8,766,2212,1.0,0.93827,0.3255233802188792,0.8902527983821669,4,403,114.34517027547899,-43.948060647447406,156.4,122.5,-0.3669387755102041,29.2001760986868
8,766,2212,1.0,0.93827,0.3255233802188792,0.8902527983821669,5,1219,123.0605605657155,-272.5015567538136,413.2542200702621,299.0,-1.146616118634648,29.2001760986868
8,767,-2212,-1.0,0.93827,0.4493840301003532,-1.5955867945444857,1,110,-19.769231245328726,-26.73462167244411,-49.5,33.25,-2.207518796992481,29.2001760986868
8,767,-2212,-1.0,0.93827,0.4493840301003532,-1.5955867945444857,2,167,-28.452336094397843,-41.72187161155915,-90.4,50.49999999999999,-2.16930693069307,29.2001760986868
8,767,-2212,-1.0,0.93827,0.4493840301003532,-1.5955867945444857,3,294,-43.377710818979324,-77.14028911084664,-181.60000000000002,88.5,-2.0830508474576273,29.2001760986868
8,767,-2212,-1.0,0.93827,0.4493840301003532,-1.5955867945444857,4,410,-51.5683103917116,-111.11687254123062,-264.0,122.5,-2.0053061224489794,29.2001760986868
8,767,-2212,-1.0,0.93827,0.4493840301003532,-1.5955867945444857,5,1083,5.306099729744404,-298.95291486395985,-744.3446936831085,299.00000000000006,-1.553049242266585,29.2001760986868
8,767,-2212,-1.0,0.93827,0.4493840301003532,-1.5955867945444857,6,1445,95.87645761164003,-358.3974119268209,-1003.0256698155542,371.0,-1.3094026785807944,29.2001760986868
8,767,-2212,-1.0,0.93827,0.4493840301003532,-1.5955867945444857,7,2090,283.7962555819499,-340.1597937994209,-1463.717430700247,443.0,-0.8754862013014872,29.2001760986868
8,769,-211,-1.0,0.13957,0.4283768057662597,-1.4060483001362798,1,72,-12.967519960269826,-30.61708552556895,-34.5,33.25,-1.9714285714285713,29.2001760986868
8,769,-211,-1.0,0.13957,0.4283768057662597,-1.4060483001362798,2,110,-17.831756383404,-47.246994235431856,-68.0,50.5,-1.9316831683168318,29.2001760986868
8,769,-211,-1.0,0.13957,0.4283768057662597,-1.4060483001362798,3,195,-23.643822911959653,-85.2831732413135,-141.6,88.5,-1.8412429378531074,29.2001760986868
8,769,-211,-1.0,0.13957,0.4283768057662597,-1.4060483001362798,4,271,-22.990303130733075,-120.3232976690591,-209.20000000000002,122.5,-1.7595918367346939,29.2001760986868
8,769,-211,-1.0,0.13957,0.4283768057662597,-1.4060483001362798,5,724,86.77178431975383,-286.1322376908378,-605.4690622504068,299.0,-1.2763535668625958,29.2001760986868
8,769,-211,-1.0,0.13957,0.4283768057662597,-1.4060483001362798,6,981,200.09636069155692,-312.41390244032726,-831.3590174128697,371.0,-1.001139272985461,29.2001760986868
8,792,-2212,-1.0,0.93827,0.739470394205937,-1.6561418649130446,1,99,17.286740178653744,-28.40301241058276,-54.75,33.25,-1.02406015037594,29.2001760986868
8,792,-2212,-1.0,0.93827,0.739470394205937,-1.6561418649130446,2,151,27.243179530156375,-42.52127901519036,-98.4,50.49999999999999,-1.0009900990099012,29.2001760986868
8,792,-2212,-1.0,0.93827,0.739470394205937,-1.6561418649130446,3,265,51.53994108742032,-71.94362009730428,-194.8,88.5,-0.9491525423728814,29.2001760986868
8,792,-2212,-1.0,0.93827,0.739470394205937,-1.6561418649130446,4,368,75.87274626302674,-96.17471795906846,-281.6,122.5,-0.9028571428571429,29.2001760986868
8,792,-2212,-1.0,0.93827,0.739470394205937,-1.6561418649130446,5,922,237.5200266048327,-181.61838277454063,-747.7806333974337,299.0,-0.6528078995231151,29.2001760986868
8,792,-2212,-1.0,0.93827,0.739470394205937,-1.6561418649130446,6,1165,317.5598703017869,-191.8247345206356,-951.851395902442,371.0,-0.5433983388101138,29.2001760986868
8,792,-2212,-1.0,0.93827,0.739470394205937,-1.6561418649130446,7,1424,403.3141737690247,-183.26668337973763,-1169.8745475987453,443.0,-0.4265084240535575,29.2001760986868
8,792,-2212,-1.0,0.93827,0.739470394205937,-1.6561418649130446,8,1704,491.0190444296807,-151.9746623860809,-1405.5446121374432,514.0,-0.3001573753225466,29.2001760986868
8,793,211,1.0,0.13957,0.1596991146403625,-1.442642503679483,1,80,-16.591528025857187,-28.814643807744623,-37.75,33.25,-2.0932330827067673,29.2001760986868
8,793,211,1.0,0.13957,0.1596991146403625,-1.442642503679483,2,123,-29.961329510530916,-40.65179865591914,-73.60000000000001,50.5,-2.205940594059406,29.2001760986868
8,793,211,1.0,0.13957,0.1596991146403625,-1.442642503679483,3,225,-69.37694150702843,-54.94624634249691,-158.4,88.5,-2.4717514124293785,29.2001760986868
8,793,211,1.0,0.13957,0.1596991146403625,-1.442642503679483,4,335,-113.63296192753204,-45.75805900140491,-249.60000000000002,122.5,-2.758775510204082,29.2001760986868
8,804,211,1.0,0.13957,0.0699883450176643,-0.9874499458632384,1,87,32.18204460865862,8.359336385521665,-10.75,33.25,0.2541353383458647,29.2001760986868
8,804,211,1.0,0.13957,0.0699883450176643,-0.9874499458632384,2,141,50.41675555341781,-2.898406366766914,-36.0,50.5,-0.057425742574257435,29.2001760986868
8,805,-211,-1.0,0.13957,0.2274886177596549,-1.2816719474012843,1,67,31.212656422527747,11.460042715855684,-26.25,33.24999999999999,0.3518796992481204,29.2001760986868
