pileup_event,particle_id,pdg_id,charge,mass,pT,eta,layer_id,trajectory_step,x,y,z,r,phi
4,400,-211,-1.0,0.13957,0.3097132328101436,-0.3341574723201619,5,465,107.01238999340158,-279.19410521696216,-137.97433072059295,299.0,-1.2047773388173844
4,401,211,1.0,0.13957,0.4581919747162559,0.4047007636753273,1,37,22.912478263923038,-24.09524517005906,13.838832473663373,33.25,-0.8105539743666729
4,401,211,1.0,0.13957,0.4581919747162559,0.4047007636753273,2,56,33.39065834021209,-37.885537288089566,21.042670182360258,50.5,-0.8483775984407416
4,401,211,1.0,0.13957,0.4581919747162559,0.4047007636753273,3,100,52.73995599972519,-71.06860798655798,37.03483930742406,88.50000000000001,-0.9323709459219668
4,401,211,1.0,0.13957,0.4581919747162559,0.4047007636753273,4,139,65.28753805629253,-103.65224249647548,51.568444811083545,122.50000000000001,-1.0087019603168423
4,401,211,1.0,0.13957,0.4581919747162559,0.4047007636753273,5,366,36.202018522006775,-296.8002928821538,135.48286034026748,299.0,-1.449421548973646
4,401,211,1.0,0.13957,0.4581919747162559,0.4047007636753273,6,486,-41.34276932235921,-368.6892667609924,179.85479301587762,371.0,-1.6824642963889334
4,401,211,1.0,0.13957,0.4581919747162559,0.4047007636753273,7,677,-205.45834981850427,-392.4740328860715,250.41766363663112,443.0,-2.053063095788134
4,412,-2212,-1.0,0.93827,0.431684497021388,-1.667664888135166,1,116,24.415671075093556,-22.570722317924165,-85.0562510199401,33.25,-0.7461527281242255
4,412,-2212,-1.0,0.93827,0.431684497021388,-1.667664888135166,2,177,38.42950672709574,-32.76313496465353,-129.35164553220935,50.49999999999999,-0.7059734981635738
4,412,-2212,-1.0,0.93827,0.431684497021388,-1.667664888135166,3,312,72.19816788979892,-51.1827564063954,-227.7830577012547,88.50000000000001,-0.6166877761066678
4,412,-2212,-1.0,0.93827,0.431684497021388,-1.667664888135166,4,434,105.35933487557723,-62.49528425870206,-317.4220830545224,122.49999999999999,-0.5353773038366214
4,412,-2212,-1.0,0.93827,0.431684497021388,-1.667664888135166,5,1156,298.505744992019,-17.18488308833492,-844.2396320866575,299.00000000000006,-0.05750621531034723
4,412,-2212,-1.0,0.93827,0.431684497021388,-1.667664888135166,6,1564,362.69414679295437,78.06379366986259,-1141.3492207271333,371.0,0.21199897172089233
4,413,211,1.0,0.13957,0.7201203725073946,1.14079506329261,1,57,-11.23332462389241,-31.29496633476784,46.72774652746308,33.25,-1.9154219636494745
4,413,211,1.0,0.13957,0.7201203725073946,1.14079506329261,2,87,-18.197385352724076,-47.10737910693465,71.00305244026156,50.5,-1.9394332518853576
4,413,211,1.0,0.13957,0.7201203725073946,1.14079506329261,3,154,-36.22372773587397,-80.7470838415684,124.64435692798679,88.50000000000001,-1.9924914426579208
4,413,211,1.0,0.13957,0.7201203725073946,1.14079506329261,4,213,-55.41999771799437,-109.24684825173449,172.93573933244463,122.50000000000001,-2.0402601080191793
4,413,211,1.0,0.13957,0.7201203725073946,1.14079506329261,5,535,-198.7000929876228,-223.42621387543147,433.1831619926043,299.0,-2.297686172418088
4,413,211,1.0,0.13957,0.7201203725073946,1.14079506329261,6,676,-276.27484750893854,-247.61504121097485,547.5827875288345,371.0,-2.4108457973828936
4,413,211,1.0,0.13957,0.7201203725073946,1.14079506329261,7,828,-363.2952731336881,-253.50649798125275,670.414899909303,442.99999999999994,-2.5323464726348277
4,413,211,1.0,0.13957,0.7201203725073946,1.14079506329261,8,993,-456.66717555902886,-235.90483413219653,804.2893035886361,514.0,-2.6647697050281614
4,430,211,1.0,0.13957,0.3680532678318459,1.1294105963477967,1,58,-33.24811347411722,0.35418979689533053,46.12436586518958,33.24999999999999,3.130940127404045
4,430,211,1.0,0.13957,0.3680532678318459,1.1294105963477967,2,88,-50.415483518420736,2.920448870267591,70.17960294583251,50.5,3.083729699596798
4,430,211,1.0,0.13957,0.3680532678318459,1.1294105963477967,3,156,-87.32507442711035,14.37293902789674,123.81449325872835,88.5,2.9784640236219317
4,430,211,1.0,0.13957,0.3680532678318459,1.1294105963477967,4,218,-118.39308650277694,31.453570041347938,173.0051839049322,122.50000000000001,2.8819203691372017
4,430,211,1.0,0.13957,0.3680532678318459,1.1294105963477967,5,611,-192.96015146433012,228.4017949729441,483.62562992742664,299.0,2.2722798998686065
5,442,211,1.0,0.13957,0.6651533976013511,0.2682115114231853,1,35,-18.362545652138145,-27.71965759480341,9.029112378557587,33.25,-2.155865452677183
5,442,211,1.0,0.13957,0.6651533976013511,0.2682115114231853,2,53,-28.97424549807562,-41.36113027731768,13.720889816405798,50.50000000000001,-2.1818703317976866
5,442,211,1.0,0.13957,0.6651533976013511,0.2682115114231853,3,93,-54.857419375503845,-69.4471996516785,24.093890157333746,88.5,-2.2393578632277413
5,442,211,1.0,0.13957,0.6651533976013511,0.2682115114231853,4,130,-80.80930167710491,-92.06577410991909,33.442437555679916,122.5,-2.29117294482383
5,442,211,1.0,0.13957,0.6651533976013511,0.2682115114231853,5,327,-251.85733263221672,-161.14863945868404,84.18143751614032,299.0,-2.572392291436405
5,442,211,1.0,0.13957,0.6651533976013511,0.2682115114231853,6,416,-335.0887678249149,-159.23729989415247,106.83915431037177,370.99999999999994,-2.6979735583338207
5,442,211,1.0,0.13957,0.6651533976013511,0.2682115114231853,7,512,-422.37972553160273,-133.58281124399167,131.61320474736206,442.99999999999994,-2.8352838304246757
5,442,211,1.0,0.13957,0.6651533976013511,0.2682115114231853,8,621,-508.0920545854068,-77.70755476258402,159.49673807330427,514.0,-2.9898287325885855
5,443,-2212,-1.0,0.93827,0.4683142068826399,-0.3883942808214903,1,75,-32.390687878787396,-7.510382063448917,-13.252417897024978,33.25,-2.91375031479406
5,443,-2212,-1.0,0.93827,0.4683142068826399,-0.3883942808214903,2,115,-48.739141329057865,-13.219156648823098,-20.150007534337455,50.50000000000001,-2.876741641431434
5,443,-2212,-1.0,0.93827,0.4683142068826399,-0.3883942808214903,3,202,-83.22561026013233,-30.095644150417428,-35.457149411013056,88.49999999999999,-2.794607939423045
5,443,-2212,-1.0,0.93827,0.4683142068826399,-0.3883942808214903,4,281,-111.77462077112332,-50.126681033872224,-49.35854870766539,122.5,-2.720018383058745
5,443,-2212,-1.0,0.93827,0.4683142068826399,-0.3883942808214903,5,737,-197.37945494732037,-224.5937460498371,-129.16698182374114,299.0,-2.291790746618275
5,443,-2212,-1.0,0.93827,0.4683142068826399,-0.3883942808214903,6,974,-177.4612112571473,-325.8044175562175,-170.58564164338347,371.0,-2.0695507902051893
5,443,-2212,-1.0,0.93827,0.4683142068826399,-0.3883942808214903,7,1322,-75.62019294850352,-436.4980944041235,-231.5683165751267,443.0,-1.7423365921132894
5,450,211,1.0,0.13957,1.3789311371262882,-0.9828224462763236,1,50,-19.093381691634903,27.221412079051692,-38.20353463147683,33.25000000000001,2.182468245150986
5,450,211,1.0,0.13957,1.3789311371262882,-0.9828224462763236,2,77,-28.478949083936698,41.70371037539156,-58.03077613293042,50.50000000000001,2.1699449361585943
5,450,211,1.0,0.13957,1.3789311371262882,-0.9828224462763236,3,135,-47.87182481826177,74.4347928630802,-101.74475509376978,88.5,2.1423323299694936
5,450,211,1.0,0.13957,1.3789311371262882,-0.9828224462763236,4,187,-63.69351425172888,104.63931499328926,-140.92223901103816,122.5,2.1175852943764832
5,450,211,1.0,0.13957,1.3789311371262882,-0.9828224462763236,5,460,-121.12285234887877,273.36834973872107,-346.2655437781859,299.0,1.987877040900046
5,450,211,1.0,0.13957,1.3789311371262882,-0.9828224462763236,6,573,-131.80638245352773,346.79688225893034,-431.55464336206353,371.0,1.934002717407016
5,450,211,1.0,0.13957,1.3789311371262882,-0.9828224462763236,7,688,-134.51103744599743,422.08503977895435,-518.149697120424,443.0,1.8793035266509164
5,450,211,1.0,0.13957,1.3789311371262882,-0.9828224462763236,8,804,-128.93463438275722,497.5659353860397,-605.1473211728613,513.9999999999999,1.8243500043864118
5,451,-211,-1.0,0.13957,0.5884865081592575,-1.588503830916696,1,85,30.774733619506,12.588815299639872,-78.04923098098087,33.25,0.3882951006137604
5,451,-211,-1.0,0.13957,0.5884865081592575,-1.588503830916696,2,129,46.15816023863702,20.48595234262513,-118.62382234564765,50.49999999999999,0.4177034471795517
5,451,-211,-1.0,0.13957,0.5884865081592575,-1.588503830916696,3,227,78.38480718989857,41.08615340722989,-208.42108006642718,88.50000000000001,0.48278800168657027
5,451,-211,-1.0,0.13957,0.5884865081592575,-1.588503830916696,4,316,104.97057469493022,63.14608814658336,-289.51652006948245,122.5,0.5415656943728713
5,451,-211,-1.0,0.13957,0.5884865081592575,-1.588503830916696,5,803,193.92295156056161,227.584904723578,-735.8794661947508,299.0,0.8650898293856152
5,451,-211,-1.0,0.13957,0.5884865081592575,-1.588503830916696,6,1028,195.93790592509035,315.0386278247327,-941.8730277810448,371.0,1.0143941207456437
5,451,-211,-1.0,0.13957,0.5884865081592575,-1.588503830916696,7,1285,166.78634325240958,410.40384465120377,-1176.964526472401,443.0,1.184788633842044
5,451,-211,-1.0,0.13957,0.5884865081592575,-1.588503830916696,8,1602,89.81213383787727,506.092660108292,-1467.2157679678678,514.0,1.39516297810548
5,452,211,1.0,0.13957,0.1422697896382178,-1.118034344112908,1,65,-18.75404534685507,27.456297695211997,-45.84276720874093,33.25,2.1700561675542542
5,452,211,1.0,0.13957,0.1422697896382178,-1.118034344112908,2,101,-22.9695583563909,44.973874515237775,-70.52055987160638,50.50000000000001,2.0429919494718574
