event,charge,layer_id,trajectory_step,x,y,z,r,phi,photon_pT,weight,beamspot_z0
11.0,-1,4,127,23.917916284226497,120.14234590942834,105.75281814252784,122.5,1.3742857142857146,16.747246822481447,0.01,5.7528181425278415
11.0,-1,5,355,52.26889267826536,294.39592873915217,249.6209136183851,299.0,1.3950811464277393,16.747246822481447,0.01,5.7528181425278415
11.0,-1,6,448,61.71613926062401,365.8307233609053,308.2821931613619,371.0,1.403668606785614,16.747246822481447,0.01,5.7528181425278415
11.0,-1,7,541,69.87401133595934,437.4547091297821,365.5105164542633,443.0,1.4124057391008706,16.747246822481447,0.01,5.7528181425278415
11.0,-1,8,633,76.78487319262848,508.2323122832628,425.8378209274404,514.0,1.420848127912609,16.747246822481447,0.01,5.7528181425278415
13.0,1,1,19,-7.262011833672313,-32.44727544999123,43.2690833445388,33.25000000000001,-1.7909774436090222,84.1509376199525,0.01,-14.230916655461199
13.0,1,2,53,-11.083810880619856,-49.26864252607995,72.9690833445388,50.500000000000014,-1.7920792079207917,84.1509376199525,0.01,-14.230916655461199
13.0,1,3,129,-19.47384778106797,-86.33087079718236,138.56908334453883,88.5,-1.7926553672316383,84.1509376199525,0.01,-14.230916655461199
13.0,1,4,197,-27.00382274437832,-119.48658316811222,197.3690833445388,122.5,-1.793061224489796,84.1509376199525,0.01,-14.230916655461199
13.0,1,5,550,-67.19365225262827,-291.3520432345599,500.5703821060848,299.0,-1.7974601462334172,84.1509376199525,0.01,-14.230916655461199
13.0,1,6,693,-83.96312499624665,-361.3740356484742,626.0059674757573,371.00000000000006,-1.7990898987738155,84.1509376199525,0.01,-14.230916655461199
13.0,1,7,837,-100.98931842812814,-431.3353191699263,751.0197766483151,443.0,-1.8007853735902588,84.1509376199525,0.01,-14.230916655461199
13.0,1,8,979,-117.97382372058269,-500.2780995773699,873.3658006307611,514.0,-1.802381902218955,84.1509376199525,0.01,-14.230916655461199
13.0,-1,1,19,-7.262011833672326,-32.447275449991224,43.2690833445388,33.25,-1.790977443609023,84.1509376199525,0.01,-14.230916655461199
13.0,-1,2,53,-11.035024621698016,-49.279592445539954,72.9690833445388,50.5,-1.7910891089108911,84.1509376199525,0.01,-14.230916655461199
13.0,-1,3,129,-19.278700206712333,-86.37465900563494,138.56908334453883,88.50000000000001,-1.7903954802259887,84.1509376199525,0.01,-14.230916655461199
13.0,-1,4,197,-26.564711226362007,-119.58497446360056,197.3690833445388,122.5,-1.789387755102041,84.1509376199525,0.01,-14.230916655461199
13.0,-1,5,550,-63.685101983873054,-292.13902133283,502.45576895372585,299.0,-1.7854342277676991,84.1509376199525,0.01,-14.230916655461199
13.0,-1,6,693,-78.35336498157261,-362.63170048420267,628.1968366055519,371.0,-1.783593757022163,84.1509376199525,0.01,-14.230916655461199
13.0,-1,7,837,-92.80121874561311,-433.1707905657177,751.4083985881226,443.00000000000006,-1.7818431017935166,84.1509376199525,0.01,-14.230916655461199
13.0,-1,8,979,-106.81127360818355,-502.7796255122096,872.2644880156168,514.0,-1.7801257766491758,84.1509376199525,0.01,-14.230916655461199
