event,pT,eta,phi,px,py,pz,E
39,22.735294327056305,2.289425237503849,-1.49906595046364,1.629413090091501,-22.676830050069103,111.03848276395006,113.34212924882748
40,136.00351741844034,1.1429719805507734,-2.352791100608042,-95.84115249342834,-96.49575243978056,191.5748909427456,234.94232396465492
41,52.15897815461688,-1.1466391342013578,1.998928837169572,-21.654978176692836,47.45124784766738,-73.80218263189313,90.37323256011766
42,0.5668267124688483,-2.2617462997949267,-1.7700064580169346,-0.1121722544035773,-0.5556166909932256,-2.691199794376487,2.7502452354690643
43,359.7839313547052,-2.3124528590008824,1.0120840472680015,190.71956597039863,305.0746210636178,-1798.9462903928147,1834.5714030746028
44,117.89990562351284,-2.438616741043837,2.8357464424618954,-112.42846571313603,35.49968793416964,-670.2550700510951,680.5455507717552
45,138.41647236364676,0.4962451690417883,1.506647220806334,8.873204334504488,138.13177066277808,71.542619477325,155.81227879494452
45,10.515946036837237,-0.5748405707289447,-0.9099972200805688,6.454140261881562,-8.302360780502866,-6.383455999283914,12.301773512159397
46,25.29450957153828,0.8382702784639332,-0.9478298166663236,14.75800519670922,-20.542967095299197,23.775648404078908,34.71445911286854
46,0.5819664289658861,1.1329463260837116,-2.7911630850830607,-0.5465976101781933,-0.1997898320505664,0.8097212802322893,0.9971627129532687
47,23.36612773635428,1.339591256921902,0.2404132029676228,22.694110250312,5.563567680752042,41.53948522821397,47.660305899318686
47,2.096758328223017,2.3763874675373584,-0.1597188620083062,2.070070861107164,-0.3334698141775752,11.189408161489622,11.384166657748082
48,110.62532534064424,-1.1303941918053555,-0.6090040603429447,90.73689998944648,-63.28331207378904,-153.43572653001618,189.15730168967124
49,6.483522337164046,-1.3524279304431106,-0.4861566346858255,5.732309830120258,-3.0293045254664963,-11.696893029962924,13.3736071592858
50,12.224375339897527,1.394711938338007,3.014691527588912,-12.126077328034544,1.5471267191867066,23.14018007918089,26.17065697585017
51,5.832341646055059,-2.387737277636314,-0.3111824194189332,5.552227090321023,-1.7857724977761236,-31.485868387055703,32.02149461164019
52,0.747134033093021,1.9958880878132137,-1.5124689248863885,0.0435536816618914,-0.7458634863160536,2.698215691688358,2.799745913878459
53,3.6904552183586254,0.6942074508921344,2.032111762069977,-1.6427191253934188,3.3046835845171465,2.772734070677434,4.616006276577824
54,1.531630578972803,-1.560079183522781,-0.0638167339789521,1.5285127966924297,-0.0976773299801531,-3.4837539815173715,3.8055793296399294
55,270.2837506178115,-0.3350424945830028,0.5760348414837074,226.6678105181491,147.22435098495006,-92.26029097335734,285.5963360033176
56,26.624693858035013,1.2369073365486931,-1.5065251836461384,1.7100216554672338,-26.56972241051683,41.99595968332684,49.72459102655044
57,7.566234494891353,2.0764034935871747,0.2299976110395752,7.366992385178011,1.7249138031835125,29.69880266784339,30.64745967180943
58,1.0470123683578538,0.6496230801845205,2.8280418203546933,-0.9959646061820884,0.3229386980943588,0.7290223450514667,1.275816788993883
59,0.8302709757526806,-0.3641069244217238,-1.0332447334589112,0.4251273283528175,-0.7131736449595596,-0.3090315053172497,0.8859178090861215
60,5.816104398938886,-0.5631222715080737,-2.2393053774120744,-3.6049183959943214,-4.564168460692263,-3.451040047621348,6.7628949267042895
61,0.6555409988209395,-2.155557520341532,-0.903946235340674,0.405461248549455,-0.5151069569127097,-2.7915764894496697,2.867513434595084
62,17.71264548716558,-1.9959931912933868,-2.4100612741825143,-13.180905852764734,-11.832224264886106,-63.97480012760987,66.38157019475841
63,258.1393954426554,-1.2516342645944225,0.2445291791844721,250.46011447217325,62.495428137468686,-414.31564125315737,488.15304778984495
64,3.608532086428165,0.2146682639755454,-0.7153139189095065,2.724035380381455,-2.3666717273867253,0.7806005746669981,3.691996895441822
65,36.80279899435482,-0.1937030677502031,-0.7711593398126767,26.391402352863,-25.65033909460422,-7.173478676216364,37.49539718601491
66,8.968278484066596,1.968360571819035,1.292278312061112,2.4656584499826866,8.622676346460002,31.475270326853952,32.72801034460092
67,317.9222293548788,0.967201043680637,-0.6727293484882505,248.65456163004487,-198.1046513803913,357.7301825694406,478.586906882273
68,3.787717833951583,0.7964919898996115,1.1708103795386091,1.4749577738085529,3.488739880689959,3.346144559546708,5.054056766897153
69,41.04234857890998,1.378588601034889,-2.937523135816416,-40.19071887246756,-8.317481192466511,76.2846238790717,86.62458206100732
70,23.151888711366983,0.2686839161227655,-0.4208961162312604,21.13126532522245,-9.45936449549192,6.295655295274371,23.992607746979864
71,29.464204617151868,1.9178368068995928,0.9027364234479544,18.252017864940896,23.130136134041056,98.10541409298048,102.434425990858
72,1.9759779763987344,2.317862662963147,-1.3686787670277272,0.3966661840401754,-1.9357543495112808,9.934688525493694,10.12929045204001
