event,px,py,pz,E,pT,eta,phi
8623,3.4082053087,-3.6492294108,2.0227575425,5.3874193075,4.993269341713761,0.39476343148993087,-0.8195366955138857
8624,-5.7880609279,-7.4543694437,-15.60568249,18.237505286,9.437651885307641,-1.2770305234910717,-2.2310213448131346
8625,-0.66063778455,2.0138814829,3.1204760964,3.7722051877,2.119471846838885,1.179293236413051,1.8877771795120895
8626,4.3676496705,1.2039606998,20.770510748,21.258880539,4.530550188540202,2.2275257795309553,0.26897425492446936
8627,0.79592344655,0.34009000485,-0.87529960462,1.2309771493,0.865537604132197,-0.8893262746184246,0.4038085655793962
8628,7.7255064231,16.062660178,-57.062179145,59.781140758,17.823930584673697,-1.8802919219566023,1.1224959353702557
8629,-13.826626617,-173.01922543,72.141359196,187.96596415,173.57081543854974,0.40450865368219746,-1.6505406764013775
8630,43.100622411,-102.79156971,566.10852151,576.97714736,111.46196865147047,2.327803167494535,-1.173762549701063
8631,40.79406958,16.434499775,12.049294471,45.600815706,43.98009658643733,0.270654976570888,0.3829736974098362
8632,2.2038178028,-29.955049521,39.614544328,49.713920858,30.03600846839507,1.0899232519869324,-1.4973578072741895
8633,-0.046778713128,-3.8953184818,1.0457529478,4.0335212346,3.8955993534569964,0.2653208287773636,-1.582804706805302
8634,-36.766775868,-12.513330455,132.70010381,138.26675956,38.837858421954444,1.9426010345632594,-2.8135463394762126
8635,-1.6515074287,5.8683727706,-8.6823821605,10.608913033,6.0963329766155985,-1.1519665288859482,1.8451260406337495
8636,-201.09709996,68.621423238,204.85400328,295.15098848,212.4828071622054,0.8557570042684792,2.8127472941648324
8637,0.82722543682,-0.0081181452912,-2.7312233067,2.8537604277,0.8272652703969924,-1.9097113932652605,-0.009813388622627487
8638,0.8725716818,7.4783981335,32.253516207,33.120645037,7.529131422881099,2.1613474061186775,1.454642576279567
8639,-260.99108531,8.3248943769,862.84238104,901.48911529,261.1238221183166,1.910532432933893,3.1097062282484327
8640,-7.5103402206,-0.53867967317,0.69345810347,7.5614992006,7.529633856931464,0.09196748917734253,-3.0699902021721495
8641,-11.469515565,36.535831879,-69.593804079,79.433710505,38.29382193495878,-1.3588423745403897,1.8749790017890213
8642,-4.6359757158,8.5781331867,1.1586725816,9.8193259421,9.750725091307375,0.11855148506773289,2.0662710399156916
8643,-6.4709919014,10.139369654,11.886092187,16.910344191,12.028322957438434,0.8729875273641705,2.138834753064482
8644,-0.17904775743,0.50673929233,0.46231400626,0.70892668888,0.537440982650022,0.7789999348901725,1.9104373954638758
8645,-4.4932306818,-2.4524164698,18.044144171,18.756188509,5.118932359507712,1.9725609915631455,-2.6419778142475137
8646,-1.0130560456,7.3541467786,23.183951571,24.343487175,7.4235946409215705,1.8566438092467576,1.7076878215621265
8647,-0.51261206707,0.10386154737,-1.4234473625,1.5164962071,0.5230280607461409,-1.7265105500735682,2.9416864631304516
8648,-0.3038454516,0.44976885109,0.224415608,0.58734695282,0.5427836381734683,0.40249710048653287,2.1649300074352893
8649,-75.185761981,73.379007859,276.36503881,295.66029878,105.05892441403904,1.6946619092393667,2.3683552807971884
8650,-30.15231341,27.552336952,-196.57931714,200.77779061,40.84474599616713,-2.2750571960622317,2.401220656688624
8651,-93.756812348,186.25194234,228.60019797,309.41586319,208.51888616401337,0.9478587949306201,2.0371498882480954
8652,13.668461605,-22.118589306,30.741803781,40.263101412,26.00113142797553,1.0046089083329859,-1.0172736056941527
8653,3.610460225,0.12857004056,2.2396500325,4.250645311,3.6127487169240893,0.5858391371056563,0.035595388729265154
8654,-0.25104116355,1.3514919605,-1.3157042124,1.902795249,1.3746098301309617,-0.8507453142193919,1.754454271991673
