event,id,charge,mass,px,py,pz,E,pT,eta,phi,xProd,yProd,zProd,tProd
893,-211,-1.0,0.13957,0.37509843599364656,-0.19073662296271884,-96.29669624236197,96.29771682794279,0.4208079086995658,-6.126164789134206,-0.47042248993895297,0.0,0.0,0.0,0.0
893,2212,1.0,0.93827,-0.3968741808236541,0.05489797240934714,-303.7408372119842,303.74255063084723,0.40065309530702986,-7.3239817692581415,3.0041390209811634,0.0,0.0,0.0,0.0
893,-2212,-1.0,0.93827,-0.10151818469321366,-0.08572494662547223,-352.0299542995813,352.0312297644436,0.13287102128510003,-8.575239871655286,-2.440341473550622,0.0,0.0,0.0,0.0
893,211,1.0,0.13957,-0.6004405790220722,0.5168525934873217,38.050802182238044,38.059304933078344,0.7922534268344518,4.565051662198684,2.430868320264073,0.0,0.0,0.0,0.0
893,211,1.0,0.13957,-0.03962796280101121,-0.19623226540293873,0.7625412966476817,0.8006413000926536,0.20019359985006444,2.047321026389849,-1.7700605841328314,0.0,0.0,0.0,0.0
893,-211,-1.0,0.13957,-0.062265683073646716,-0.03722652718187759,6.958027243511978,6.959805007036445,0.0725453624613654,5.256613571354211,-2.602743839381927,0.0,0.0,0.0,0.0
893,211,1.0,0.13957,-0.6625081215402544,-0.2564717792378764,0.24713033742480525,0.7650150150343041,0.7104187389506548,0.34120644272413964,-2.7722366504298375,0.0,0.0,0.0,0.0
893,-211,-1.0,0.13957,0.3270809409610089,-0.08684466203886457,0.7477367205705939,0.8325346391918178,0.3384138550127397,1.5335983813781837,-0.2595262080129173,0.0,0.0,0.0,0.0
893,-211,-1.0,0.13957,-0.1274076563751404,0.032974400853382026,-2.8233884452478706,2.8298978991606445,0.13160555464966278,-3.7595737151481825,2.888339381224987,0.0,0.0,0.0,0.0
893,-211,-1.0,0.13957,0.49891230207460957,0.5978719151799156,-1.865845137878787,2.0266282776000617,0.7786939784808192,-1.6079450321465625,0.875381566554837,0.0,0.0,0.0,0.0
893,-211,-1.0,0.13957,-0.09281503369155233,-0.4859370776786368,2.2317543225792114,2.290187026247641,0.4947216125681367,2.211759659921314,-1.759525342257014,0.0,0.0,0.0,0.0
893,211,1.0,0.13957,-0.35806761991717406,-0.2028816258898391,1.3535423716407948,1.4215942147053933,0.4115499660513343,1.9060469158873685,-2.6260930268012666,0.0,0.0,0.0,0.0
893,-211,-1.0,0.13957,0.3817344892250095,0.22354853790735077,2.10913242535355,2.1595403542518357,0.4423744670122736,2.265843260127923,0.5297733759751537,0.0,0.0,0.0,0.0
893,211,1.0,0.13957,-0.08410609432433308,-0.21362825381696357,61.07791203358705,61.07850300255755,0.2295884708154541,6.276767838612938,-1.9458625366017295,0.0,0.0,0.0,0.0
893,-211,-1.0,0.13957,0.03189031817362865,0.044080379816208715,3.5210491827090054,3.5242342720417583,0.05440654627851772,4.8632366695694005,0.9444993889801617,0.0,0.0,0.0,0.0
893,-211,-1.0,0.13957,0.8088083154626624,0.267429741418234,483.3046590460588,483.3054299560163,0.8518741443174415,7.034111657127706,0.31933057290635486,0.0,0.0,0.0,0.0
893,2212,1.0,0.93827,0.06835780295003484,0.08095617452840309,271.738953506652,271.7405940049717,0.10595608249850054,8.542719681049205,0.8695738199488684,0.0,0.0,0.0,0.0
893,211,1.0,0.13957,0.13104814177653962,-0.41567291377103976,200.1586939885166,200.15921716613573,0.43584124025382254,6.822736117572646,-1.2653922081917186,0.0,0.0,0.0,0.0
893,-2212,-1.0,0.93827,0.3269952272202818,-0.33901099537654933,22.109143149250936,22.134055564233613,0.4710141543637966,4.54211900064037,-0.8034377316564283,0.0,0.0,0.0,0.0
893,-211,-1.0,0.13957,-0.16661540260156518,0.1920750319877881,3.701313379050607,3.712661313012032,0.25427054547704003,3.372369093766654,2.285333937800373,0.0,0.0,0.0,0.0
893,211,1.0,0.13957,0.2119570813200498,-0.2326411043552394,4.017646751139991,4.032370628997674,0.31471842614842177,3.2414509883733422,-0.8318876010872296,0.0,0.0,0.0,0.0
893,-211,-1.0,0.13957,0.09840688298162406,-0.39339649387294284,0.8401697456884059,0.9432972503298234,0.4055178368576201,1.4753110979485358,-1.3256794824246665,0.0,0.0,0.0,0.0
