event,n_hard_nu,sum_px,sum_py,met_hard_nu
801,2,44.65482595006899,-49.514896158290114,66.67667074919989
806,2,-20.94686322655902,28.58715743966072,35.44004302356474
807,2,-58.39691509803192,-84.71011228439967,102.88830262086331
810,2,-36.074485812317974,78.07657071397877,86.00767071068753
813,2,-7.2606961530210565,-46.30386452155167,46.86966586457285
816,2,-109.88018209428701,49.483375995242675,120.50833546672291
818,2,-85.39495655119069,-206.76545606764492,223.70572730093645
825,2,-7.886604229930434,-14.001506347352368,16.069869516411927
826,2,5.85439648088574,-24.809116247939308,25.49051210076356
827,2,92.01643635786287,138.40182988343088,166.19895028273424
836,2,26.694152660346276,24.603271067138493,36.302875002635346
837,2,36.036330330825926,50.56253856653054,62.09015549992038
847,2,80.92809772689321,11.602215495322882,81.75554052230031
851,2,-22.053698392828487,-0.8199115755388107,22.0689344507964
854,2,27.014823111260725,38.26040368005126,46.836515215088184
864,2,-77.44188364912984,-106.67611615113182,131.8219977857077
865,2,86.43628477520664,119.79633835793442,147.7240468228153
885,2,-1.5679070588584763,-25.913357479443828,25.96074783981898
886,2,18.450746409177228,33.96766787080045,38.655303693500784
889,2,-61.115184910752774,77.1598311269282,98.43122150116588
903,2,9.681026158340025,40.96175205007198,42.090229252048985
906,2,-41.531861349638206,-35.35638353754344,54.54327973288226
916,2,26.05335142401974,-36.91838742843328,45.18566643017863
919,2,2.0261455456169273,24.51701710849577,24.60059742506872
920,2,31.253696272593743,26.85562911910862,41.20701816538846
928,2,-43.07672352439541,9.855158786931181,44.18968504428186
929,2,22.803574107554613,-21.403890770973238,31.275062465397067
936,2,-30.421087048916696,-25.154526003631258,39.47394983663439
938,2,40.113620828073195,43.06847324721289,58.85572158919063
944,2,-9.201762393843694,31.448470815645834,32.767037519362106
954,2,46.59305808697465,2.0281866478418884,46.637180478398115
959,2,30.789132031729437,-2.1008532054396287,30.860723184301328
974,2,-11.90226704777099,-50.606958647860914,51.98776995085248
980,2,10.002702075855591,-37.4535412882836,38.766245676509484
989,2,-80.73082362007555,76.82890159058317,111.4457087643632
990,2,-19.995107730111762,-33.09711132444031,38.66811491605416
991,2,-2.842908769377562,-8.21480050623247,8.692817588572826
995,2,42.9059646325582,103.72691417452782,112.25058808407285
997,2,24.79017211068627,6.709145517765206,25.682002781247345
1004,2,-12.078076046988208,43.90092527974992,45.532089359209245
1006,2,-39.524282449126005,-51.150816608804746,64.64189773564716
1015,2,-48.12056983013211,34.414521053139204,59.16036257574477
1018,2,-24.167618662475803,-29.34386388837553,38.0149462674138
1023,2,-40.1667220214215,19.87022839324981,44.81285010291197
1035,2,49.90453170431643,-71.04780396165135,86.82311174105871
1039,2,32.78146380078514,78.13256561178439,84.73088089948067
1052,2,-24.118514031451937,-30.944757599772295,39.23366847484453
1053,2,39.07055121078765,38.055745058758184,54.54124772951182
1074,2,12.079061453466252,-5.954800225889566,13.467121865003996
1077,2,-27.669406216364283,-8.305182855589656,28.88896160527337
1083,2,-49.02321449140877,34.73159143419816,60.07960554649754
1092,2,66.20605958185303,11.451551900853014,67.1891387524338
1099,2,-37.35124799073574,50.70646205361455,62.97825831554961
1103,2,104.63124852466085,-13.304867755887607,105.47377718575837
1104,2,-50.107329449002556,-22.01144287496209,54.728859680689474
1112,2,-61.231721992978095,-63.975457119328574,88.5561002520572
1113,2,-21.666527102924743,53.25002553730182,57.48916086033148
1120,2,-38.07544163448675,-75.03591472419117,84.14349501986054
1129,2,-82.604369215083,105.14501016483652,133.7122095247301
1139,2,9.585587522250258,-23.08186029900324,24.993114311934434
1140,2,65.86917482648457,-25.29903128334577,70.56053554358623
1141,2,1.7061253348588608,-19.854155380565228,19.927326703144967
1143,2,24.093613648385357,-49.12870540850423,54.71866147625738
1150,2,119.86474992436318,290.1721784454061,313.9545371836227
1169,2,86.56089906079671,67.5733820709197,109.81325607919989
1174,2,44.39889402823964,10.251513522832838,45.567042041805585
1179,2,-13.507792032300454,-4.5320020728241275,14.247788894279765
1197,2,17.10485467015707,25.473672206327052,30.68361173269199
1209,2,34.14465750369895,-16.626342032747317,37.977531323597184
1212,2,-61.13481746982063,-3.4800362115249257,61.233786091518226
1215,2,-9.677828577454108,-9.32551789513182,13.439704237333917
1222,2,-58.66052785702211,-17.70502198737133,61.27418161051006
1225,2,-19.74141874633912,-8.053043517621632,21.320767434945147
1231,2,34.52450590888429,-23.275786130409717,41.63776805066716
1233,2,-70.43698949817174,37.36681498694861,79.73486283824914
1240,2,-75.36111330231803,-39.67086898682915,85.16498837160127
1241,2,-44.256053908593806,73.4633090676178,85.76395563827904
1250,2,17.312067357563393,-44.10609208212087,47.382011723325306
1256,2,-58.35784167107672,45.733205638200374,74.14286063035591
1258,2,-56.59127598176788,110.36363551623033,124.02703157620098
1259,2,-148.19155511538477,-37.741059950805635,152.9219559570385
1264,2,165.3965458465842,6.087371180114281,165.50852988853993
1265,2,62.78504050846123,-59.311005413214936,86.3698829151431
1268,2,8.000417664538098,10.183470856522778,12.950280363478699
1281,2,57.20500668834812,-38.099902761436226,68.73147299923703
1297,2,-40.17023902223393,79.2858067529617,88.8813099339304
1299,2,-5.730269052077201,-47.48904000152849,47.83351234935572
1302,2,46.6678079871346,6.828850350371071,47.164790887184346
1304,2,22.698792243312603,-27.63050216212988,35.758632790370115
1308,2,-73.22187691040105,-2.8945353953134543,73.27906654315846
