event,particle,charge,x,y,z,px,py,pz,E,photon_pT,weight,eta
83.0,positron,1,-21.41461573054012,-9.678028369110306,-38.18908137238997,-3.59922940715,-1.6266200966499995,-6.4185725505,7.536472573435869,7.899454478410265,0.01,-1.2621945773518812
83.0,electron,-1,-21.41461573054012,-9.678028369110306,-38.18908137238997,-3.59922940715,-1.6266200966499995,-6.4185725505,7.536472573435869,7.899454478410265,0.01,-1.2621945773518812
86.0,positron,1,20.393769530887838,-11.676650389603648,6.943874567428084,0.5307723005500001,-0.3038988246200001,0.18072266009,0.6377573288536659,1.2232313446548977,0.01,0.29134484920908776
86.0,electron,-1,20.393769530887838,-11.676650389603648,6.943874567428084,0.5307723005500001,-0.3038988246200001,0.18072266009,0.6377573288536659,1.2232313446548977,0.01,0.29134484920908776
87.0,positron,1,11.757839406795332,20.347068891710443,4.063293903111989,0.3153283387949999,0.5456791176499999,0.1089716972799999,0.6395877512074325,1.2604723887281255,0.01,0.17205596338996748
87.0,electron,-1,11.757839406795332,20.347068891710443,4.063293903111989,0.3153283387949999,0.5456791176499999,0.1089716972799999,0.6395877512074325,1.2604723887281255,0.01,0.17205596338996748
88.0,positron,1,8.138950721833732,-22.045577360268023,-60.27603911789604,8.296911814999998,-22.47343884,-61.44587898499997,65.9506652218184,47.912177949289976,0.01,-1.6710820887536304
88.0,electron,-1,8.138950721833732,-22.045577360268023,-60.27603911789604,8.296911814999998,-22.47343884,-61.44587898499997,65.9506652218184,47.912177949289976,0.01,-1.6710820887536304
89.0,positron,1,10.301716631847642,-21.121662681643077,-62.6618496777046,5.557895117,-11.395380991,-33.80679170200001,36.10601156655265,25.357042892389213,0.01,-1.7073394609480144
89.0,electron,-1,10.301716631847642,-21.121662681643077,-62.6618496777046,5.557895117,-11.395380991,-33.80679170200001,36.10601156655265,25.357042892389213,0.01,-1.7073394609480144
90.0,positron,1,22.78540650597134,5.751108619878334,-51.39920983603289,0.6290171114,0.15876590705,-1.4189337587999995,1.5602058042251046,1.2974885582160782,0.01,-1.5243511844562883
