event,particle,charge,x,y,z,px,py,pz,E,photon_pT,weight
19.0,positron,1,0.8127493795890777,-23.48594129359046,-41.24026767851319,0.5644147548679977,-16.309839331736093,-28.6393520032303,32.9627351141784,32.639204833608204,0.01
19.0,electron,-1,0.8127493795890777,-23.48594129359046,-41.24026767851319,0.5644147548679977,-16.309839331736093,-28.6393520032303,32.9627351141784,32.639204833608204,0.01
20.0,positron,1,6.048665063090697,-22.708228705791786,93.21337947260285,0.06690772716736927,-0.2511886432549452,1.0310862474693872,1.0633490622441277,0.5198937524339498,0.01
20.0,electron,-1,6.048665063090697,-22.708228705791786,93.21337947260285,0.06690772716736927,-0.2511886432549452,1.0310862474693872,1.0633490622441277,0.5198937524339498,0.01
21.0,positron,1,5.5635376799658935,-22.83193045897783,3.079989223484564,0.5686583210851358,-2.3336891001364624,0.31481075559063715,2.422515823285917,4.803947169665835,0.01
21.0,electron,-1,5.5635376799658935,-22.83193045897783,3.079989223484564,0.5686583210851358,-2.3336891001364624,0.31481075559063715,2.422515823285917,4.803947169665835,0.01
22.0,positron,1,-16.537238709168825,-16.696398889460212,60.6857803852191,-2.2226395157767156,-2.244030977330551,8.156295975527755,8.746483035181711,6.3168984301827305,0.01
22.0,electron,-1,-16.537238709168825,-16.696398889460212,60.6857803852191,-2.2226395157767156,-2.244030977330551,8.156295975527755,8.746483035181711,6.3168984301827305,0.01
23.0,positron,1,-22.65784031404524,6.234763211480137,10.038335271144543,-1.3210317110249148,0.36350860448033223,0.5852702214898022,1.4899008420788864,2.740265160209612,0.01
23.0,electron,-1,-22.65784031404524,6.234763211480137,10.038335271144543,-1.3210317110249148,0.36350860448033223,0.5852702214898022,1.4899008420788864,2.740265160209612,0.01
24.0,positron,1,22.641205503166788,-6.294903761247668,4.503613129489089,0.58016096005142,-0.16130136750209415,0.11540112192962163,0.6131250196072955,1.2043336260784734,0.01
24.0,electron,-1,22.641205503166788,-6.294903761247668,4.503613129489089,0.58016096005142,-0.16130136750209415,0.11540112192962163,0.6131250196072955,1.2043336260784734,0.01
25.0,positron,1,19.030824270612406,13.786867939494805,-9.589030784711943,98.03655768863091,71.02251877670896,-49.39752247910483,130.7496846799177,242.1186883891802,0.01
25.0,electron,-1,19.030824270612406,13.786867939494805,-9.589030784711943,98.03655768863091,71.02251877670896,-49.39752247910483,130.7496846799177,242.1186883891802,0.01
26.0,positron,1,-14.61871026305536,-18.399546468455135,-15.24550586533658,-5.318505873248404,-6.6940307453041274,-5.546543506669713,10.191206857592217,17.099304353435517,0.01
26.0,electron,-1,-14.61871026305536,-18.399546468455135,-15.24550586533658,-5.318505873248404,-6.6940307453041274,-5.546543506669713,10.191206857592217,17.099304353435517,0.01
27.0,positron,1,-7.115826166675661,22.396763560069434,-50.15822757246286,-0.21054084032170853,0.6626684393312792,-1.4840659587230136,1.6388742098677316,1.3906213085223804,0.01
27.0,electron,-1,-7.115826166675661,22.396763560069434,-50.15822757246286,-0.21054084032170853,0.6626684393312792,-1.4840659587230136,1.6388742098677316,1.3906213085223804,0.01
28.0,positron,1,-4.65123010841045,23.035104915728432,106.75987949792784,-0.5314869312080392,2.632176206371286,12.199241793669296,12.491290176752749,5.3705977095411175,0.01
28.0,electron,-1,-4.65123010841045,23.035104915728432,106.75987949792784,-0.5314869312080392,2.632176206371286,12.199241793669296,12.491290176752749,5.3705977095411175,0.01
29.0,positron,1,1.5298586490822688,-23.450149946510535,-95.29177768336513,0.029773896263116197,-0.4563835569258389,-1.8545553245552637,1.910117244508108,0.9147074634678942,0.01
29.0,electron,-1,1.5298586490822688,-23.450149946510535,-95.29177768336513,0.029773896263116197,-0.4563835569258389,-1.8545553245552637,1.910117244508108,0.9147074634678942,0.01
30.0,positron,1,-23.31185119184166,-2.967759088846409,8.519114568410771,-19.172483219961116,-2.4407890589018364,7.006418313486083,20.558002374581502,38.6544467842832,0.01
30.0,electron,-1,-23.31185119184166,-2.967759088846409,8.519114568410771,-19.172483219961116,-2.4407890589018364,7.006418313486083,20.558002374581502,38.6544467842832,0.01
31.0,positron,1,-23.49568168604292,-0.4504909634467346,36.02681594704065,-9.879885084020373,-0.18943050938961506,15.149200872573653,18.087186079346953,19.76340185204317,0.01
31.0,electron,-1,-23.49568168604292,-0.4504909634467346,36.02681594704065,-9.879885084020373,-0.18943050938961506,15.149200872573653,18.087186079346953,19.76340185204317,0.01
32.0,positron,1,17.121294287378795,16.096933929322383,-10.069284655749684,0.90311337138444,0.8490804506864494,-0.5311342390503305,1.3485751566756845,2.479154189082457,0.01
32.0,electron,-1,17.121294287378795,16.096933929322383,-10.069284655749684,0.90311337138444,0.8490804506864494,-0.5311342390503305,1.3485751566756845,2.479154189082457,0.01
33.0,positron,1,22.908425497172697,-5.239660412706918,-7.923525559398435,6.61191934611464,-1.5122912770292136,-2.286918930420869,7.157827920565081,13.565323784724594,0.01
33.0,electron,-1,22.908425497172697,-5.239660412706918,-7.923525559398435,6.61191934611464,-1.5122912770292136,-2.286918930420869,7.157827920565081,13.565323784724594,0.01
34.0,positron,1,10.230284872542208,-21.1563529802902,-37.85137539562066,0.7002014575604751,-1.44802509197204,-2.590698944642017,3.049390065229391,3.216867263752391,0.01
34.0,electron,-1,10.230284872542208,-21.1563529802902,-37.85137539562066,0.7002014575604751,-1.44802509197204,-2.590698944642017,3.049390065229391,3.216867263752391,0.01
35.0,positron,1,-10.520631783966918,21.013479170908017,-10.494185005865939,-1.9913412279541316,3.977423435687094,-1.9863353917400657,4.871433604328602,8.896142326402561,0.01
35.0,electron,-1,-10.520631783966918,21.013479170908017,-10.494185005865939,-1.9913412279541316,3.977423435687094,-1.9863353917400657,4.871433604328602,8.896142326402561,0.01
36.0,positron,1,-0.9833328077044559,-23.47941772253503,-133.09953647417097,-0.27570140079967476,-6.58302896572245,-37.317710102016015,37.894904260125166,13.177599421130344,0.01
36.0,electron,-1,-0.9833328077044559,-23.47941772253503,-133.09953647417097,-0.27570140079967476,-6.58302896572245,-37.317710102016015,37.894904260125166,13.177599421130344,0.01
37.0,positron,1,0.42302523908767914,-23.496192237192282,59.39497434155794,0.16771220749389457,-9.31527933486652,23.54767834266567,25.323817085913007,18.63357791419927,0.01
37.0,electron,-1,0.42302523908767914,-23.496192237192282,59.39497434155794,0.16771220749389457,-9.31527933486652,23.54767834266567,25.323817085913007,18.63357791419927,0.01
38.0,positron,1,-21.399764201289692,-9.710823452684128,1.0902144698381795,-0.4060497390764378,-0.1842579802324227,0.020686270037894663,0.44638023662731285,0.8918013094481867,0.01
38.0,electron,-1,-21.399764201289692,-9.710823452684128,1.0902144698381795,-0.4060497390764378,-0.1842579802324227,0.020686270037894663,0.44638023662731285,0.8918013094481867,0.01
39.0,positron,1,1.684218689510493,-23.439569266646167,114.77328190326017,0.8147065450457471,-11.338415025034552,55.519241381975,56.6710646244137,22.735294327056305,0.01
39.0,electron,-1,1.684218689510493,-23.439569266646167,114.77328190326017,0.8147065450457471,-11.338415025034552,55.519241381975,56.6710646244137,22.735294327056305,0.01
