event,ds_floor_mm,found,delta_s,delta_w,accepted_hits,coverage_all8,coverage_7double
6,0.034,True,0.051895467588989934,0.6079478329125448,16,True,True
7,0.034,True,0.051887508077080084,0.606896374174074,16,True,True
8,0.034,True,0.05189539371020332,0.6743667984692865,16,True,True
9,0.034,True,0.05189122613973578,0.5902107297413578,16,True,True
10,0.034,True,0.0518965018054869,0.586877276633826,16,True,True
11,0.034,True,0.051892409873463906,0.581682142651992,16,True,True
12,0.034,True,0.051895686888812805,0.7868434159869027,16,True,True
13,0.034,True,0.05188916918132203,0.5892936843600265,16,True,True
14,0.034,True,0.05189583303098771,0.6942939430103836,16,True,True
15,0.034,True,0.05189434769169135,0.6116087866043028,16,True,True
0,0.05,True,0.05189235622167547,0.8965408911602595,16,True,True
1,0.05,True,0.05189364927196712,0.7249645659980073,16,True,True
2,0.05,True,0.05188484672837014,0.6045982117788054,16,True,True
3,0.05,True,0.0518939872365304,0.7271559025784697,16,True,True
4,0.05,True,0.05189530891803438,0.6351029895891872,16,True,True
5,0.05,True,0.05189570576292412,0.7272216742271052,16,True,True
6,0.05,True,0.051895467588989934,0.6079478329125448,16,True,True
7,0.05,True,0.051887508077080084,0.606896374174074,16,True,True
8,0.05,True,0.05189539371020332,0.6743667984692865,16,True,True
9,0.05,True,0.05189122613973578,0.5902107297413578,16,True,True
10,0.05,True,0.0518965018054869,0.586877276633826,16,True,True
11,0.05,True,0.051892409873463906,0.581682142651992,16,True,True
12,0.05,True,0.051895686888812805,0.7868434159869027,16,True,True
13,0.05,True,0.05188916918132203,0.5892936843600265,16,True,True
14,0.05,True,0.05189583303098771,0.6942939430103836,16,True,True
15,0.05,True,0.05189434769169135,0.6116087866043028,16,True,True
