event,particle,charge,layer_id,trajectory_step,x,y,z,r,phi,n_merged,t
1,1,1,2,1831,47.095176184280035,18.228943473817193,2.0,50.5,0.3693069306930693,1,
1,-1,-1,2,1831,46.19622224932901,20.399976712991585,2.0,50.5,0.4158415841584158,1,
1,1,1,3,3210,81.99252401257898,33.30879772742717,3.6,88.5,0.3858757062146893,1,
1,-1,-1,3,3210,81.5333558759992,34.417464746806466,3.6,88.5,0.39943502824858756,1,
1,0,0,4,4443,113.17739999373313,46.87351203674134,4.800000000000001,122.5,0.39265306122448973,2,
1,1,1,5,10836,275.861878577437,115.33093231101276,10.847824439341846,299.0,0.3959904497647345,1,0.25932263254141646
1,-1,-1,5,10856,276.5016799114712,113.78849241524547,11.551685627947991,299.00000000000006,0.3904055922450059,1,0.7445793153480069
1,-1,-1,6,13461,342.70396049294004,142.10909704326954,15.264151773399892,371.0,0.3930887266018142,1,0.1193090087731301
1,1,1,6,13482,343.009321211463,141.37045505356275,14.782297860488285,371.0,0.39093435181070424,1,0.5671911214763873
1,1,1,7,16050,409.3650725311114,169.31992615046187,16.930403006773986,443.0,0.392188885672402,1,0.18074302747934803
1,-1,-1,7,16093,409.1961860053567,169.7276682178527,18.22003405610296,443.0,0.3931851264043329,1,0.2898776443259908
1,1,1,8,18649,475.28992331585494,195.69233197652056,20.381025069054544,514.0,0.39057954890447594,1,0.8438758645805856
1,-1,-1,8,18662,474.4807676396401,197.6461513414766,20.088852366091825,514.0,0.39469384012755165,1,0.4369327375930976
2,1,1,1,1205,23.767615281180323,23.252160412439178,1.25,33.25,0.7744360902255639,1,
2,-1,-1,1,1205,23.23712881889255,23.782311583489804,1.25,33.25,0.7969924812030075,1,
2,1,1,2,1831,36.52144470389502,34.877414995098725,2.0,50.49999999999999,0.7623762376237626,1,
2,-1,-1,2,1831,34.85948599996095,36.53855820661956,2.0,50.49999999999999,0.8089108910891091,1,
2,1,1,3,3210,63.007206527530414,62.147742723264926,3.6,88.5,0.7785310734463278,1,
2,-1,-1,3,3210,62.158759078940285,62.99633854253958,3.6,88.5,0.7920903954802261,1,
2,0,0,4,4443,86.62855296884024,86.61260768805452,4.800000000000001,122.5,0.7853061224489796,2,
2,-1,-1,5,10831,212.0082116339269,210.84002987996388,12.590201976487318,299.0,0.7826355202849972,1,0.44754450991194905
2,1,1,5,10858,211.05710109114534,211.79211524275885,11.016194639509102,299.0,0.7871364033727035,1,0.9996103583018618
2,1,1,6,13436,262.85406800305833,261.81814095712235,16.149814856160415,371.0,0.7834237388289116,1,0.2266766165602802
2,-1,-1,6,13468,262.3006102546355,262.3726164447155,15.109544475879028,371.0,0.7855354034660542,1,0.9174711343241297
2,1,1,7,16043,313.4164793213681,313.0800384722706,16.74569891911511,443.0,0.7848611439453046,1,0.18808193961868128
2,-1,-1,7,16073,313.31771486653116,313.17887788102036,17.97396156058618,443.0,0.7851765548765955,1,0.7831441677912491
2,1,1,8,18643,363.2677549621626,363.63792184637464,21.315013565653544,513.9999999999999,0.7859073998280122,1,0.15344173870483113
2,-1,-1,8,18686,363.7741662377561,363.1313205687791,20.81968984963776,514.0,0.7845138042709087,1,0.19298958332914373
3,1,1,1,1205,13.066858650520961,30.574821422328956,1.25,33.25,1.166917293233083,1,
3,-1,-1,1,1205,12.373935497248032,30.86175983818721,1.25,33.25,1.1894736842105265,1,
3,1,1,2,1831,20.423039808627863,46.18603084240084,2.0,50.5,1.1544554455445546,1,
3,-1,-1,2,1831,18.25245568513698,47.086068655836094,2.0,50.5,1.2009900990099012,1,
3,1,1,3,3210,34.43172096937943,81.52733646505813,3.6,88.5,1.1711864406779662,1,
3,-1,-1,3,3210,33.32313425611019,81.98669845376905,3.6,88.5,1.1847457627118645,1,
3,0,0,4,4443,46.871247533200545,113.178335072051,4.800000000000001,122.5,1.1781632653061225,2,
3,-1,-1,5,10836,115.32041695374876,275.8662745491256,13.694261359895451,299.0,1.1748439949228349,1,0.841635277740014
3,1,1,5,10856,113.75637899581683,276.5148933380625,12.038550518281648,299.0,1.180506873634851,1,0.8558001472964439
3,1,1,6,13431,141.87170138078343,342.80230504960406,15.572531448091247,371.0,1.178400214294306,1,0.023162819141194536
3,-1,-1,6,13475,142.10885527460056,342.70406074708643,15.96343859219153,371.00000000000006,1.17770830566679,1,0.2437643184516361
3,1,1,7,16068,168.55817550063657,409.67931540644884,17.34941012551363,443.0,1.1804675367202635,1,0.5577148542913435
