event,layer,forward_xn3,abs_xn1_mm,abs_xn2_mm,cur_ds_before,trial_ds,trial_dw,ds_ratio,dw_ratio,result
9,1302,304.9221708725528,5.103805731599177e-06,0.2850064791623877,,2.237377756024275e-06,0.38684919820068636,2.5841257895607836,0.9538994624471964,accepted
9,1302,304.9208722943217,2.7358551731719833e-08,0.9189961275733208,,2.378332372383677e-06,0.4909982640371359,1.0629999185340397,1.2692239413209796,accepted
9,808,124.90625899077533,0.0999608457465292,0.16270451338829767,2.378332372383677e-06,0.034879126836716935,0.4628571616741742,14665.371098556518,0.9426859432626562,3x_ds
9,808,124.90622454406322,0.099952959029202,0.18729536578009592,2.378332372383677e-06,0.03478958262427726,0.46401188976868774,14627.721099136998,0.9450377399574531,3x_ds
9,806,90.2330015206224,0.0994416840999332,0.0744844334109465,2.378332372383677e-06,0.035000784512601656,0.46004127696351255,14716.523610836704,0.9369509235753999,3x_ds
9,806,90.23300066423819,0.09944108559932768,0.07551554863081274,2.378332372383677e-06,0.03499897506456748,0.46006229178883284,14715.762805469385,0.9369937237782916,3x_ds
9,804,51.47014897569378,0.09678662254047543,1.0316960645395057,2.378332372383677e-06,0.02676373376823429,0.5866859817637939,11253.151190727145,1.1948840245174897,3x_ds
9,804,51.470418366465736,0.0968346668722293,1.0181631638785127,2.378332372383677e-06,0.026912943310794673,0.5837229091898988,11315.888234671444,1.1888492321548203,3x_ds
9,802,33.92086530415153,0.09898321450386044,0.700070954157875,2.378332372383677e-06,0.030781901040110155,0.5219518613974549,12942.6405651028,1.063042172707107,3x_ds
9,802,33.92087038091416,0.09897821207029706,0.6998256316799157,2.378332372383677e-06,0.03078277888183813,0.5219105997394031,12943.00966478717,1.062958136446546,3x_ds
10,1304,378.34809132261705,2.586159172902385e-06,0.48078284360938506,,4.159527879448285e-06,0.8155644409098829,1.0065811351971365,0.9007343379315839,accepted
10,1304,378.3480241310088,2.848910323116805e-06,0.5259552845140096,,3.872679747606564e-06,0.7622833054612046,0.9310382956539366,0.9346696192526058,accepted
10,1302,304.92221793063476,2.8048887504742407e-06,0.21863474770836508,,3.4760474814915095e-06,0.7011723698162157,0.8975819608217835,0.9198317276435498,accepted
10,1302,304.92142815624345,5.424641817373092e-07,0.7100616680348804,,3.0502422146274427e-06,0.699107738198944,0.8775030349466454,0.9970554578215727,accepted
10,808,124.90634174794309,0.09995961411683592,0.07615262045206664,3.0502422146274427e-06,0.035120314977133416,0.6545050260336477,11513.942994006795,0.9362005171331635,3x_ds
10,808,124.90606477156675,0.09995508558464135,0.27384715087682965,3.0502422146274427e-06,0.03477222309120902,0.661027102143032,11399.823569570557,0.9455296602008495,3x_ds
10,806,90.23303149766389,0.09944124247863206,0.011755036994755781,3.0502422146274427e-06,0.03505741741568356,0.6539685773483221,11493.322480282268,0.9354331837794982,3x_ds
10,806,90.23292636078551,0.09944201535859298,0.13824490820276558,3.0502422146274427e-06,0.03496115684924298,0.6557742874911079,11461.76414501992,0.9380160619885675,3x_ds
10,804,51.47125377103268,0.09686036973824552,0.9750145161633305,3.0502422146274427e-06,0.030265136923145152,0.7392727392667338,9922.2077440305,1.0574518044547234,3x_ds
10,804,51.46926605502101,0.09676073407877683,1.0748437643692663,3.0502422146274427e-06,0.029550556967505425,0.7563707510739822,9687.937838443017,1.081908709840003,3x_ds
10,802,33.92049350482698,0.09895294565618204,0.7178639867948073,3.0502422146274427e-06,0.032598245058100356,0.7015570578759561,10687.100487225376,1.0035034938725211,3x_ds
