trial,event,mode,found,delta_s,delta_w,accepted_hits,coverage_all8,coverage_7double
8,10,full,False,0.2781611255299359,0.7168752817831218,11,False,False
8,11,pixel_only,True,0.07190136386372802,0.6158116768037407,16,True,True
8,11,rphi_only,True,0.0719007070748737,0.6206017404495328,16,True,True
8,11,z_only,False,,,0,False,False
8,11,full,False,,,0,False,False
8,12,pixel_only,True,0.07187914155022351,0.4548116223197397,16,True,True
8,12,rphi_only,True,0.07188249877195399,0.4524392891617267,16,True,True
8,12,z_only,False,0.24318889567422147,0.8769423323841039,13,False,False
8,12,full,False,0.24868704921957563,0.8755970845141452,13,False,False
8,13,pixel_only,True,0.07190138469950684,0.6515339395912753,16,True,True
8,13,rphi_only,True,0.07190174947319451,0.6694401289261189,16,True,True
8,13,z_only,False,,,0,False,False
8,13,full,False,,,0,False,False
8,14,pixel_only,True,0.07190034314077187,0.6116871028039714,16,True,True
8,14,rphi_only,True,0.07189794650043324,0.6173194692415602,16,True,True
8,14,z_only,False,0.20406301916481784,0.6619026800771168,9,False,False
8,14,full,False,0.20774837935383825,0.6682179320155073,9,False,False
8,15,pixel_only,True,0.07188355809554992,0.5239861462132219,16,True,True
8,15,rphi_only,True,0.07188338320390984,0.5138319277706275,16,True,True
8,15,z_only,False,0.2847328528104248,0.8249951848733565,11,False,False
8,15,full,False,0.28768109312803103,0.8243670752798884,11,False,False
9,0,pixel_only,True,0.07190465607054643,0.6252904166364244,16,True,True
9,0,rphi_only,True,0.07190455876921507,0.6195869351937665,16,True,True
9,0,z_only,False,,,0,False,False
9,0,full,False,,,0,False,False
9,1,pixel_only,True,0.07189199908424007,0.5098111679898344,16,True,True
9,1,rphi_only,True,0.07188978321139697,0.5176061283238633,16,True,True
9,1,z_only,False,0.26641002115798057,0.6204379439660831,12,False,False
9,1,full,False,0.2628911259779823,0.6237503091845295,12,False,False
9,2,pixel_only,True,0.07189871283523565,0.6628253663910119,16,True,True
9,2,rphi_only,True,0.07190070502500472,0.6641758433858113,16,True,True
9,2,z_only,False,,,0,False,False
9,2,full,False,,,0,False,False
9,3,pixel_only,True,0.07190185530537212,0.41995809945659174,16,True,True
9,3,rphi_only,True,0.07190226334160313,0.4243298112810779,16,True,True
9,3,z_only,False,0.24901687386122615,1.1323010719004611,13,False,False
9,3,full,False,0.25060724051067085,1.1322018526984763,13,False,False
9,4,pixel_only,True,0.07189613461923168,0.7342546300395721,16,True,True
