trial,event,mode,direct_delta_s,direct_delta_w,found,delta_s,delta_w,accepted_hits,coverage_all8,coverage_7double
10,15,rphi_only,0.051775886277720284,0.6556612254135166,True,0.05177588627660841,0.6556612254109505,16,True,True
10,15,z_only,0.5434298091993317,0.7419879896280677,False,0.28330996381012413,0.8420467670007188,11,False,False
10,15,full,0.5353834528464008,0.7560646905219364,False,0.28658660351763876,0.8520080256863886,11,False,False
11,0,pixel_only,0.05177131597792917,1.6368286862176065,True,0.05177131597738019,1.6368286862176065,16,True,True
11,0,rphi_only,0.05177138759257188,1.6406954287737021,True,0.051771387591473914,1.6406954287737021,16,True,True
11,0,z_only,0.6082636515055057,1.642156317837702,False,,,0,False,False
11,0,full,0.6079164667095766,1.6461390247834837,False,,,0,False,False
11,1,pixel_only,0.05107552169102353,0.6186596367175344,True,0.05107552169129842,0.6186596367175348,16,True,True
11,1,rphi_only,0.05108071981565327,0.6234687568569437,True,0.05108071981618015,0.6234687568569441,16,True,True
11,1,z_only,0.5966082282257912,0.8927304813907343,False,0.16695382889080676,1.1414970928413264,10,False,False
11,1,full,0.5962279487086292,0.8963230402431404,False,0.17905013104321427,1.1439868010496268,10,False,False
11,2,pixel_only,0.05175615583230785,0.6784951316863743,True,0.051756155832299144,0.678495131686356,16,True,True
11,2,rphi_only,0.05175577494452127,0.6802187893425161,True,0.051755774944508955,0.6802187893317992,16,True,True
11,2,z_only,0.6659726722359925,0.7283375803305877,False,0.3374478358988127,0.9293627577493196,8,False,False
11,2,full,0.6701997131768272,0.726064567783076,False,0.3486401635600319,0.9299608542777663,8,False,False
11,3,pixel_only,0.0511242567672788,0.6017030450073345,True,0.05112425676700084,0.6017030450073345,16,True,True
11,3,rphi_only,0.05114092309392718,0.60189287952249,True,0.05114092309423886,0.6018928795224907,16,True,True
11,3,z_only,0.5985106386354043,0.8074941782428045,False,0.2316626006261802,0.9865160743250367,11,False,False
11,3,full,0.5988087607612927,0.8074158563541155,False,0.231657193914704,0.9864642490114113,11,False,False
11,4,pixel_only,0.0517774801522213,1.6336562455597636,True,0.05177748015169912,1.6336562455642183,16,True,True
11,4,rphi_only,0.05177756655595738,1.6360293954673655,True,0.05177756655563311,1.636029395462918,16,True,True
11,4,z_only,1.084830437532888,1.6681447100440614,False,,,0,False,False
11,4,full,1.0860492474342742,1.6696767933239105,False,,,0,False,False
11,5,pixel_only,0.05176988682075039,0.7806915179459026,True,0.05176988682035931,0.780691517936578,16,True,True
11,5,rphi_only,0.051769592074889056,0.7833464660600886,True,0.0517695920747934,0.7833464660600812,16,True,True
11,5,z_only,0.65509221681401,1.011338686774998,False,,,0,False,False
11,5,full,0.6512057635967565,1.015890539472167,False,,,0,False,False
11,6,pixel_only,0.051748793439293055,0.6887890978247417,True,0.05174879343980716,0.6887890978352873,16,True,True
11,6,rphi_only,0.05174851497428458,0.691929593597949,True,0.05174851497491436,0.6919295936136763,16,True,True
11,6,z_only,0.6885750753830295,0.7336266209476763,False,0.33678845339967745,1.034220581438017,8,False,False
11,6,full,0.6918825698935106,0.7334700368855942,False,0.3453613190729034,1.0340119819280686,8,False,False
11,7,pixel_only,0.05161407287966216,0.681303434622067,True,0.05161407287911056,0.6813034346181039,16,True,True
11,7,rphi_only,0.051624244694390274,0.6836173117895645,True,0.05162424469505329,0.683617311792198,16,True,True
11,7,z_only,0.6614708103009419,0.8053717871253815,False,0.35938205098161524,0.7837835957273713,7,False,False
11,7,full,0.663057428666069,0.8060281581178823,False,0.3553675426905907,0.7858279104089972,7,False,False
11,8,pixel_only,0.051765788529092006,0.674148695683823,True,0.05176578852882123,0.6741486956838185,16,True,True
11,8,rphi_only,0.05176607506960812,0.6744850752023425,True,0.051766075070431634,0.6744850752023425,16,True,True
11,8,z_only,0.37082663673388794,0.6866619171889335,False,0.2843463814478443,0.5615808297097423,11,False,False
11,8,full,0.37118062775901395,0.6868005031902306,False,0.2865581230026202,0.5611207283322179,11,False,False
11,9,pixel_only,0.05153797459109027,0.7251921262586986,True,0.051537974590718856,0.7251921262562167,16,True,True
11,9,rphi_only,0.05154221664333675,0.7243427505639134,True,0.05154221664375596,0.724342750565156,16,True,True
11,9,z_only,0.7016486305281471,1.0223658538245077,False,0.32559590610513833,1.3419150063155274,9,False,False
11,9,full,0.703692266529779,1.0203573837602375,False,0.32437775102823396,1.3394577995725128,9,False,False
