trial,event,mode,found,delta_s,delta_w,accepted_hits,coverage_all8,coverage_7double,reason
9,5,pixel_only,True,0.05189570576292412,0.7272216742271052,16,True,True,pass
9,5,rphi_only,True,0.05189547819171997,0.7494493124924149,16,True,True,pass
9,5,z_only,False,,,0,False,False,seed_ds_fail
9,5,full,False,,,0,False,False,seed_ds_fail
9,6,pixel_only,True,0.051895467588989934,0.6079478329125448,16,True,True,pass
9,6,rphi_only,True,0.051895820453592624,0.6141762472122827,16,True,True,pass
9,6,z_only,False,0.276446201969128,0.8515235284515477,9,False,False,final_ds_fail
9,6,full,False,0.2931922547634823,0.851128288402187,9,False,False,final_ds_fail
9,7,pixel_only,True,0.051887508077080084,0.606896374174074,16,True,True,pass
9,7,rphi_only,True,0.05188814580779519,0.6055145556374988,16,True,True,pass
9,7,z_only,False,0.3281415068110793,0.8066776022708245,11,False,False,final_ds_fail
9,7,full,False,,,0,False,False,seed_ds_fail
9,8,pixel_only,True,0.05189539371020332,0.6743667984692865,16,True,True,pass
9,8,rphi_only,True,0.051895378909692126,0.6693652699075416,16,True,True,pass
9,8,z_only,False,0.23781056129197176,0.792462309370648,9,False,False,final_ds_fail
9,8,full,False,0.23831050383042796,0.7888911874187201,9,False,False,final_ds_fail
9,9,pixel_only,True,0.05189122613973578,0.5902107297413578,16,True,True,pass
9,9,rphi_only,True,0.05189124222372242,0.5931141776520705,16,True,True,pass
9,9,z_only,False,0.2668479585636964,0.7088033664426757,10,False,False,final_ds_fail
9,9,full,False,0.2768255144908565,0.7068351750386159,10,False,False,final_ds_fail
9,10,pixel_only,True,0.0518965018054869,0.586877276633826,16,True,True,pass
9,10,rphi_only,True,0.05189639662564999,0.5859971806819051,16,True,True,pass
9,10,z_only,False,0.25365096375928137,0.5506186909577057,9,False,False,final_ds_fail
9,10,full,False,0.2679875558330662,0.5497756706371785,9,False,False,final_ds_fail
9,11,pixel_only,True,0.051892409873463906,0.581682142651992,16,True,True,pass
9,11,rphi_only,True,0.051892423381698735,0.5819074888221236,16,True,True,pass
9,11,z_only,False,0.2462626447101259,0.7962603756820946,10,False,False,final_ds_fail
9,11,full,False,0.2419468858541976,0.7959331997828848,10,False,False,final_ds_fail
9,12,pixel_only,True,0.051895686888812805,0.7868434159869027,16,True,True,pass
9,12,rphi_only,True,0.05189579638240719,0.7967619285930481,16,True,True,pass
9,12,z_only,False,,,0,False,False,seed_ds_fail
9,12,full,False,,,0,False,False,seed_ds_fail
9,13,pixel_only,True,0.05188916918132203,0.5892936843600265,16,True,True,pass
