event,variant,found,delta_s,delta_w,reason,direct_ds,direct_dw
8,pixel_plus_sct,False,,,no exact8 plane survived,0.5542879938280653,0.6159191116770952
9,truth,True,1.108895649130481e-06,0.5683450078808123,,1.5762296639552753e-06,0.5502976875879481
9,pixel_only,True,0.07149050958116422,0.5681116281611195,,0.06922038823968402,0.5500717186643348
9,sct_only,False,,,no exact8 plane survived,0.5352831868590364,1.0513978020310182
9,pixel_plus_sct,False,,,no exact8 plane survived,0.535116823594938,1.054702589460137
10,truth,True,2.5305462342542687e-06,0.6636501730326071,,2.2139468880121858e-06,0.6425765169610947
10,pixel_only,True,0.07139256101985414,0.6636635019546379,,0.06912554996951212,0.6425894226344805
10,sct_only,False,,,no exact8 plane survived,0.49012618340777436,0.7658040859041131
10,pixel_plus_sct,False,,,no exact8 plane survived,0.4901501606918945,0.7685929558028295
11,truth,True,2.6871314902957413e-06,0.6500557006648784,,2.3870656896711774e-06,0.6294137256904483
11,pixel_only,True,0.07130851837283964,0.6495674430128878,,0.0690441760251723,0.6289409722660285
11,sct_only,False,,,no exact8 plane survived,0.49628165735762314,0.6667921258325027
11,pixel_plus_sct,False,,,no exact8 plane survived,0.5040885798160395,0.6659995800264071
12,truth,True,3.1431876897989773e-06,0.7471310087144167,,3.0120912547227374e-06,0.7234064885541593
12,pixel_only,True,0.07143833601759812,0.7467847268727758,,0.06916987141547701,0.7230712026027172
12,sct_only,False,,,no exact8 plane survived,0.7268931550624044,0.9848519390442669
12,pixel_plus_sct,False,,,no exact8 plane survived,0.7267985372202724,0.9867263894035699
13,truth,True,1.3329104536294794e-06,0.5873072916890588,,1.5054578055243875e-06,0.5686578399700855
13,pixel_only,True,0.07146340745497169,0.5872167788723452,,0.06919414671949893,0.5685702012977146
13,sct_only,False,,,no exact8 plane survived,0.5640480672316665,1.2908463873110985
13,pixel_plus_sct,False,,,no exact8 plane survived,0.5638217344924277,1.2915769966449993
14,truth,True,2.4751490441083265e-06,0.6110493142370501,,1.9976794651035188e-06,0.5916459544508126
14,pixel_only,True,0.07128069438769301,0.611618557052855,,0.0690172355777276,0.5921971214293206
14,sct_only,False,,,no exact8 plane survived,0.4979845341374083,0.8332883249750609
14,pixel_plus_sct,False,,,no exact8 plane survived,0.4987321197915867,0.8417211648662154
15,truth,True,2.3762745252594316e-06,0.7706453143837881,,1.5744576352992428e-06,0.7461741171042722
15,pixel_only,True,0.07144583253310179,0.7703172424593167,,0.06917712989124242,0.7458564628443047
15,sct_only,False,,,no exact8 plane survived,0.532652230540388,0.75268493906946
15,pixel_plus_sct,False,,,no exact8 plane survived,0.5413957050854405,0.7523504546453333
