event,ds_floor_mm,found,delta_s,delta_w,accepted_hits,coverage_all8,coverage_7double
0,0.02,True,0.07190465607054643,0.6252904166364244,16,True,True
1,0.02,True,0.07189199908424007,0.5098111679898344,16,True,True
2,0.02,True,0.07189871283523565,0.6628253663910119,16,True,True
3,0.02,True,0.07190185530537212,0.41995809945659174,16,True,True
4,0.02,True,0.07189613461923168,0.7342546300395721,16,True,True
5,0.02,True,0.07189920074648912,0.6172303001901993,16,True,True
6,0.02,True,0.07188297097242989,0.6631143725437443,16,True,True
7,0.02,True,0.07184813686188439,0.6333262839849378,16,True,True
8,0.02,True,0.07189545667554867,0.5336925313900979,16,True,True
9,0.02,True,0.07186824625441596,0.4940554043780464,16,True,True
10,0.02,True,0.07189870413528625,0.5723884826084998,16,True,True
11,0.02,True,0.07190136386372802,0.6158116768037407,16,True,True
12,0.02,True,0.07187914155022351,0.4548116223197397,16,True,True
13,0.02,True,0.07190138469950684,0.6515339395912753,16,True,True
14,0.02,True,0.07190034314077187,0.6116871028039714,16,True,True
15,0.02,True,0.07188355809554992,0.5239861462132219,16,True,True
0,0.034,True,0.07190465607054643,0.6252904166364244,16,True,True
1,0.034,True,0.07189199908424007,0.5098111679898344,16,True,True
2,0.034,True,0.07189871283523565,0.6628253663910119,16,True,True
3,0.034,True,0.07190185530537212,0.41995809945659174,16,True,True
4,0.034,True,0.07189613461923168,0.7342546300395721,16,True,True
5,0.034,True,0.07189920074648912,0.6172303001901993,16,True,True
6,0.034,True,0.07188297097242989,0.6631143725437443,16,True,True
7,0.034,True,0.07184813686188439,0.6333262839849378,16,True,True
8,0.034,True,0.07189545667554867,0.5336925313900979,16,True,True
9,0.034,True,0.07186824625441596,0.4940554043780464,16,True,True
10,0.034,True,0.07189870413528625,0.5723884826084998,16,True,True
11,0.034,True,0.07190136386372802,0.6158116768037407,16,True,True
12,0.034,True,0.07187914155022351,0.4548116223197397,16,True,True
13,0.034,True,0.07190138469950684,0.6515339395912753,16,True,True
14,0.034,True,0.07190034314077187,0.6116871028039714,16,True,True
15,0.034,True,0.07188355809554992,0.5239861462132219,16,True,True
0,0.05,True,0.07190465607054643,0.6252904166364244,16,True,True
1,0.05,True,0.07189199908424007,0.5098111679898344,16,True,True
2,0.05,True,0.07189871283523565,0.6628253663910119,16,True,True
3,0.05,True,0.07190185530537212,0.41995809945659174,16,True,True
4,0.05,True,0.07189613461923168,0.7342546300395721,16,True,True
5,0.05,True,0.07189920074648912,0.6172303001901993,16,True,True
6,0.05,True,0.07188297097242989,0.6631143725437443,16,True,True
7,0.05,True,0.07184813686188439,0.6333262839849378,16,True,True
8,0.05,True,0.07189545667554867,0.5336925313900979,16,True,True
9,0.05,True,0.07186824625441596,0.4940554043780464,16,True,True
10,0.05,True,0.07189870413528625,0.5723884826084998,16,True,True
11,0.05,True,0.07190136386372802,0.6158116768037407,16,True,True
12,0.05,True,0.07187914155022351,0.4548116223197397,16,True,True
13,0.05,True,0.07190138469950684,0.6515339395912753,16,True,True
14,0.05,True,0.07190034314077187,0.6116871028039714,16,True,True
15,0.05,True,0.07188355809554992,0.5239861462132219,16,True,True
