trial,event,mode,sigma_z_mm,direct_delta_s,direct_delta_w,found,delta_s,delta_w,accepted_hits,coverage_all8,coverage_7double
1,9,z_sigma,1.16,0.6779910306304546,0.8825390687758135,False,0.33452007525738264,1.011898118417111,8,False,False
1,10,z_sigma,0.0,0.05172282739177839,0.7552221742710277,True,0.05172282739100029,0.7552221742758225,16,True,True
1,10,z_sigma,0.1,0.06997604253065895,0.7552200692311768,True,0.06997604253034768,0.7552200692311768,16,True,True
1,10,z_sigma,0.25,0.12562876020744235,0.7552184536709401,False,0.1256287602072938,0.7552184536564441,16,True,True
1,10,z_sigma,0.5,0.23252638219162367,0.7552200721321053,False,0.23252638219166183,0.7552200721369318,16,True,True
1,10,z_sigma,0.58,0.267651379640848,0.7552219135833005,False,0.26765137964082814,0.755221913588127,16,True,True
1,10,z_sigma,1.16,0.5254261346031809,0.7552769117719283,False,,,0,False,False
1,11,z_sigma,0.0,0.05173958913396772,0.8122543034251536,True,0.05173958913355114,0.8122543034251503,16,True,True
1,11,z_sigma,0.1,0.0877527913959707,0.8124036594813565,True,0.08775279139625403,0.8124036594813641,16,True,True
1,11,z_sigma,0.25,0.18332043380489885,0.8133795633945399,False,0.18332043380549165,0.8133795634212424,16,True,True
1,11,z_sigma,0.5,0.35292216714236724,0.8177452822042277,False,0.2909042480065591,0.7522795555184005,13,False,False
1,11,z_sigma,0.58,0.4068889079945931,0.8202915295379515,False,0.3730632295419787,0.4727802637474605,8,False,False
1,11,z_sigma,1.16,0.7202652181008775,0.9204228501060886,False,,,0,False,False
1,12,z_sigma,0.0,0.051766035685234496,0.7851509784076885,True,0.0517660356852425,0.7851509784078605,16,True,True
1,12,z_sigma,0.1,0.09041560852309434,0.78539417028183,True,0.0904156085232939,0.7853941702884525,16,True,True
1,12,z_sigma,0.25,0.18978562889713946,0.7866886996205623,False,0.18978562889667022,0.7866886996049002,16,True,True
1,12,z_sigma,0.5,0.3645940273277034,0.7924218478857914,False,0.29467440954345286,0.6529968817865905,8,False,False
1,12,z_sigma,0.58,0.41977432909163864,0.7958556495400259,False,0.30814186759890677,0.7222574981436785,8,False,False
1,12,z_sigma,1.16,0.7086071740040114,0.9358335542190084,False,0.29837877093227094,1.4110393605741405,7,False,False
1,13,z_sigma,0.0,0.05176559446733529,0.7929946613030388,True,0.05176559446733529,0.7929946613030388,16,True,True
1,13,z_sigma,0.1,0.097989612868568,0.7931250421891128,True,0.0979896128685768,0.7931250421891132,16,True,True
1,13,z_sigma,0.25,0.2136364001906848,0.794004403794259,False,0.21363640019083885,0.7940044038125629,16,True,True
1,13,z_sigma,0.5,0.41516305106941076,0.7983869471805304,False,0.2196220096043353,0.8831733105460527,12,False,False
1,13,z_sigma,0.58,0.47882746251507713,0.8013209448356554,False,0.25165779095218027,0.8831732465115917,12,False,False
1,13,z_sigma,1.16,0.7571170817614367,1.008859487360907,False,,,0,False,False
1,14,z_sigma,0.0,0.05173973081117219,0.6287241806253988,True,0.051739730811837296,0.6287241806427255,16,True,True
1,14,z_sigma,0.1,0.06481686906951481,0.6287217022112135,True,0.06481686906907394,0.6287217022228081,16,True,True
1,14,z_sigma,0.25,0.1180621595796,0.6287421721526755,False,0.10430269847218882,0.6393793767402536,15,True,True
1,14,z_sigma,0.5,0.223657384045242,0.6288535508309557,False,0.19798426066291896,0.6517917534418067,14,False,True
1,14,z_sigma,0.58,0.2584614682878741,0.6289168778119885,False,0.15280101958561498,0.34433221986058843,8,False,False
1,14,z_sigma,1.16,0.5127187338364447,0.6309347536812172,False,0.16724638141276166,0.6266584233218463,8,False,False
1,15,z_sigma,0.0,0.05177606774741734,0.6461309364178907,True,0.05177606774775461,0.6461309364136757,16,True,True
1,15,z_sigma,0.1,0.07318080858459276,0.6461332565467622,True,0.07318080858459448,0.6461332565439749,16,True,True
1,15,z_sigma,0.25,0.13868979823774458,0.6461541057700896,False,0.13868979823770936,0.6461541057644875,16,True,True
1,15,z_sigma,0.5,0.2620346011272622,0.6462491638545415,False,0.24668039332584166,0.6628878812387746,15,True,True
1,15,z_sigma,0.58,0.3023412402089413,0.6463035814213672,False,,,0,False,False
1,15,z_sigma,1.16,0.5943778283043417,0.6497851756212217,False,,,0,False,False
2,0,z_sigma,0.0,0.05177131597783616,1.6368286862175891,True,0.05177131597701268,1.6368286862175891,16,True,True
2,0,z_sigma,0.1,0.09046420485174789,1.6372671175890179,True,0.09046420485144845,1.637267117589019,16,True,True
2,0,z_sigma,0.25,0.1940266081852162,1.639597495205387,False,0.13921866876383782,1.2301965819453933,14,False,True
2,0,z_sigma,0.5,0.37675791442423284,1.6483286954205163,False,0.2627115046545381,1.2322714122797238,14,False,True
2,0,z_sigma,0.58,0.4350596715146789,1.6525769455050663,False,,,0,False,False
2,0,z_sigma,1.16,0.8354376406563174,1.714533653467667,False,,,0,False,False
2,1,z_sigma,0.0,0.05107552169098705,0.6186596367145552,True,0.05107552169124374,0.6186596367130658,16,True,True
2,1,z_sigma,0.1,0.08187343762787655,0.6186021886032146,True,0.0818734376277046,0.6186021886032144,16,True,True
2,1,z_sigma,0.25,0.1662444909254792,0.618715673509091,False,0.16919261184726175,0.6171791167005661,15,True,True
2,1,z_sigma,0.5,0.3188655970479823,0.6196768749857365,False,0.18853500263053724,0.42742577411048516,10,False,False
2,1,z_sigma,0.58,0.3680720063675313,0.620369504902567,False,0.19113870948954384,0.48934620672234397,10,False,False
2,1,z_sigma,1.16,0.6061189873685134,0.7468356565564175,False,0.19650033135658937,0.9549713346856273,10,False,False
2,2,z_sigma,0.0,0.05175615583218509,0.6784951316917281,True,0.05175615583217639,0.6784951316917098,16,True,True
2,2,z_sigma,0.1,0.08432495438504466,0.6786058318475943,True,0.08432495438538191,0.6786058318635956,16,True,True
2,2,z_sigma,0.25,0.17778578440851261,0.6792983100378074,False,0.17778578440860332,0.6792983100377649,16,True,True
