layer_id,trajectory_step,t,x,y,z,r,phi,particle,charge,event
1,1419,0.48029031418856516,-31.52246035882436,10.578137497988322,1.3268623628961032,33.25,2.8178263038370592,-1,-1,7
2,2212,0.1650927837527855,-46.87238320794424,18.794405880677026,2.0199024216761763,50.5,2.7602505996015814,-1,-1,7
3,3822,0.3024553210317745,-81.6851515520683,34.055631192442064,3.5400472020617473,88.5,2.74659135001281,-1,-1,7
4,5288,0.9228082476049656,-113.6581020963454,45.69557777134157,4.899811688069503,122.5,2.7593253006567586,-1,-1,7
5,13818,0.8444616422979679,-276.2065330945393,114.50306142586393,11.960191310375398,299.0,2.7486013620709966,-1,-1,7
6,18057,0.25350135933964196,-342.9915956074277,141.41345530984944,14.840217711655589,371.0,2.7505329367681215,-1,-1,7
7,24385,0.926850609090794,-408.76095845586383,170.77317951670156,17.72020103357894,443.0,2.7458511323020685,-1,-1,7
8,29158,0.8036212875941157,-475.25743560954504,195.77121825702352,20.56028971876453,514.0,2.7508471239383696,-1,-1,7
1,1419,0.4802926141939871,-33.17103389374993,2.2901987729656375,1.3268623650421258,33.25,3.072659916436253,1,1,8
2,2212,0.16518595595803603,-50.496743567222886,0.5734885405432514,2.0199024855635965,50.5,3.1302362007626385,1,1,8
3,3821,0.4865723382439769,-88.47807786567222,-1.9697048499821879,3.5391797134047813,88.5,-3.1193342637238137,1,1,8
4,5561,0.8385111523341935,-122.48716651786128,-1.7731436562567693,4.899565166591623,122.50000000000001,-3.127117506007165,1,1,8
5,14157,0.45939148594552076,-298.99942275127864,-0.5875324690335622,11.96016796345171,299.0,-3.139627660790027,1,1,8
6,17850,0.09484637140527515,-370.9997141877361,-0.46051342878440626,14.84022620836288,370.99999999999994,-3.1403513771826725,1,1,8
7,26186,0.5417420157527351,-442.9995029953536,-0.663585615917487,17.72026314487395,443.0,-3.1400947171020324,1,1,8
8,33915,0.22032762146032922,-513.9999758533789,-0.1575522957630007,20.560327691641902,514.0,-3.1412861316088008,1,1,8
1,1419,0.4802926141939871,-33.17103389374993,-2.2901987729656375,1.3268623650421258,33.25,-3.072659916436253,-1,-1,8
2,2212,0.16518600992785654,-50.4967435681481,-0.5734884590760365,2.0199024856006034,50.5,-3.1302362023759547,-1,-1,8
3,3830,0.30499119296624316,-88.49995924930916,0.08492862072852962,3.5400548218157715,88.5,3.1406330080105396,-1,-1,8
4,5538,0.15530509523296956,-122.47633634658389,-2.4077032870460435,4.8991316762545205,122.5,-3.1219366671963837,-1,-1,8
5,14153,0.40676380027756487,-298.999977498268,-0.11600015183793282,11.960190111516352,299.0,-3.141204693206021,-1,-1,8
6,17809,0.8802568783806299,-370.99968645805603,-0.4823360074325629,14.840224831625298,370.99999999999994,-3.14029255616847,-1,-1,8
7,26136,0.640848572974822,-442.99945259721886,-0.6964183831994494,17.720262427785766,443.0,-3.1400206024158703,-1,-1,8
8,33861,0.1447197323690261,-513.9998754693274,-0.35779535467060725,20.560324344621836,513.9999999999999,-3.1408965536217663,-1,-1,8
1,1419,0.48029031418856516,-31.52246035882436,-10.578137497988322,1.3268623628961032,33.25,-2.8178263038370592,1,1,9
2,2212,0.1650927837527855,-46.87238320794424,-18.794405880677026,2.0199024216761763,50.5,-2.7602505996015814,1,1,9
3,3829,0.6265506894878035,-81.85101194746159,-33.65504186858933,3.5400445293990614,88.5,-2.751490431831388,1,1,9
4,5394,0.6897702948161767,-112.66435403141556,-48.093589288842416,4.8997949000032515,122.5,-2.738134988158434,1,1,9
5,12439,0.14980058808166555,-276.21769778222955,-114.4761260345794,11.962269517948027,299.0,-2.748698879123138,1,1,9
6,15044,0.40489333857762483,-342.73798450167953,-142.02701848495767,14.840536624105734,371.00000000000006,-2.7487434178989716,1,1,9
7,17649,0.5066965762713562,-409.2572159807222,-169.5804563259236,17.720543002096534,443.0,-2.7487672590650867,1,1,9
8,20218,0.4271005470703556,-474.85276774457,-196.75072799184645,20.56078757915201,514.0000000000001,-2.748785238097457,1,1,9
1,1419,0.4802824439073708,-29.7696193585892,-14.809870466844444,1.3268623555527286,33.25,-2.6799609157073236,-1,-1,9
2,2212,0.1652591774679997,-46.433451984729615,-19.854081111494676,2.019902535770988,50.5,-2.737537557644478,-1,-1,9
3,3830,0.04478328371028416,-81.61665991796355,-34.21945095753997,3.5400235231827297,88.5,-2.7445850071722777,-1,-1,9
4,5386,0.8813591456163798,-113.63323403389417,-45.757383262138525,4.899839325386766,122.5,-2.7587814568805205,-1,-1,9
5,12438,0.9932514212599952,-276.2166282386584,-114.4787066858583,11.96259425688115,299.0,-2.7486895362884973,-1,-1,9
6,15044,0.4063955553379436,-342.73734656574965,-142.028557934907,14.841721081306645,371.0,-2.748738926271397,-1,-1,9
7,17649,0.5079682609329166,-409.256767428126,-169.5815388368699,17.721810241741345,443.00000000000006,-2.7487646140010606,-1,-1,9
8,20218,0.42831831890296096,-474.8521140241344,-196.7523057217131,20.56165570410602,514.0,-2.7487819155287374,-1,-1,9
1,1419,0.4802902448500097,-25.074877527168827,-21.83604856647566,1.3268623628314067,33.25,-2.425127201668177,1,1,10
2,2212,0.16514645558266453,-36.112115667356825,-35.3010637520662,2.0199024584785117,50.50000000000001,-2.3675511760771637,1,1,10
3,3819,0.38034847678523814,-62.45866574101353,-62.69900377081236,3.5400503305062565,88.5,-2.354274210473789,1,1,10
4,5356,0.4264087029561777,-86.3749407712145,-86.865525997194,4.900058528839578,122.5,-2.35336268118275,1,1,10
5,14860,0.1026124766769008,-211.811862708687,-211.03728299965468,11.960171303907604,299.0,-2.358026299125909,1,1,10
6,17720,0.7835237938095817,-262.4677884002036,-262.20537761896867,14.840236434245272,371.0,-2.3566946315686343,1,1,10
7,22075,0.8552135411576105,-313.37263147415024,-313.12392729232045,17.72028215678382,442.99999999999994,-2.356591466305438,1,1,10
8,25721,0.2977294499402857,-363.4507859691204,-363.45498507852204,20.56032950554114,514.0,-2.356188713502203,1,1,10
1,1419,0.4802902448500097,-21.83604856647566,-25.074877527168827,1.3268623628314067,33.25,-2.2872617787165126,-1,-1,10
2,2212,0.16514645558266453,-35.3010637520662,-36.112115667356825,2.0199024584785117,50.50000000000001,-2.344837804307526,-1,-1,10
3,3810,0.19418269677397684,-61.97831580554912,-63.173874108745444,3.5398952050453185,88.49999999999999,-2.3466419450994467,-1,-1,10
4,5345,0.03213801809497937,-87.25056614598077,-85.98597971300806,4.899948165590982,122.5,-2.3634941276076704,-1,-1,10
5,14848,0.34166084384013656,-211.99927250719105,-210.8490181538006,11.960147173624387,299.0,-2.358914736535062,-1,-1,10
6,17705,0.9076213092306133,-262.4587783010207,-262.2143964253978,14.840236692900126,371.0,-2.3566602694044754,-1,-1,10
7,22092,0.9267385176170487,-313.360418095166,-313.1361498952537,17.72028216944354,443.00000000000006,-2.3565524621299283,-1,-1,10
8,25696,0.9794010730410222,-363.47224773070025,-363.43352229753447,20.56032861085792,514.0,-2.356247764543335,-1,-1,10
1,1419,0.4802824439073708,-14.809870466844444,-29.7696193585892,1.3268623555527286,33.25,-2.032428064677366,1,1,11
2,2212,0.1652591774679997,-19.854081111494676,-46.433451984729615,2.019902535770988,50.5,-1.974851422740212,1,1,11
3,3831,0.4974448943000187,-34.62260396877935,-81.44645661059212,3.53990508838865,88.5,-1.9727487111566255,1,1,11
4,5432,0.07320097985166654,-46.177513437570525,-113.4631537227967,4.899985038256886,122.50000000000001,-1.9573075356468579,1,1,11
5,15675,0.030348618819596832,-113.83011463392859,-276.48454749303204,11.960164405855679,299.0,-1.9613524552252244,1,1,11
