event,ds_floor_mm,found,delta_s,delta_w,accepted_hits,coverage_all8,coverage_7double
3,0.034,True,0.07139350491224229,0.6704990334628728,16,True,True
4,0.034,True,0.07141091757019803,0.4991362690990127,16,True,True
5,0.034,True,0.07143563451418362,0.5206615929780103,16,True,True
6,0.034,True,0.07146983164826677,0.7694968860957921,16,True,True
7,0.034,True,0.07141298381261889,1.1989741241299252,16,True,True
8,0.034,True,0.07147848753981544,0.6066440263845885,16,True,True
9,0.034,True,0.07149050958116422,0.5681116281611195,16,True,True
10,0.034,True,0.07139256101985414,0.6636635019546379,16,True,True
11,0.034,True,0.07130851837283964,0.6495674430128878,16,True,True
12,0.034,True,0.07143833600843592,0.7467847268764675,16,True,True
13,0.034,True,0.07146340745497169,0.5872167788723452,16,True,True
14,0.034,True,0.07128069438769301,0.611618557052855,16,True,True
15,0.034,True,0.07144583253310179,0.7703172424593167,16,True,True
0,0.05,True,0.07147336810341376,1.0413432602483117,16,True,True
1,0.05,True,0.07140468929377271,0.9897480618666817,16,True,True
2,0.05,True,0.0714381963346305,0.7701439218029933,16,True,True
3,0.05,True,0.07139350491224229,0.6704990334628728,16,True,True
4,0.05,True,0.07141091757019803,0.4991362690990127,16,True,True
5,0.05,True,0.07143563451418362,0.5206615929780103,16,True,True
6,0.05,True,0.07146983164826677,0.7694968860957921,16,True,True
7,0.05,True,0.07141298381261889,1.1989741241299252,16,True,True
8,0.05,True,0.07147848753981544,0.6066440263845885,16,True,True
9,0.05,True,0.07149050958116422,0.5681116281611195,16,True,True
10,0.05,True,0.07139256101985414,0.6636635019546379,16,True,True
11,0.05,True,0.07130851837283964,0.6495674430128878,16,True,True
12,0.05,True,0.07143833600843592,0.7467847268764675,16,True,True
13,0.05,True,0.07146340745497169,0.5872167788723452,16,True,True
14,0.05,True,0.07128069438769301,0.611618557052855,16,True,True
15,0.05,True,0.07144583253310179,0.7703172424593167,16,True,True
